t_s,i_a,u_v
0.000000,0.2563,0.0000
0.000464,0.0563,0.0086
0.000645,0.0563,0.0119
0.000975,0.0563,0.0180
0.001167,0.2563,0.0208
0.001339,0.2563,0.0233
0.001512,0.2563,0.0259
0.001684,0.8563,0.0264
0.001959,0.0563,0.0314
0.002162,0.2563,0.0344
0.002334,0.2563,0.0369
0.002506,0.0563,0.0401
0.002816,0.0563,0.0458
0.003128,0.2563,0.0504
0.003322,0.0563,0.0540
0.003494,0.0563,0.0571
0.003670,0.0563,0.0604
0.003842,0.2563,0.0629
0.004113,0.2563,0.0669
0.004308,0.2563,0.0697
0.004480,0.2563,0.0722
0.004652,0.2563,0.0747
0.004824,0.2563,0.0772
0.005093,0.0563,0.0822
0.005287,0.2563,0.0850
0.005459,0.2563,0.0875
0.005631,0.2563,0.0901
0.005803,0.2563,0.0926
0.006073,0.2563,0.0965
0.006265,0.2563,0.0993
0.006437,0.4563,0.1011
0.006610,0.2563,0.1037
0.006782,0.2563,0.1062
0.007044,0.2563,0.1100
0.007238,0.2563,0.1128
0.007410,0.2563,0.1153
0.007582,0.4563,0.1171
0.007754,0.2563,0.1197
0.008020,0.2563,0.1235
0.008213,0.2563,0.1264
0.008385,0.2563,0.1289
0.008560,0.2563,0.1314
0.008732,0.2563,0.1339
0.008989,0.2563,0.1377
0.009190,0.2563,0.1406
0.009362,0.2563,0.1431
0.009534,0.6563,0.1443
0.009706,0.2563,0.1468
0.009965,0.2563,0.1505
0.010164,0.4563,0.1527
0.010336,0.2563,0.1552
0.010511,0.2563,0.1577
0.010683,0.2563,0.1602
0.010940,0.4563,0.1630
0.011140,0.2563,0.1659
0.011312,0.2563,0.1684
0.011483,0.4563,0.1702
0.011656,0.2563,0.1727
0.011915,0.2563,0.1765
0.012115,0.2563,0.1794
0.012287,0.2563,0.1819
0.012458,0.4563,0.1838
0.012631,0.0563,0.1870
0.012888,0.2563,0.1907
0.013087,0.0563,0.1944
0.013259,0.2563,0.1969
0.013431,0.4563,0.1987
0.013604,0.2563,0.2013
0.013863,0.2563,0.2050
0.014062,0.2563,0.2079
0.014234,0.4563,0.2098
0.014406,0.2563,0.2123
0.014578,1.8563,0.2094
0.014835,0.2563,0.2131
0.015035,0.0563,0.2168
0.015207,0.2563,0.2193
0.015379,0.4563,0.2212
0.015551,0.4563,0.2230
0.015811,0.2563,0.2268
0.016009,0.4563,0.2289
0.016181,0.0563,0.2321
0.016353,0.4563,0.2339
0.016525,0.2563,0.2364
0.016782,0.4563,0.2392
0.016976,0.4563,0.2412
0.017154,0.4563,0.2431
0.017326,0.4563,0.2450
0.017498,0.4563,0.2468
0.017761,0.2563,0.2506
0.017953,0.4563,0.2527
0.018131,0.4563,0.2546
0.018303,0.4563,0.2564
0.018476,0.2563,0.2589
0.018732,0.4563,0.2617
0.018926,0.4563,0.2637
0.019104,0.4563,0.2656
0.019276,0.4563,0.2675
0.019448,0.4563,0.2693
0.019708,0.2563,0.2731
0.019901,0.4563,0.2752
0.020079,0.4563,0.2771
0.020251,0.4563,0.2789
0.020423,0.4563,0.2807
0.020680,0.4563,0.2835
0.020874,0.4563,0.2855
0.021052,0.4563,0.2874
0.021224,0.4563,0.2893
0.021396,0.4563,0.2911
0.021656,0.2563,0.2949
0.021849,0.4563,0.2969
0.022026,0.4563,0.2988
0.022198,0.4563,0.3007
0.022384,0.2563,0.3034
0.022658,0.2563,0.3074
0.022851,0.2563,0.3102
0.023029,0.6563,0.3114
0.023201,0.4563,0.3132
0.023373,0.4563,0.3150
0.023633,0.4563,0.3178
0.023826,0.2563,0.3206
0.024004,0.4563,0.3225
0.024176,0.4563,0.3244
0.024378,0.6563,0.3257
0.024637,0.4563,0.3285
0.024830,0.0563,0.3321
0.025009,0.4563,0.3340
0.025180,0.2563,0.3365
0.025378,0.4563,0.3386
0.025654,0.4563,0.3415
0.025852,0.4563,0.3436
0.026030,0.4563,0.3455
0.026202,0.4563,0.3474
0.026374,0.4563,0.3492
0.026638,0.4563,0.3520
0.026830,0.4563,0.3540
0.027008,0.4563,0.3559
0.027180,0.2563,0.3585
0.027378,0.8563,0.3590
0.027640,0.4563,0.3618
0.027831,0.2563,0.3646
0.028009,0.4563,0.3665
0.028181,0.4563,0.3683
0.028379,0.4563,0.3704
0.028659,0.4563,0.3734
0.028850,0.6563,0.3747
0.029028,0.4563,0.3766
0.029200,0.4563,0.3784
0.029372,0.4563,0.3803
0.029636,0.4563,0.3831
0.029827,0.6563,0.3844
0.030005,0.4563,0.3863
0.030177,0.6563,0.3874
0.030379,0.4563,0.3896
0.030660,0.4563,0.3926
0.030851,0.4563,0.3946
0.031029,1.6563,0.3923
0.031201,0.4563,0.3942
0.031373,0.6563,0.3953
0.031635,0.4563,0.3981
0.031826,0.4563,0.4001
0.032004,0.4563,0.4020
0.032176,0.4563,0.4039
0.032425,0.4563,0.4065
0.032743,0.4563,0.4099
0.032934,0.6563,0.4112
0.033112,0.4563,0.4131
0.033284,1.0563,0.4129
0.033456,0.6563,0.4141
0.033725,0.6563,0.4159
0.033925,0.4563,0.4180
0.034103,0.6563,0.4192
0.034275,0.4563,0.4210
0.034447,0.6563,0.4222
0.034716,0.6563,0.4240
0.034908,0.4563,0.4261
0.035086,0.4563,0.4280
0.035258,0.6563,0.4291
0.035430,0.6563,0.4303
0.035696,0.6563,0.4321
0.035886,0.6563,0.4334
0.036064,0.6563,0.4346
0.036236,0.6563,0.4357
0.036409,0.6563,0.4369
0.036668,0.6563,0.4386
0.036860,0.4563,0.4407
0.037038,0.6563,0.4419
0.037210,0.6563,0.4430
0.037382,0.8563,0.4435
0.037644,0.6563,0.4453
0.037834,1.6563,0.4428
0.038012,0.6563,0.4440
0.038184,0.6563,0.4452
0.038385,0.6563,0.4465
0.038660,0.6563,0.4484
0.038852,0.6563,0.4497
0.039030,0.8563,0.4502
0.039202,0.6563,0.4514
0.039374,0.8563,0.4518
0.039635,0.4563,0.4546
0.039826,0.6563,0.4559
0.040005,0.6563,0.4571
0.040177,0.6563,0.4583
0.040380,0.6563,0.4596
0.040650,0.6563,0.4615
0.040841,0.6563,0.4627
0.041021,0.6563,0.4640
0.041193,0.6563,0.4651
0.041379,1.0563,0.4649
0.041641,0.6563,0.4667
0.041831,0.6563,0.4680
0.042012,0.6563,0.4692
0.042183,0.6563,0.4703
0.042379,1.0563,0.4701
0.042637,0.8563,0.4708
0.042828,0.4563,0.4729
0.043009,0.6563,0.4741
0.043181,0.4563,0.4759
0.043379,0.4563,0.4780
0.043646,0.6563,0.4798
0.043836,0.6563,0.4811
0.044017,0.6563,0.4823
0.044189,0.6563,0.4835
0.044381,0.6563,0.4848
0.044654,0.6563,0.4866
0.044846,0.4563,0.4887
0.045026,0.4563,0.4906
0.045198,0.6563,0.4918
0.045378,0.6563,0.4930
0.045637,0.6563,0.4947
0.045828,0.4563,0.4968
0.046008,0.6563,0.4980
0.046180,0.4563,0.4998
0.046379,0.6563,0.5011
0.046673,0.6563,0.5031
0.046865,0.6563,0.5044
0.047045,0.6563,0.5056
0.047217,0.8563,0.5061
0.047389,0.8563,0.5066
0.047650,0.8563,0.5073
0.047841,0.6563,0.5086
0.048021,0.6563,0.5098
0.048193,0.6563,0.5110
0.048378,1.8563,0.5079
0.048636,0.6563,0.5096
0.048828,0.4563,0.5117
0.049008,0.6563,0.5129
0.049180,0.4563,0.5147
0.049379,1.6563,0.5122
0.049638,0.6563,0.5139
0.049829,0.6563,0.5152
0.050009,0.6563,0.5164
0.050181,0.6563,0.5176
0.050379,1.6563,0.5150
0.050636,0.6563,0.5167
0.050828,0.6563,0.5180
0.051008,0.6563,0.5193
0.051180,0.4563,0.5211
0.051379,1.6563,0.5185
0.051638,0.8563,0.5193
0.051829,0.8563,0.5198
0.052009,0.8563,0.5203
0.052181,0.6563,0.5215
0.052379,1.6563,0.5189
0.052636,0.8563,0.5196
0.052828,0.4563,0.5217
0.053008,0.8563,0.5222
0.053180,0.4563,0.5240
