t_s,i_a,u_v
0.000000,0.1937,0.0000
0.000470,0.1937,0.1105
0.000818,0.1937,0.1924
0.001013,0.1937,0.2382
0.001188,0.1937,0.2794
0.001360,0.1937,0.3198
0.001532,0.3937,0.3581
0.001810,0.3937,0.4201
0.002017,0.3937,0.4662
0.002192,0.5937,0.5030
0.002364,0.5937,0.5392
0.002536,0.5937,0.5754
0.002788,0.7937,0.6253
0.002982,0.7937,0.6637
0.003157,1.7937,0.6876
0.003329,0.9937,0.7195
0.003502,1.1937,0.7495
0.003763,0.9937,0.7980
0.003970,0.9937,0.8365
0.004145,1.1937,0.8668
0.004317,1.1937,0.8966
0.004489,1.1937,0.9264
0.004748,1.1937,0.9713
0.004941,1.1937,1.0048
0.005116,1.7937,1.0287
0.005288,1.9937,1.0500
0.005461,1.7937,1.0736
0.005718,2.1937,1.1022
0.005925,2.1937,1.1253
0.006100,2.1937,1.1449
0.006272,2.3937,1.1619
0.006447,2.3937,1.1793
0.006699,2.3937,1.2043
0.006893,2.3937,1.2236
0.007068,2.3937,1.2409
0.007240,2.7937,1.2537
0.007412,2.9937,1.2644
0.007669,2.9937,1.2804
0.007876,2.9937,1.2933
0.008051,3.9937,1.2933
0.008223,3.1937,1.3019
0.008395,3.1937,1.3105
0.008647,3.3937,1.3199
0.008841,3.3937,1.3272
0.009016,3.3937,1.3337
0.009188,3.5937,1.3381
0.009360,3.3937,1.3445
0.009617,3.5937,1.3509
0.009818,3.5937,1.3560
0.010000,3.5937,1.3606
0.010172,3.5937,1.3649
0.010344,3.7937,1.3671
0.010596,3.7937,1.3703
0.010784,3.9937,1.3704
0.010965,3.9937,1.3704
0.011137,3.9937,1.3705
0.011309,3.7937,1.3727
0.011566,3.9937,1.3728
0.011767,3.9937,1.3729
0.011948,3.9937,1.3729
0.012120,3.7937,1.3751
0.012292,3.9937,1.3752
0.012544,3.9937,1.3753
0.012731,3.9937,1.3754
0.012912,3.9937,1.3754
0.013084,3.9937,1.3755
0.013256,5.7937,1.3564
0.013514,3.9937,1.3565
0.013715,4.1937,1.3541
0.013896,3.9937,1.3542
0.014068,4.1937,1.3521
0.014382,4.1937,1.3484
0.014685,3.9937,1.3485
0.014888,3.9937,1.3486
0.015060,3.9937,1.3486
0.015232,3.9937,1.3487
0.015404,3.9937,1.3488
0.015671,3.9937,1.3489
0.015873,3.9937,1.3490
0.016045,3.9937,1.3490
0.016217,3.9937,1.3491
0.016393,4.1937,1.3470
0.016648,3.9937,1.3471
0.016851,3.9937,1.3472
0.017023,3.9937,1.3472
0.017195,3.9937,1.3473
0.017367,4.1937,1.3452
0.017627,3.9937,1.3453
0.017829,4.1937,1.3429
0.018001,5.9937,1.3217
0.018173,3.9937,1.3218
0.018345,4.1937,1.3197
0.018606,3.9937,1.3198
0.018803,4.1937,1.3175
0.018981,3.9937,1.3175
0.019152,3.5937,1.3218
0.019325,3.9937,1.3219
0.019585,3.7937,1.3252
0.019781,3.9937,1.3253
0.019959,4.1937,1.3232
0.020131,3.9937,1.3232
0.020303,4.1937,1.3212
0.020558,3.9937,1.3213
0.020755,4.1937,1.3189
