t_s,i_a,u_v
0.000000,0.2563,0.0000
0.000468,0.2563,0.0164
0.000801,0.0563,0.0285
0.000992,0.2563,0.0352
0.001166,0.2563,0.0413
0.001341,0.0563,0.0477
0.001513,0.0563,0.0540
0.001787,0.0563,0.0640
0.001986,0.2563,0.0709
0.002160,0.2563,0.0770
0.002332,0.2563,0.0831
0.002504,3.0563,0.0855
0.002753,0.2563,0.0942
0.002951,0.2563,0.1012
0.003125,0.2563,0.1073
0.003297,0.2563,0.1133
0.003470,0.2563,0.1193
0.003721,0.2563,0.1281
0.003920,0.2563,0.1351
0.004094,0.2563,0.1412
0.004266,0.2563,0.1472
0.004441,0.2563,0.1533
0.004697,0.2563,0.1623
0.004896,0.2563,0.1693
0.005070,0.2563,0.1754
0.005242,0.2563,0.1814
0.005555,0.2563,0.1923
0.005868,0.2563,0.2033
0.006063,0.4563,0.2098
0.006236,0.2563,0.2159
0.006408,0.2563,0.2219
0.006580,0.2563,0.2279
0.006853,0.2563,0.2375
0.007046,0.4563,0.2440
0.007218,0.2563,0.2500
0.007391,0.2563,0.2560
0.007563,0.4563,0.2618
0.007824,0.2563,0.2710
0.008019,0.2563,0.2778
0.008191,0.4563,0.2835
0.008364,0.4563,0.2893
0.008536,0.4563,0.2951
0.008800,0.4563,0.3040
0.009000,0.4563,0.3107
0.009172,0.4563,0.3164
0.009344,0.4563,0.3222
0.009516,0.4563,0.3280
0.009778,0.4563,0.3368
0.009980,0.4563,0.3435
0.010152,0.4563,0.3493
0.010324,0.4563,0.3551
0.010497,0.4563,0.3609
0.010756,0.4563,0.3696
0.010956,0.4563,0.3763
0.011128,0.4563,0.3820
0.011300,1.0563,0.3870
0.011472,0.4563,0.3928
0.011727,0.4563,0.4014
0.011928,0.4563,0.4081
0.012100,0.6563,0.4136
0.012272,0.4563,0.4194
0.012445,0.4563,0.4252
0.012704,0.4563,0.4339
0.012904,0.6563,0.4403
0.013076,0.6563,0.4458
0.013248,0.8563,0.4511
