t_s,i_a,u_v
0.000000,0.0563,0.2967
0.000639,0.6563,0.3582
0.000828,0.2563,0.4137
0.001000,0.4563,0.4292
0.001172,0.4563,0.4566
0.001344,0.2563,0.4973
0.001640,0.4563,0.5325
0.001844,0.6563,0.5516
0.002016,0.4563,0.5911
0.002188,0.4563,0.6185
0.002360,0.8563,0.6196
0.002621,0.8563,0.6575
0.002810,0.8563,0.6851
0.002982,0.8563,0.7101
0.003154,0.8563,0.7351
0.003326,0.8563,0.7602
0.003592,1.0563,0.7850
0.003799,0.8563,0.8271
0.003971,1.0563,0.8390
0.004143,1.6563,0.8231
0.004315,1.6563,0.8433
0.004576,1.0563,0.9155
0.004771,1.8563,0.8890
0.004943,1.8563,0.9080
0.005115,1.6563,0.9402
0.005289,1.8563,0.9474
0.005549,2.0563,0.9623
0.005757,2.0563,0.9838
0.005929,2.0563,1.0016
0.006101,2.0563,1.0194
0.006273,2.2563,1.0240
0.006528,2.0563,1.0623
0.006722,2.2563,1.0690
0.006894,2.2563,1.0856
0.007066,2.2563,1.1022
0.007239,2.2563,1.1189
0.007500,2.4563,1.1302
0.007707,2.4563,1.1487
0.007879,2.4563,1.1640
0.008051,2.4563,1.1794
0.008224,2.8563,1.1684
0.008479,2.8563,1.1876
0.008673,2.8563,1.2022
0.008845,2.8563,1.2152
0.009017,2.8563,1.2281
0.009190,3.0563,1.2279
0.009450,3.0563,1.2457
0.009658,3.0563,1.2599
0.009830,3.0563,1.2716
0.010002,4.8563,1.1645
0.010175,3.2563,1.2711
0.010429,3.2563,1.2867
0.010624,3.2563,1.2986
0.010796,3.2563,1.3091
0.010968,3.4563,1.3065
0.011140,3.4563,1.3158
0.011401,3.4563,1.3299
0.011602,3.4563,1.3408
0.011780,3.4563,1.3505
0.011952,5.2563,1.2409
0.012125,3.6563,1.3451
0.012380,3.6563,1.3571
0.012568,3.6563,1.3660
0.012746,3.6563,1.3744
0.012918,3.6563,1.3825
0.013090,3.6563,1.3906
0.013351,3.6563,1.4030
0.013552,3.8563,1.3990
0.013731,3.6563,1.4195
0.013903,5.2563,1.3219
0.014075,4.0563,1.3996
0.014332,5.6563,1.2977
