t_s,i_a,u_v
0.000000,0.2813,0.2000
0.000462,0.0813,0.2000
0.000638,0.2813,0.2000
0.000811,0.0813,0.2000
0.001153,0.2813,0.2000
0.001343,0.2813,0.2000
0.001522,0.0813,0.2000
0.001694,0.2813,0.2000
0.001865,0.4813,0.2000
0.002154,0.2813,0.2000
0.002353,0.2813,0.2000
0.002531,0.4813,0.2000
0.002703,0.2813,0.2000
0.002874,0.2813,0.2000
0.003126,0.2813,0.2000
0.003324,0.2813,0.2000
0.003502,0.2813,0.2000
0.003673,0.2813,0.2000
0.003847,0.2813,0.2000
0.004108,0.2813,0.2000
0.004305,0.2813,0.2000
0.004484,0.2813,0.2000
0.004655,0.2813,0.2000
0.004827,0.2813,0.2000
0.005086,0.2813,0.2000
0.005283,0.2813,0.2000
0.005461,0.2813,0.2000
0.005633,0.4813,0.2000
0.005804,0.2813,0.2000
0.006063,0.2813,0.2000
0.006260,0.2813,0.2000
0.006438,0.2813,0.2000
0.006609,0.2813,0.2000
0.006781,0.2813,0.2000
0.007033,0.2813,0.2000
0.007230,0.4813,0.2000
0.007408,0.2813,0.2000
0.007580,0.2813,0.2000
0.007752,0.2813,0.2000
0.008010,0.2813,0.2000
0.008207,0.0813,0.2000
0.008385,0.2813,0.2000
0.008556,0.2813,0.2000
0.008728,0.2813,0.2000
0.008980,0.2813,0.2000
0.009178,0.2813,0.2000
0.009356,0.4813,0.2000
0.009528,0.2813,0.2000
0.009699,0.2813,0.2000
0.009958,0.2813,0.2000
0.010148,2.2813,0.2000
0.010333,0.2813,0.2000
0.010504,0.2813,0.2000
0.010676,0.2813,0.2000
0.010928,0.2813,0.2000
0.011119,0.2813,0.2000
0.011303,0.2813,0.2000
0.011475,0.2813,0.2000
0.011647,0.2813,0.2000
0.011905,0.2813,0.2000
0.012096,0.2813,0.2000
0.012280,0.2813,0.2000
0.012452,0.2813,0.2000
0.012623,0.2813,0.2000
0.012875,0.2813,0.2000
0.013067,0.2813,0.2000
0.013251,0.2813,0.2000
0.013422,0.2813,0.2000
0.013594,0.4813,0.2000
0.013852,0.2813,0.2000
0.014043,0.4813,0.2000
0.014227,0.2813,0.2000
0.014399,0.2813,0.2000
0.014715,0.2813,0.2000
0.015016,0.0813,0.2000
0.015217,0.2813,0.2000
0.015389,0.2813,0.2000
0.015560,0.4813,0.2000
0.015734,0.2813,0.2000
0.015999,0.2813,0.2000
0.016200,0.2813,0.2000
0.016372,0.2813,0.2000
0.016543,0.2813,0.2000
0.016715,0.4813,0.2000
0.016968,0.2813,0.2000
0.017163,0.4813,0.2000
0.017341,0.2813,0.2000
0.017513,0.2813,0.2000
0.017685,0.2813,0.2000
0.017948,0.2813,0.2000
0.018143,0.2813,0.2000
0.018321,0.4813,0.2000
0.018492,0.2813,0.2000
0.018664,0.0813,0.2000
0.018924,0.2813,0.2000
0.019119,0.2813,0.2000
0.019297,0.2813,0.2000
0.019469,0.0813,0.2000
0.019641,0.2813,0.2000
0.019900,0.2813,0.2000
0.020096,0.2813,0.2000
0.020273,0.2813,0.2000
0.020445,0.2813,0.2000
0.020617,0.4813,0.2000
0.020874,0.2813,0.2000
0.021069,0.0813,0.2000
0.021247,0.2813,0.2000
0.021418,0.2813,0.2000
0.021590,0.4813,0.2000
0.021850,0.2813,0.2000
0.022045,0.2813,0.2000
0.022223,0.6813,0.2000
0.022394,0.2813,0.2000
0.022592,0.2813,0.2000
0.022872,0.2813,0.2000
0.023067,0.6813,0.2000
0.023245,0.2813,0.2000
0.023416,0.2813,0.2000
0.023588,0.2813,0.2000
0.023850,0.2813,0.2000
0.024045,0.2813,0.2000
0.024223,0.2813,0.2000
0.024394,0.2813,0.2000
0.024593,0.2813,0.2000
0.024846,0.4813,0.2000
0.025041,0.2813,0.2000
0.025219,0.2813,0.2000
0.025390,0.2813,0.2000
0.025592,0.2813,0.2000
0.025863,0.2813,0.2000
0.026058,0.2813,0.2000
0.026236,0.2813,0.2000
0.026408,0.2813,0.2000
0.026595,0.2813,0.2000
0.026861,0.2813,0.2000
0.027057,0.2813,0.2000
0.027235,0.2813,0.2000
0.027406,0.4813,0.2000
0.027592,0.2813,0.2000
0.027851,0.4813,0.2000
0.028047,0.2813,0.2000
0.028224,0.2813,0.2000
0.028396,0.2813,0.2000
0.028593,0.2813,0.2000
0.028846,0.2813,0.2000
0.029041,0.2813,0.2000
0.029219,0.0813,0.2000
0.029390,0.2813,0.2000
0.029593,0.4813,0.2000
0.029878,0.2813,0.2000
0.030066,0.2813,0.2000
0.030244,0.2813,0.2000
0.030416,0.2813,0.2000
0.030587,0.2813,0.2000
0.030849,0.2813,0.2000
0.031045,0.2813,0.2000
0.031222,0.2813,0.2000
0.031394,0.2813,0.2000
0.031593,0.2813,0.2000
0.031846,0.4813,0.2000
0.032041,0.2813,0.2000
0.032218,0.0813,0.2000
0.032390,0.2813,0.2000
0.032593,0.2813,0.2000
0.032852,0.2813,0.2000
0.033048,0.2813,0.2000
0.033225,0.2813,0.2000
0.033397,0.4813,0.2000
0.033593,0.4813,0.2000
0.033846,0.4813,0.2000
0.034041,0.2813,0.2000
0.034219,0.4813,0.2000
0.034390,0.2813,0.2000
0.034593,0.2813,0.2000
0.034852,0.2813,0.2000
0.035048,0.2813,0.2000
0.035225,0.2813,0.2000
0.035397,0.2813,0.2000
0.035593,0.2813,0.2000
0.035846,0.2813,0.2000
0.036041,0.2813,0.2000
0.036219,-0.1187,0.2000
0.036390,0.2813,0.2000
0.036593,0.2813,0.2000
0.036852,0.4813,0.2000
0.037048,0.2813,0.2000
0.037225,0.2813,0.2000
0.037397,0.2813,0.2000
0.037593,0.2813,0.2000
0.037846,0.2813,0.2000
0.038041,0.2813,0.2000
0.038219,0.0813,0.2000
0.038390,0.2813,0.2000
0.038593,0.2813,0.2000
0.038852,0.2813,0.2000
0.039048,0.2813,0.2000
0.039226,0.2813,0.2000
0.039398,0.2813,0.2000
0.039594,0.0813,0.2000
0.039847,0.2813,0.2000
0.040042,0.2813,0.2000
0.040220,0.2813,0.2000
0.040391,0.2813,0.2000
0.040593,0.4813,0.2000
0.040864,0.4813,0.2000
0.041060,0.4813,0.2000
0.041237,0.4813,0.2000
0.041409,0.2813,0.2000
0.041590,0.2813,0.2000
0.041857,0.2813,0.2000
0.042052,0.4813,0.2000
0.042230,0.2813,0.2000
0.042401,0.4813,0.2000
0.042593,0.2813,0.2000
0.042855,0.2813,0.2000
0.043050,0.2813,0.2000
0.043228,0.2813,0.2000
0.043399,0.2813,0.2000
0.043593,0.2813,0.2000
0.043859,0.2813,0.2000
0.044054,0.4813,0.2000
0.044232,0.2813,0.2000
0.044404,0.2813,0.2000
0.044653,0.4813,0.2000
0.044954,0.2813,0.2000
0.045149,0.4813,0.2000
0.045326,0.2813,0.2000
0.045498,0.2813,0.2000
0.045669,0.2813,0.2000
0.045938,0.2813,0.2000
0.046133,0.2813,0.2000
0.046311,2.0813,0.2000
0.046483,0.2813,0.2000
0.046654,0.2813,0.2000
0.046908,0.2813,0.2000
0.047103,0.2813,0.2000
0.047280,0.2813,0.2000
0.047452,0.2813,0.2000
0.047624,0.2813,0.2000
0.047889,0.2813,0.2000
0.048084,0.2813,0.2000
0.048262,0.4813,0.2000
0.048433,0.2813,0.2000
0.048605,0.2813,0.2000
0.048866,0.2813,0.2000
0.049061,0.2813,0.2000
0.049238,0.2813,0.2000
0.049410,0.2813,0.2000
0.049592,0.2813,0.2000
0.049862,0.2813,0.2000
0.050058,0.4813,0.2000
0.050236,0.2813,0.2000
0.050407,0.4813,0.2000
0.050593,0.2813,0.2000
0.050846,0.4813,0.2000
0.051041,0.2813,0.2000
0.051219,0.0813,0.2000
0.051390,0.2813,0.2000
0.051594,0.2813,0.2000
0.051866,0.2813,0.2000
0.052054,0.2813,0.2000
0.052231,0.2813,0.2000
0.052403,0.2813,0.2000
0.052594,0.4813,0.2000
0.052855,0.2813,0.2000
0.053051,0.2813,0.2000
0.053228,0.2813,0.2000
0.053400,0.4813,0.2000
0.053593,0.2813,0.2000
