t_s,i_a,u_v
0.000000,0.1437,0.3841
0.000660,0.1437,0.6779
0.000847,0.3437,0.7284
0.001019,0.1437,0.8319
0.001191,0.3437,0.8762
0.001366,0.5437,0.9164
0.001649,0.5437,1.0247
0.001853,0.7437,1.0696
0.002025,0.7437,1.1301
0.002197,0.7437,1.1906
0.002369,0.7437,1.2510
0.002633,1.5437,1.2034
0.002820,1.5437,1.2459
0.002992,1.7437,1.2526
0.003164,1.5437,1.3186
0.003336,1.7437,1.3254
0.003587,1.7437,1.3745
0.003791,1.9437,1.3812
0.003964,1.9437,1.4097
0.004136,2.1437,1.4058
0.004314,1.9437,1.4620
0.004567,2.1437,1.4689
0.004758,2.1437,1.4943
0.004930,2.1437,1.5173
0.005102,2.3437,1.5080
0.005274,2.1437,1.5579
0.005524,2.5437,1.5219
0.005728,2.7437,1.5031
0.005900,2.7437,1.5100
0.006072,3.5437,1.3878
0.006245,2.7437,1.5023
0.006498,2.7437,1.5124
0.006682,2.9437,1.4872
0.006860,2.7437,1.5212
0.007032,2.9437,1.4958
0.007207,2.9437,1.4973
0.007458,2.9437,1.4995
0.007656,2.9437,1.5012
0.007834,2.9437,1.5028
0.008006,2.9437,1.5043
0.008178,2.7437,1.5381
0.008431,2.9437,1.5134
0.008615,2.9437,1.5150
0.008793,3.1437,1.4841
0.008965,3.1437,1.4803
0.009138,3.1437,1.4764
0.009390,3.1437,1.4708
0.009588,3.1437,1.4663
0.009767,4.7437,1.2025
0.009939,3.1437,1.4138
0.010111,3.1437,1.4100
0.010364,3.1437,1.4043
0.010548,2.9437,1.4328
0.010726,2.9437,1.4344
0.010899,2.9437,1.4359
0.011071,2.9437,1.4374
0.011322,2.9437,1.4396
0.011520,3.3437,1.3752
0.011698,2.9437,1.4306
0.011870,3.1437,1.3998
0.012042,2.9437,1.4282
0.012298,2.9437,1.4305
0.012482,2.9437,1.4321
0.012654,2.9437,1.4336
0.012832,3.1437,1.4027
0.013005,3.1437,1.3988
0.013256,2.9437,1.4279
0.013454,2.9437,1.4297
0.013626,2.9437,1.4312
0.013804,2.9437,1.4327
0.014000,2.9437,1.4345
0.014254,2.9437,1.4367
0.014438,2.9437,1.4383
0.014610,2.9437,1.4398
0.014802,2.9437,1.4415
0.015148,2.9437,1.4445
0.015494,2.9437,1.4476
0.015710,3.1437,1.4158
0.015883,3.1437,1.4120
0.016055,2.9437,1.4404
0.016227,3.1437,1.4096
0.016490,2.9437,1.4388
0.016678,3.1437,1.4077
0.016856,2.9437,1.4362
0.017028,3.1437,1.4054
0.017200,2.9437,1.4338
0.017461,2.9437,1.4361
0.017664,2.9437,1.4379
0.017842,2.9437,1.4395
0.018014,2.3437,1.5377
0.018186,3.1437,1.4263
0.018438,3.1437,1.4207
0.018625,3.1437,1.4165
0.018803,3.1437,1.4125
0.018975,2.9437,1.4409
0.019147,2.9437,1.4424
0.019409,3.1437,1.4096
0.019612,2.9437,1.4383
0.019790,3.1437,1.4074
0.019962,2.9437,1.4358
0.020134,3.1437,1.4051
0.020385,2.9437,1.4342
0.020573,2.3437,1.5341
0.020751,2.9437,1.4550
0.020923,2.1437,1.5855
0.021095,2.9437,1.4795
0.021356,3.1437,1.4467
0.021560,3.1437,1.4421
0.021738,3.1437,1.4382
0.021910,2.9437,1.4666
0.022082,3.1437,1.4358
0.022335,3.1437,1.4301
0.022523,2.5437,1.5242
0.022701,2.9437,1.4720
0.022873,2.7437,1.5057
0.023045,3.1437,1.4481
0.023306,3.1437,1.4423
0.023509,3.1437,1.4377
0.023682,3.1437,1.4338
0.023860,2.9437,1.4623
0.024032,3.1437,1.4315
0.024286,3.1437,1.4259
0.024474,2.9437,1.4544
0.024646,3.1437,1.4237
0.024824,2.9437,1.4521
0.024996,3.1437,1.4214
0.025257,2.9437,1.4505
0.025461,2.9437,1.4523
0.025633,3.1437,1.4216
0.025811,3.1437,1.4176
0.025999,3.1437,1.4134
0.026250,3.1437,1.4078
0.026438,3.1437,1.4036
0.026610,2.9437,1.4320
0.026802,2.9437,1.4336
0.026999,2.9437,1.4354
0.027270,2.9437,1.4377
0.027473,2.1437,1.5724
0.027645,2.9437,1.4664
0.027824,2.1437,1.5978
0.027996,3.1437,1.4595
0.028247,3.1437,1.4539
0.028434,3.3437,1.4170
0.028607,3.1437,1.4400
0.028803,2.9437,1.4686
0.029001,3.1437,1.4373
0.029264,3.1437,1.4314
0.029468,3.1437,1.4268
0.029642,3.1437,1.4229
0.029820,3.1437,1.4189
0.029992,2.9437,1.4473
0.030240,2.9437,1.4495
0.030428,3.1437,1.4184
0.030602,2.9437,1.4468
0.030799,2.9437,1.4485
