t_s,i_a,u_v
0.000000,0.2563,0.2000
0.000444,0.2563,0.2000
0.000622,0.2563,0.2000
0.000795,0.2563,0.2000
0.001136,0.4563,0.2000
0.001327,0.2563,0.2000
0.001502,0.2563,0.2000
0.001674,0.2563,0.2000
0.001846,0.0563,0.2000
0.002127,0.2563,0.2000
0.002334,0.0563,0.2000
0.002509,0.2563,0.2000
0.002681,0.2563,0.2000
0.002852,0.2563,0.2000
0.003109,0.2563,0.2000
0.003299,0.2563,0.2000
0.003475,0.4563,0.2000
0.003646,0.2563,0.2000
0.003818,0.2563,0.2000
0.004078,0.2563,0.2000
0.004282,0.2563,0.2000
0.004457,0.2563,0.2000
0.004629,0.2563,0.2000
0.004801,0.2563,0.2000
0.005063,0.0563,0.2000
0.005254,0.2563,0.2000
0.005429,0.2563,0.2000
0.005601,0.2563,0.2000
0.005775,0.4563,0.2000
0.006033,0.2563,0.2000
0.006236,0.2563,0.2000
0.006412,0.2563,0.2000
0.006583,0.4563,0.2000
0.006755,0.2563,0.2000
0.007011,0.4563,0.2000
0.007196,0.2563,0.2000
0.007377,0.4563,0.2000
0.007549,0.2563,0.2000
0.007721,0.2563,0.2000
0.007979,0.2563,0.2000
0.008176,0.2563,0.2000
0.008358,0.2563,0.2000
0.008529,0.4563,0.2000
0.008701,0.4563,0.2000
0.008957,0.2563,0.2000
0.009142,0.2563,0.2000
0.009324,0.2563,0.2000
0.009496,0.0563,0.2000
0.009668,0.2563,0.2000
0.009925,0.2563,0.2000
0.010123,0.2563,0.2000
0.010305,0.2563,0.2000
0.010476,0.2563,0.2000
0.010648,0.4563,0.2000
0.010904,0.2563,0.2000
0.011089,0.2563,0.2000
0.011271,0.2563,0.2000
0.011442,0.2563,0.2000
0.011614,0.2563,0.2000
0.011872,0.2563,0.2000
0.012069,0.2563,0.2000
0.012251,0.0563,0.2000
0.012422,0.4563,0.2000
0.012594,0.4563,0.2000
0.012854,0.2563,0.2000
0.013039,0.2563,0.2000
0.013220,0.2563,0.2000
0.013392,0.4563,0.2000
0.013703,0.2563,0.2000
0.014028,0.2563,0.2000
0.014229,0.2563,0.2000
0.014407,0.2563,0.2000
0.014578,0.2563,0.2000
0.014750,0.2563,0.2000
0.015005,0.2563,0.2000
0.015188,0.2563,0.2000
0.015372,0.2563,0.2000
0.015543,0.2563,0.2000
0.015715,0.2563,0.2000
0.015980,0.2563,0.2000
0.016175,0.2563,0.2000
0.016359,0.2563,0.2000
0.016530,0.2563,0.2000
0.016702,0.2563,0.2000
0.016961,0.2563,0.2000
0.017143,0.2563,0.2000
0.017328,0.2563,0.2000
0.017499,0.4563,0.2000
0.017671,0.2563,0.2000
0.017931,0.0563,0.2000
0.018126,0.2563,0.2000
0.018310,0.4563,0.2000
0.018481,0.2563,0.2000
0.018653,0.2563,0.2000
0.018909,0.2563,0.2000
0.019092,0.4563,0.2000
0.019276,0.4563,0.2000
0.019447,0.4563,0.2000
0.019619,0.2563,0.2000
0.019879,0.2563,0.2000
0.020074,0.2563,0.2000
0.020258,0.4563,0.2000
0.020429,0.4563,0.2000
0.020601,0.2563,0.2000
0.020857,0.4563,0.2000
0.021039,0.2563,0.2000
0.021223,0.2563,0.2000
0.021394,0.6563,0.2000
0.021593,0.2563,0.2000
0.021863,0.2563,0.2000
0.022059,0.2563,0.2000
0.022242,0.4563,0.2000
0.022414,0.4563,0.2000
0.022586,0.2563,0.2000
0.022839,0.4563,0.2000
0.023022,0.2563,0.2000
0.023199,0.4563,0.2000
0.023390,0.2563,0.2000
0.023588,0.6563,0.2000
0.023851,0.4563,0.2000
0.024054,0.2563,0.2000
0.024238,0.2563,0.2000
0.024409,0.4563,0.2000
0.024581,0.2563,0.2000
0.024838,0.2563,0.2000
0.025020,0.2563,0.2000
0.025198,0.2563,0.2000
0.025390,0.2563,0.2000
0.025589,0.8563,0.2000
0.025850,0.2563,0.2000
0.026046,0.4563,0.2000
0.026229,0.4563,0.2000
0.026401,0.2563,0.2000
0.026592,1.6563,0.2000
0.026845,0.4563,0.2000
0.027027,0.2563,0.2000
0.027211,0.4563,0.2000
0.027383,0.4563,0.2000
0.027589,0.2563,0.2000
0.027861,0.4563,0.2000
0.028060,0.4563,0.2000
0.028238,1.0563,0.2000
0.028410,0.2563,0.2000
0.028581,0.4563,0.2000
0.028836,0.4563,0.2000
0.029023,0.2563,0.2000
0.029195,0.4563,0.2000
0.029390,0.2563,0.2000
0.029589,0.4563,0.2000
0.029855,0.4563,0.2000
0.030057,0.2563,0.2000
0.030234,0.4563,0.2000
0.030406,0.4563,0.2000
0.030591,0.4563,0.2000
0.030850,0.4563,0.2000
0.031037,0.4563,0.2000
0.031214,0.4563,0.2000
0.031386,0.4563,0.2000
0.031590,0.4563,0.2000
0.031857,0.2563,0.2000
0.032043,0.4563,0.2000
0.032221,0.2563,0.2000
0.032393,0.4563,0.2000
0.032590,0.0563,0.2000
0.032854,0.4563,0.2000
0.033053,0.2563,0.2000
0.033231,0.2563,0.2000
0.033403,0.4563,0.2000
0.033588,0.2563,0.2000
0.033844,0.4563,0.2000
0.034030,0.2563,0.2000
0.034202,0.4563,0.2000
0.034388,-0.3437,0.2000
0.034589,0.2563,0.2000
0.034850,0.2563,0.2000
0.035050,0.4563,0.2000
0.035227,0.2563,0.2000
0.035399,0.4563,0.2000
0.035590,0.4563,0.2000
0.035845,0.4563,0.2000
0.036031,0.2563,0.2000
0.036203,0.2563,0.2000
0.036389,0.4563,0.2000
0.036589,0.6563,0.2000
0.036850,0.4563,0.2000
0.037050,0.4563,0.2000
0.037227,0.4563,0.2000
0.037399,0.4563,0.2000
0.037590,-0.1437,0.2000
0.037845,0.4563,0.2000
0.038031,0.4563,0.2000
0.038203,0.2563,0.2000
0.038389,0.2563,0.2000
0.038589,0.6563,0.2000
0.038850,0.2563,0.2000
0.039050,0.4563,0.2000
0.039228,0.2563,0.2000
0.039399,0.4563,0.2000
0.039590,0.2563,0.2000
0.039845,0.2563,0.2000
0.040031,0.2563,0.2000
0.040203,0.2563,0.2000
0.040381,0.2563,0.2000
0.040589,0.4563,0.2000
0.040850,0.4563,0.2000
0.041050,0.2563,0.2000
0.041228,0.4563,0.2000
0.041400,0.2563,0.2000
0.041590,0.0563,0.2000
0.041845,0.2563,0.2000
0.042032,0.4563,0.2000
0.042209,0.2563,0.2000
0.042381,0.2563,0.2000
0.042590,0.4563,0.2000
0.042864,-0.1437,0.2000
0.043063,0.4563,0.2000
0.043242,0.4563,0.2000
0.043414,0.4563,0.2000
0.043668,0.4563,0.2000
0.043990,0.2563,0.2000
0.044185,0.4563,0.2000
0.044363,0.2563,0.2000
0.044535,0.2563,0.2000
0.044706,0.2563,0.2000
0.044973,0.2563,0.2000
0.045168,0.2563,0.2000
0.045345,0.0563,0.2000
0.045517,0.2563,0.2000
0.045689,0.4563,0.2000
0.045945,0.2563,0.2000
0.046141,0.2563,0.2000
0.046318,0.2563,0.2000
0.046490,0.2563,0.2000
0.046662,0.2563,0.2000
0.046923,0.4563,0.2000
0.047118,0.2563,0.2000
0.047296,0.0563,0.2000
0.047467,0.4563,0.2000
0.047639,0.8563,0.2000
0.047902,0.4563,0.2000
0.048098,0.2563,0.2000
0.048276,0.2563,0.2000
0.048447,0.0563,0.2000
0.048619,0.4563,0.2000
0.048878,0.2563,0.2000
0.049072,0.2563,0.2000
0.049250,0.4563,0.2000
0.049422,0.2563,0.2000
0.049593,0.4563,0.2000
0.049850,0.4563,0.2000
0.050045,0.2563,0.2000
0.050223,0.4563,0.2000
0.050395,0.4563,0.2000
0.050590,0.2563,0.2000
0.050849,0.2563,0.2000
0.051043,1.6563,0.2000
0.051221,0.4563,0.2000
0.051393,0.4563,0.2000
0.051589,0.2563,0.2000
0.051845,0.2563,0.2000
0.052041,0.2563,0.2000
0.052219,0.2563,0.2000
0.052391,-0.1437,0.2000
0.052589,0.2563,0.2000
0.052848,0.4563,0.2000
0.053043,0.4563,0.2000
0.053221,0.4563,0.2000
0.053392,0.0563,0.2000
0.053589,0.2563,0.2000
0.053845,0.2563,0.2000
0.054041,0.4563,0.2000
0.054219,0.4563,0.2000
0.054390,0.2563,0.2000
0.054588,0.4563,0.2000
0.054861,0.4563,0.2000
0.055062,0.2563,0.2000
0.055240,0.4563,0.2000
0.055411,0.2563,0.2000
0.055583,0.2563,0.2000
0.055844,0.4563,0.2000
0.056038,1.8563,0.2000
0.056216,0.2563,0.2000
0.056388,0.0563,0.2000
0.056592,0.2563,0.2000
0.056858,0.2563,0.2000
0.057046,0.2563,0.2000
0.057224,0.2563,0.2000
0.057396,0.2563,0.2000
0.057593,0.2563,0.2000
0.057864,0.4563,0.2000
0.058057,0.2563,0.2000
0.058235,0.2563,0.2000
0.058407,0.0563,0.2000
0.058586,0.4563,0.2000
0.058843,0.2563,0.2000
0.059037,0.2563,0.2000
0.059215,0.2563,0.2000
0.059386,0.2563,0.2000
0.059589,0.2563,0.2000
0.059847,0.4563,0.2000
0.060041,-0.1437,0.2000
0.060219,0.2563,0.2000
0.060391,0.2563,0.2000
0.060589,0.4563,0.2000
0.060845,0.4563,0.2000
0.061040,0.4563,0.2000
0.061218,0.2563,0.2000
0.061389,0.8563,0.2000
0.061589,0.8563,0.2000
0.061847,0.2563,0.2000
0.062041,0.2563,0.2000
0.062219,0.4563,0.2000
0.062390,0.0563,0.2000
0.062589,0.8563,0.2000
0.062845,0.4563,0.2000
0.063040,0.4563,0.2000
0.063218,0.2563,0.2000
0.063389,0.8563,0.2000
0.063589,0.4563,0.2000
0.063847,0.4563,0.2000
0.064041,0.0563,0.2000
0.064219,0.2563,0.2000
0.064390,0.4563,0.2000
0.064589,0.2563,0.2000
0.064845,0.2563,0.2000
0.065040,0.4563,0.2000
0.065218,0.2563,0.2000
0.065389,0.6563,0.2000
0.065589,0.4563,0.2000
0.065847,0.2563,0.2000
