t_s,i_a,u_v
0.000000,0.2563,0.0488
0.000460,0.0563,0.0946
0.000819,0.2563,0.1219
0.001005,0.0563,0.1425
0.001177,0.2563,0.1537
0.001349,0.0563,0.1731
0.001521,0.2563,0.1842
0.001819,0.2563,0.2098
0.002013,0.2563,0.2264
0.002185,0.4563,0.2365
0.002357,0.2563,0.2548
0.002529,0.4563,0.2649
0.002781,0.2563,0.2901
0.002980,0.4563,0.3023
0.003152,0.2563,0.3206
0.003324,0.2563,0.3354
0.003496,0.4563,0.3455
0.003750,0.4563,0.3657
0.003950,0.4563,0.3815
0.004122,0.4563,0.3952
0.004294,0.4563,0.4089
0.004467,0.4563,0.4226
0.004725,0.4563,0.4431
0.004924,0.4563,0.4589
0.005096,0.6563,0.4680
0.005268,0.6563,0.4806
0.005440,0.4563,0.4978
0.005691,0.4563,0.5177
0.005892,0.6563,0.5289
0.006064,0.6563,0.5415
0.006236,1.6563,0.5309
0.006408,0.6563,0.5613
0.006660,0.6563,0.5797
0.006859,0.6563,0.5943
0.007031,1.4563,0.5884
0.007203,0.8563,0.6105
0.007377,0.8563,0.6222
0.007628,0.6563,0.6441
0.007829,0.8563,0.6540
0.008001,0.8563,0.6655
0.008173,0.8563,0.6771
0.008345,0.8563,0.6886
0.008596,0.8563,0.7054
0.008790,0.8563,0.7184
0.008968,1.0563,0.7256
0.009140,1.0563,0.7361
0.009313,1.0563,0.7466
0.009564,0.8563,0.7669
0.009758,1.6563,0.7608
0.009936,2.0563,0.7590
0.010108,1.0563,0.7872
0.010280,1.0563,0.7976
0.010532,1.6563,0.7976
0.010725,1.6563,0.8057
0.010903,1.6563,0.8131
0.011075,1.8563,0.8157
0.011247,1.6563,0.8265
0.011502,1.8563,0.8320
0.011696,1.6563,0.8437
0.011874,1.8563,0.8465
0.012046,1.8563,0.8527
0.012218,1.8563,0.8588
0.012470,1.8563,0.8678
0.012663,1.8563,0.8747
0.012841,2.2563,0.8717
0.013013,1.8563,0.8850
0.013335,2.0563,0.8909
0.013656,2.0563,0.9004
0.013863,2.0563,0.9065
0.014035,2.0563,0.9116
0.014207,2.0563,0.9166
0.014379,2.0563,0.9217
0.014635,2.2563,0.9241
0.014829,2.0563,0.9334
0.015001,2.2563,0.9338
0.015173,2.2563,0.9378
0.015345,2.0563,0.9464
0.015614,2.2563,0.9491
0.015821,2.2563,0.9539
0.015993,2.2563,0.9579
0.016165,2.2563,0.9619
0.016337,1.8563,0.9752
0.016597,2.2563,0.9741
0.016785,2.2563,0.9785
0.016963,2.2563,0.9826
0.017135,2.2563,0.9866
0.017308,2.2563,0.9906
0.017571,2.2563,0.9967
0.017772,2.2563,1.0014
0.017950,2.2563,1.0055
0.018122,2.2563,1.0095
0.018294,2.2563,1.0135
0.018548,2.2563,1.0194
0.018736,2.2563,1.0238
0.018914,2.2563,1.0279
0.019086,2.4563,1.0273
0.019258,2.2563,1.0348
0.019524,2.4563,1.0358
0.019725,2.4563,1.0392
0.019903,2.4563,1.0422
0.020075,2.2563,1.0498
0.020247,2.4563,1.0492
0.020504,2.6563,1.0484
0.020692,2.4563,1.0551
0.020870,2.6563,1.0535
0.021042,2.4563,1.0599
0.021214,2.6563,1.0582
0.021478,2.2563,1.0715
0.021678,2.4563,1.0713
0.021856,2.6563,1.0697
0.022028,2.4563,1.0762
0.022200,2.8563,1.0698
0.022454,2.8563,1.0710
0.022642,2.8563,1.0718
0.022820,2.4563,1.0819
0.022992,2.6563,1.0802
0.023184,2.6563,1.0823
0.023463,2.6563,1.0853
0.023663,2.6563,1.0874
0.023841,2.8563,1.0847
0.024013,2.8563,1.0854
0.024185,3.6563,1.0677
0.024439,2.8563,1.0831
0.024627,2.6563,1.0886
0.024804,2.8563,1.0859
0.024976,2.6563,1.0913
0.025181,2.8563,1.0886
0.025448,3.0563,1.0846
0.025636,3.4563,1.0748
0.025814,2.8563,1.0863
0.025986,3.4563,1.0732
0.026183,3.0563,1.0799
0.026467,2.8563,1.0848
0.026668,3.0563,1.0809
0.026846,2.8563,1.0852
0.027018,2.8563,1.0860
0.027190,3.0563,1.0821
0.027447,3.0563,1.0817
0.027635,3.8563,1.0624
0.027813,3.0563,1.0763
0.027985,3.8563,1.0575
0.028186,2.8563,1.0762
0.028444,2.8563,1.0773
0.028631,3.0563,1.0735
0.028810,2.8563,1.0778
0.028981,2.4563,1.0878
0.029180,2.8563,1.0816
0.029454,2.8563,1.0828
0.029655,3.0563,1.0789
0.029833,2.8563,1.0833
0.030004,2.8563,1.0841
0.030176,2.8563,1.0848
0.030430,2.8563,1.0860
0.030618,2.8563,1.0868
0.030790,3.0563,1.0830
0.030982,2.8563,1.0874
0.031181,3.2563,1.0787
0.031449,2.8563,1.0870
0.031649,2.8563,1.0879
0.031827,2.8563,1.0887
0.031999,2.8563,1.0895
0.032179,2.8563,1.0903
0.032433,2.8563,1.0914
0.032621,3.0563,1.0875
0.032793,3.0563,1.0872
0.032980,2.8563,1.0916
0.033181,3.4563,1.0781
0.033445,3.0563,1.0847
0.033645,2.8563,1.0892
0.033823,2.8563,1.0900
0.033995,2.8563,1.0908
0.034181,3.4563,1.0774
0.034435,3.0563,1.0841
0.034622,2.8563,1.0885
0.034794,3.0563,1.0846
0.034981,3.4563,1.0749
0.035181,3.4563,1.0720
0.035445,3.0563,1.0787
0.035645,3.0563,1.0783
0.035823,3.0563,1.0780
0.035995,3.0563,1.0777
0.036181,3.0563,1.0774
0.036435,3.0563,1.0769
0.036623,3.0563,1.0766
0.036795,2.8563,1.0809
0.036981,3.6563,1.0629
0.037181,3.4563,1.0636
0.037445,2.8563,1.0754
0.037645,2.8563,1.0763
0.037823,2.8563,1.0771
0.037995,2.8563,1.0779
0.038181,3.0563,1.0740
0.038435,3.0563,1.0736
0.038623,3.0563,1.0732
0.038795,2.8563,1.0776
0.038973,2.8563,1.0784
0.039180,3.0563,1.0745
0.039466,2.8563,1.0793
0.039667,3.0563,1.0754
0.039845,3.0563,1.0751
0.040017,2.8563,1.0794
0.040189,3.0563,1.0755
0.040444,2.8563,1.0802
0.040632,2.4563,1.0905
0.040810,2.8563,1.0842
0.040982,2.2563,1.0989
0.041185,2.8563,1.0891
0.041461,3.0563,1.0851
0.041662,3.0563,1.0847
0.041840,3.0563,1.0844
0.042012,3.0563,1.0841
0.042184,2.8563,1.0885
0.042438,3.0563,1.0845
0.042625,3.0563,1.0841
0.042803,2.8563,1.0885
0.042975,2.8563,1.0893
0.043228,2.8563,1.0904
0.043557,2.8563,1.0919
0.043758,2.8563,1.0928
0.043936,3.4563,1.0796
0.044108,3.0563,1.0864
0.044280,3.4563,1.0768
0.044532,3.0563,1.0835
0.044720,3.0563,1.0831
0.044898,2.8563,1.0875
0.045069,2.8563,1.0883
0.045241,2.8563,1.0890
0.045511,2.8563,1.0903
0.045712,3.0563,1.0863
0.045890,3.0563,1.0860
0.046062,2.8563,1.0904
0.046234,2.6563,1.0958
0.046493,3.0563,1.0882
0.046680,2.8563,1.0926
0.046859,3.0563,1.0887
0.047031,3.6563,1.0745
0.047203,3.0563,1.0849
0.047467,3.0563,1.0844
0.047667,3.0563,1.0841
0.047845,3.0563,1.0838
0.048017,3.0563,1.0835
0.048189,3.0563,1.0832
0.048445,3.0563,1.0827
0.048633,2.8563,1.0871
0.048811,3.0563,1.0832
0.048983,3.0563,1.0829
0.049183,3.2563,1.0778
0.049457,2.6563,1.0914
0.049657,3.0563,1.0839
0.049835,3.8563,1.0649
0.050007,3.0563,1.0789
0.050179,2.8563,1.0832
0.050431,3.0563,1.0792
0.050619,3.0563,1.0789
0.050791,3.0563,1.0786
0.050983,3.0563,1.0782
0.051181,2.2563,1.0970
0.051444,2.8563,1.0876
0.051644,2.8563,1.0885
0.051822,2.8563,1.0893
0.051994,3.0563,1.0854
0.052180,3.4563,1.0756
0.052432,3.6563,1.0669
0.052620,3.0563,1.0773
0.052792,3.0563,1.0769
0.052983,2.8563,1.0814
0.053181,3.4563,1.0679
0.053443,2.8563,1.0797
0.053643,2.8563,1.0806
0.053821,2.8563,1.0814
0.053993,3.0563,1.0776
0.054184,2.8563,1.0820
0.054436,2.8563,1.0831
0.054624,3.0563,1.0792
0.054802,3.0563,1.0789
0.054973,2.8563,1.0832
0.055186,2.8563,1.0842
0.055466,2.8563,1.0854
0.055653,2.8563,1.0863
0.055833,2.8563,1.0871
0.056005,2.8563,1.0879
0.056177,2.6563,1.0933
0.056441,2.8563,1.0909
0.056642,2.8563,1.0918
0.056822,2.8563,1.0926
0.056994,3.0563,1.0887
0.057184,3.0563,1.0884
0.057447,3.0563,1.0879
0.057634,2.4563,1.1018
0.057815,3.0563,1.0908
0.057987,2.2563,1.1090
0.058181,3.0563,1.0945
0.058450,3.0563,1.0940
0.058651,3.0563,1.0936
0.058831,3.6563,1.0793
0.059003,3.0563,1.0896
0.059175,3.0563,1.0893
0.059424,2.8563,1.0940
0.059612,3.0563,1.0901
0.059786,3.0563,1.0898
0.059983,3.0563,1.0895
0.060181,3.4563,1.0795
0.060443,2.8563,1.0914
0.060643,3.0563,1.0875
0.060823,3.0563,1.0872
0.060995,3.0563,1.0869
0.061181,2.8563,1.0912
0.061431,3.0563,1.0872
0.061619,3.0563,1.0869
0.061793,3.0563,1.0866
0.061979,2.8563,1.0910
0.062181,3.4563,1.0775
0.062441,3.0563,1.0841
0.062641,3.0563,1.0838
0.062821,3.0563,1.0834
0.062993,3.0563,1.0831
0.063184,3.0563,1.0828
0.063434,3.0563,1.0824
0.063622,3.0563,1.0820
0.063802,2.8563,1.0864
0.063974,3.0563,1.0825
0.064181,3.2563,1.0773
0.064441,3.0563,1.0804
0.064641,2.8563,1.0849
0.064821,2.8563,1.0857
0.064993,3.0563,1.0818
0.065184,2.8563,1.0862
0.065434,3.0563,1.0823
0.065622,3.0563,1.0819
0.065802,3.0563,1.0816
0.065974,3.0563,1.0813
0.066181,3.2563,1.0761
0.066441,3.0563,1.0792
0.066641,3.0563,1.0788
0.066822,2.8563,1.0832
0.066993,3.0563,1.0793
0.067184,2.8563,1.0838
0.067434,2.8563,1.0849
0.067622,2.8563,1.0857
0.067803,3.0563,1.0819
0.067975,3.2563,1.0769
0.068181,3.0563,1.0801
0.068441,2.8563,1.0848
0.068641,2.8563,1.0857
0.068822,2.8563,1.0865
0.068994,3.0563,1.0827
0.069184,3.0563,1.0824
0.069447,2.8563,1.0871
