t_s,i_a,u_v
0.000000,-0.0563,0.2312
0.000652,-0.0563,0.4059
0.000845,0.1437,0.4391
0.001017,0.1437,0.4822
0.001189,0.3437,0.5071
0.001362,0.3437,0.5474
0.001649,0.3437,0.6142
0.001853,0.3437,0.6618
0.002026,0.5437,0.6839
0.002198,0.3437,0.7391
0.002370,0.5437,0.7610
0.002620,0.5437,0.8148
0.002814,0.5437,0.8566
0.002986,0.7437,0.8755
0.003158,0.7437,0.9095
0.003330,0.7437,0.9436
0.003581,0.9437,0.9737
0.003786,0.9437,1.0107
0.003958,0.7437,1.0598
0.004130,0.9437,1.0757
0.004302,1.5437,1.0523
0.004552,1.5437,1.0842
0.004746,1.5437,1.1090
0.004918,1.9437,1.0946
0.005090,1.7437,1.1287
0.005262,1.7437,1.1477
0.005512,1.9437,1.1557
0.005717,2.1437,1.1560
0.005889,1.7437,1.2052
0.006061,1.9437,1.2060
0.006233,1.9437,1.2219
0.006483,1.9437,1.2450
0.006671,1.9437,1.2625
0.006849,2.1437,1.2607
0.007021,1.9437,1.2918
0.007193,2.1437,1.2895
0.007444,2.1437,1.3084
0.007643,2.1437,1.3233
0.007821,2.1437,1.3367
0.007993,2.1437,1.3496
0.008166,2.1437,1.3626
0.008416,2.1437,1.3814
0.008603,2.1437,1.3954
0.008781,2.1437,1.4088
0.008953,2.3437,1.4035
0.009125,2.3437,1.4134
0.009375,2.3437,1.4278
0.009574,2.1437,1.4579
0.009753,2.5437,1.4348
0.009925,2.7437,1.4235
0.010097,2.7437,1.4274
0.010350,2.7437,1.4331
0.010537,2.7437,1.4373
0.010715,2.7437,1.4413
0.010887,2.7437,1.4452
0.011059,2.9437,1.4309
0.011309,2.7437,1.4516
0.011508,2.7437,1.4561
0.011680,2.9437,1.4418
0.011858,2.7437,1.4609
0.012030,2.9437,1.4467
0.012280,2.9437,1.4479
0.012468,3.3437,1.4120
0.012640,2.9437,1.4431
0.012818,2.7437,1.4622
0.013146,2.9437,1.4487
0.013482,2.9437,1.4504
0.013686,2.9437,1.4514
0.013864,2.9437,1.4522
0.014036,2.9437,1.4531
0.014209,2.9437,1.4540
0.014465,2.9437,1.4552
0.014655,2.9437,1.4562
0.014833,2.9437,1.4570
0.015005,2.9437,1.4579
0.015177,3.1437,1.4406
0.015434,2.9437,1.4570
0.015638,2.9437,1.4580
0.015816,3.3437,1.4224
0.015989,2.9437,1.4535
0.016161,2.9437,1.4543
0.016415,2.9437,1.4556
0.016605,3.1437,1.4381
0.016783,3.1437,1.4358
0.016955,2.9437,1.4518
0.017127,3.1437,1.4345
0.017383,2.9437,1.4509
0.017588,2.9437,1.4519
0.017766,2.9437,1.4528
0.017938,3.1437,1.4355
0.018110,2.9437,1.4515
0.018365,2.9437,1.4527
0.018554,2.9437,1.4537
0.018732,3.1437,1.4363
0.018904,2.9437,1.4523
0.019076,2.7437,1.4713
0.019332,2.9437,1.4574
0.019537,3.1437,1.4397
0.019715,2.9437,1.4557
0.019887,3.1437,1.4384
0.020059,2.9437,1.4544
0.020313,3.3437,1.4165
0.020503,2.9437,1.4477
0.020675,2.9437,1.4485
0.020853,2.9437,1.4494
0.021025,2.9437,1.4502
0.021281,2.9437,1.4515
0.021485,2.9437,1.4525
0.021657,2.7437,1.4715
0.021836,3.1437,1.4390
0.022008,2.9437,1.4550
0.022263,2.9437,1.4562
0.022452,3.1437,1.4387
0.022624,2.9437,1.4547
0.022802,2.9437,1.4556
0.022999,2.9437,1.4565
0.023259,2.9437,1.4578
0.023470,3.1437,1.4400
0.023642,3.1437,1.4379
0.023821,2.9437,1.4539
0.023993,2.9437,1.4547
0.024251,2.9437,1.4560
0.024440,3.1437,1.4385
0.024613,2.9437,1.4545
0.024799,3.1437,1.4370
0.024999,2.9437,1.4531
0.025263,2.9437,1.4544
0.025467,4.7437,1.2871
0.025639,2.9437,1.4241
0.025817,3.9437,1.3337
0.025997,2.9437,1.4102
0.026252,2.9437,1.4115
0.026441,2.9437,1.4124
0.026613,2.9437,1.4133
0.026799,2.9437,1.4142
0.027000,2.9437,1.4152
0.027270,2.9437,1.4165
0.027473,2.1437,1.4923
0.027646,2.9437,1.4326
0.027824,2.1437,1.5065
0.027996,2.9437,1.4468
0.028250,2.9437,1.4481
0.028438,3.1437,1.4306
0.028611,2.9437,1.4466
0.028799,2.9437,1.4475
0.029004,2.9437,1.4485
0.029275,2.9437,1.4498
0.029463,2.9437,1.4508
0.029636,2.9437,1.4516
0.029815,2.9437,1.4525
0.030000,2.9437,1.4534
0.030261,3.1437,1.4350
0.030464,2.9437,1.4511
0.030637,2.9437,1.4520
0.030815,2.9437,1.4529
0.031001,3.1437,1.4354
0.031256,2.3437,1.5106
0.031444,2.9437,1.4661
0.031617,3.1437,1.4488
0.031795,2.9437,1.4648
0.032000,3.1437,1.4471
0.032258,3.1437,1.4439
0.032461,3.1437,1.4413
0.032634,2.9437,1.4573
0.032812,3.1437,1.4399
0.033003,2.9437,1.4560
0.033258,2.9437,1.4573
0.033445,3.1437,1.4398
0.033619,2.9437,1.4558
0.033797,3.1437,1.4384
0.034000,3.1437,1.4358
0.034256,3.1437,1.4326
0.034459,2.9437,1.4487
0.034632,3.1437,1.4314
0.034810,2.9437,1.4474
0.035001,2.9437,1.4484
0.035256,2.9437,1.4496
0.035444,2.9437,1.4506
0.035617,3.1437,1.4333
