t_s,i_a,u_v
0.000000,0.4563,0.0500
0.000459,0.2563,0.0954
0.000809,0.2563,0.1271
0.001001,0.2563,0.1444
0.001173,0.2563,0.1599
0.001345,0.2563,0.1755
0.001517,0.2563,0.1910
0.001815,0.2563,0.2179
0.002022,0.2563,0.2367
0.002194,0.2563,0.2522
0.002370,0.2563,0.2681
0.002542,0.6563,0.2735
0.002800,0.4563,0.2990
0.002996,0.4563,0.3155
0.003168,0.4563,0.3299
0.003340,0.2563,0.3493
0.003512,0.2563,0.3649
0.003774,0.4563,0.3829
0.003982,0.4563,0.4003
0.004154,0.4563,0.4147
0.004330,0.4563,0.4295
0.004502,0.4563,0.4439
0.004766,0.4563,0.4660
0.004961,0.6563,0.4771
0.005133,0.6563,0.4904
0.005305,0.6563,0.5037
0.005480,0.4563,0.5223
0.005738,0.6563,0.5382
0.005947,0.6563,0.5544
0.006119,0.6563,0.5676
0.006291,0.8563,0.5758
0.006464,0.6563,0.5931
0.006720,0.8563,0.6073
0.006916,0.8563,0.6211
0.007088,0.8563,0.6332
0.007260,0.8563,0.6454
0.007432,0.8563,0.6575
0.007691,0.8563,0.6758
0.007900,0.8563,0.6906
0.008072,1.0563,0.6976
0.008244,2.0563,0.6833
0.008416,1.0563,0.7140
0.008672,1.6563,0.7135
0.008869,1.0563,0.7379
0.009041,0.8563,0.7540
0.009212,1.6563,0.7458
0.009385,1.0563,0.7687
0.009644,1.0563,0.7853
0.009853,1.0563,0.7987
0.010025,1.6563,0.7945
0.010197,1.0563,0.8173
0.010370,1.8563,0.8081
0.010627,1.8563,0.8178
0.010822,1.6563,0.8303
0.010994,2.0563,0.8278
0.011166,1.8563,0.8382
0.011338,2.2563,0.8345
0.011597,1.8563,0.8522
0.011800,1.8563,0.8598
0.011978,1.8563,0.8665
0.012150,1.8563,0.8730
0.012323,1.8563,0.8795
0.012579,1.8563,0.8892
0.012769,1.8563,0.8963
0.012947,2.0563,0.8979
0.013119,2.0563,0.9033
0.013291,2.0563,0.9086
0.013550,2.0563,0.9166
0.013752,1.8563,0.9282
0.013930,2.0563,0.9298
0.014102,2.0563,0.9351
0.014274,2.2563,0.9354
0.014531,2.2563,0.9417
0.014720,2.2563,0.9463
0.014898,2.2563,0.9507
0.015070,2.2563,0.9549
0.015243,2.2563,0.9591
0.015502,2.2563,0.9655
0.015704,2.2563,0.9704
0.015882,2.2563,0.9748
0.016054,2.2563,0.9790
0.016226,2.2563,0.9832
0.016483,2.2563,0.9895
0.016672,2.2563,0.9941
0.016850,2.2563,0.9985
0.017022,2.2563,1.0027
0.017194,2.2563,1.0069
0.017457,2.2563,1.0134
0.017659,2.2563,1.0183
0.017837,2.2563,1.0227
0.018009,2.2563,1.0269
0.018181,2.2563,1.0311
0.018438,2.2563,1.0374
0.018627,2.2563,1.0420
0.018799,2.4563,1.0412
0.018989,2.4563,1.0446
0.019188,3.0563,1.0324
0.019448,2.4563,1.0489
0.019650,2.4563,1.0525
0.019828,2.4563,1.0557
0.020000,2.4563,1.0587
0.020191,2.4563,1.0622
0.020447,2.8563,1.0555
0.020637,2.4563,1.0668
0.020815,2.6563,1.0649
0.020987,2.6563,1.0668
0.021194,2.6563,1.0691
0.021458,2.6563,1.0721
0.021647,2.8563,1.0691
0.021825,2.6563,1.0750
0.021997,2.8563,1.0719
0.022321,2.8563,1.0735
0.022654,2.8563,1.0750
0.022848,2.8563,1.0759
0.023020,2.8563,1.0768
0.023192,2.8563,1.0776
0.023365,2.8563,1.0784
0.023635,2.8563,1.0797
0.023843,3.8563,1.0541
0.024015,2.8563,1.0746
0.024187,2.8563,1.0754
0.024359,2.8563,1.0763
0.024616,2.8563,1.0775
0.024811,2.8563,1.0784
0.024983,2.8563,1.0792
0.025155,3.0563,1.0750
0.025331,2.8563,1.0797
0.025592,2.8563,1.0810
0.025794,3.0563,1.0766
0.025972,2.8563,1.0814
0.026144,3.0563,1.0772
0.026316,2.8563,1.0819
0.026580,2.8563,1.0832
0.026768,3.0563,1.0789
0.026946,2.8563,1.0837
0.027118,2.8563,1.0845
0.027290,2.8563,1.0853
0.027549,2.8563,1.0865
0.027751,3.0563,1.0822
0.027929,2.8563,1.0870
0.028101,3.0563,1.0827
0.028273,2.8563,1.0875
0.028530,2.8563,1.0887
0.028718,3.0563,1.0844
0.028896,3.0563,1.0841
0.029068,2.8563,1.0888
0.029240,3.0563,1.0846
0.029499,2.8563,1.0897
0.029701,3.0563,1.0854
0.029879,2.8563,1.0902
0.030051,3.0563,1.0860
0.030223,3.0563,1.0856
0.030480,2.8563,1.0908
0.030669,3.0563,1.0865
0.030847,3.0563,1.0862
0.031019,3.0563,1.0859
0.031191,2.8563,1.0906
0.031449,2.8563,1.0918
0.031651,3.0563,1.0875
0.031829,2.8563,1.0923
0.032001,3.0563,1.0880
0.032189,3.0563,1.0877
0.032458,3.0563,1.0872
0.032647,2.8563,1.0920
0.032825,2.8563,1.0929
0.032997,2.8563,1.0937
0.033188,3.4563,1.0790
0.033448,3.0563,1.0864
0.033649,3.0563,1.0860
0.033827,2.8563,1.0908
0.033999,3.0563,1.0865
0.034190,2.8563,1.0914
0.034447,2.8563,1.0926
0.034635,3.0563,1.0883
0.034813,2.8563,1.0931
0.034985,2.8563,1.0939
0.035190,2.8563,1.0949
0.035451,3.0563,1.0905
0.035653,3.0563,1.0901
0.035831,3.0563,1.0897
0.036003,3.0563,1.0894
0.036189,3.2563,1.0839
0.036445,3.0563,1.0874
0.036634,3.0563,1.0870
0.036812,3.0563,1.0867
0.036984,3.0563,1.0864
0.037189,3.0563,1.0860
0.037448,3.0563,1.0855
0.037649,2.4563,1.1009
0.037827,3.0563,1.0888
0.037999,3.0563,1.0885
0.038190,2.8563,1.0933
0.038447,3.0563,1.0889
0.038636,2.8563,1.0937
0.038814,2.8563,1.0946
0.038986,3.0563,1.0903
0.039189,3.0563,1.0899
0.039448,3.0563,1.0895
0.039649,3.0563,1.0891
0.039827,2.8563,1.0939
0.039999,2.8563,1.0947
0.040190,2.8563,1.0956
0.040447,3.0563,1.0912
0.040636,2.8563,1.0960
0.040814,2.8563,1.0969
0.040986,3.0563,1.0926
0.041189,3.0563,1.0922
0.041448,3.0563,1.0917
0.041649,3.0563,1.0914
0.041827,2.8563,1.0961
0.041999,3.0563,1.0919
0.042190,2.8563,1.0967
0.042447,2.8563,1.0979
0.042636,3.0563,1.0937
0.042814,3.0563,1.0933
0.042986,2.8563,1.0981
0.043189,3.0563,1.0938
0.043448,3.0563,1.0933
0.043650,3.0563,1.0929
0.043828,3.0563,1.0926
0.044000,2.8563,1.0973
0.044191,3.0563,1.0930
0.044447,3.0563,1.0926
0.044636,2.8563,1.0974
0.044814,3.0563,1.0931
0.044986,3.0563,1.0928
