t_s,i_a,u_v
0.000000,0.0563,0.0200
0.000661,0.2563,0.0416
0.000850,0.6563,0.0458
0.001022,0.2563,0.0533
0.001197,0.0563,0.0603
0.001369,0.2563,0.0653
0.001673,3.0563,0.0582
0.001873,0.2563,0.0763
0.002045,0.0563,0.0832
0.002217,0.2563,0.0882
0.002389,0.2563,0.0940
0.002651,0.2563,0.1029
0.002837,0.2563,0.1092
0.003009,0.2563,0.1150
0.003184,0.2563,0.1209
0.003356,0.2563,0.1268
0.003628,0.4563,0.1348
0.003828,0.2563,0.1424
0.004000,0.2563,0.1482
0.004172,0.2563,0.1540
0.004344,0.2563,0.1599
0.004605,0.2563,0.1687
0.004797,0.0563,0.1763
0.004969,0.2563,0.1813
0.005141,0.2563,0.1871
0.005313,0.2563,0.1930
0.005578,0.2563,0.2020
0.005784,0.2563,0.2089
0.005956,0.4563,0.2137
0.006131,0.4563,0.2194
0.006303,0.4563,0.2250
0.006557,0.2563,0.2344
0.006750,0.2563,0.2409
0.006922,0.2563,0.2468
0.007094,0.4563,0.2515
0.007266,0.4563,0.2571
0.007531,0.4563,0.2657
0.007737,0.4563,0.2724
0.007909,0.2563,0.2790
0.008081,0.4563,0.2838
0.008253,0.4563,0.2894
0.008507,0.4563,0.2976
0.008700,0.6563,0.3028
0.008872,0.4563,0.3092
0.009044,0.4563,0.3148
0.009216,0.4563,0.3204
0.009480,0.4563,0.3290
0.009687,0.4563,0.3357
0.009859,0.4563,0.3413
0.010031,0.4563,0.3468
0.010203,0.6563,0.3514
0.010456,0.4563,0.3604
0.010649,0.4563,0.3666
0.010821,0.4563,0.3722
0.010993,0.4563,0.3778
0.011165,0.4563,0.3834
0.011430,0.4563,0.3920
0.011636,0.4563,0.3987
0.011808,0.6563,0.4032
0.011980,0.4563,0.4096
0.012152,0.4563,0.4152
0.012406,0.6563,0.4223
0.012593,0.4563,0.4291
0.012771,0.6563,0.4339
0.012943,0.6563,0.4392
0.013115,0.6563,0.4445
0.013379,0.6563,0.4527
0.013579,0.4563,0.4600
0.013757,0.4563,0.4658
0.013929,0.6563,0.4703
0.014101,0.4563,0.4767
0.014355,0.4563,0.4850
0.014542,0.6563,0.4900
0.014720,0.6563,0.4955
0.014891,0.6563,0.5008
0.015064,0.6563,0.5062
0.015332,0.8563,0.5133
0.015532,0.8563,0.5192
0.015710,0.8563,0.5245
