t_s,i_a,u_v
0.000000,0.0563,0.0000
0.000470,0.0563,0.3529
0.000794,0.4563,0.5631
0.000981,0.4563,0.6845
0.001157,0.4563,0.7987
0.001332,0.4563,0.9122
0.001504,0.6563,1.0150
0.001781,0.8563,1.1665
0.001986,0.8563,1.2786
0.002162,1.6563,1.3389
0.002334,1.8563,1.3891
0.002507,2.0563,1.4307
0.002761,2.2563,1.4789
0.002956,2.4563,1.5060
0.003132,2.4563,1.5304
0.003304,3.8563,1.4928
0.003614,3.0563,1.4884
0.003950,3.2563,1.4664
0.004153,3.2563,1.4531
0.004325,3.4563,1.4331
0.004506,3.0563,1.4305
0.004678,3.6563,1.4017
0.004947,3.8563,1.3430
0.005135,3.6563,1.3115
0.005307,3.6563,1.2827
0.005479,3.6563,1.2539
0.005652,3.4563,1.2338
0.005919,3.6563,1.1891
0.006122,3.6563,1.1551
0.006294,3.6563,1.1263
0.006466,3.6563,1.0975
0.006638,3.4563,1.0775
0.006895,3.4563,1.0476
0.007083,3.4563,1.0257
0.007255,3.6563,0.9969
0.007427,3.2563,0.9857
0.007599,3.8563,0.9481
0.007864,3.0563,0.9443
0.008068,2.8563,0.9518
0.008240,2.8563,0.9581
0.008412,2.8563,0.9644
0.008584,2.8563,0.9707
0.008841,2.8563,0.9801
0.009029,2.8563,0.9870
0.009201,2.2563,1.0196
0.009373,2.8563,1.0259
0.009545,2.6563,1.0410
0.009806,2.4563,1.0772
0.010017,2.8563,1.0850
0.010189,2.6563,1.1000
0.010361,2.8563,1.1063
0.010533,2.6563,1.1214
0.010784,2.8563,1.1306
0.010978,2.8563,1.1377
0.011150,3.4563,1.1177
0.011322,3.0563,1.1152
0.011494,2.8563,1.1215
0.011755,3.0563,1.1178
0.011965,3.0563,1.1148
0.012137,2.8563,1.1211
0.012309,3.0563,1.1186
0.012481,3.0563,1.1162
0.012732,2.8563,1.1254
0.012926,3.0563,1.1226
0.013098,3.0563,1.1201
0.013270,3.0563,1.1176
0.013443,3.0563,1.1152
0.013703,2.8563,1.1247
0.013913,2.8563,1.1324
0.014085,2.8563,1.1387
0.014257,3.0563,1.1362
0.014429,3.0563,1.1337
0.014680,3.0563,1.1301
0.014874,3.0563,1.1274
0.015046,3.0563,1.1249
0.015218,3.0563,1.1224
0.015390,3.0563,1.1200
0.015651,3.0563,1.1162
0.015861,3.0563,1.1132
0.016033,3.0563,1.1107
0.016205,3.6563,1.0819
0.016381,3.0563,1.0794
0.016632,3.0563,1.0758
0.016825,3.0563,1.0730
0.016997,2.8563,1.0793
0.017169,2.8563,1.0856
0.017342,3.0563,1.0832
0.017602,2.8563,1.0927
0.017806,2.8563,1.1002
0.017984,2.8563,1.1067
0.018156,2.2563,1.1393
0.018332,3.0563,1.1368
0.018583,2.8563,1.1460
0.018771,3.0563,1.1433
0.018949,3.0563,1.1407
0.019121,3.0563,1.1383
0.019293,3.0563,1.1358
0.019553,3.0563,1.1321
0.019757,3.0563,1.1291
0.019936,3.0563,1.1266
0.020108,3.0563,1.1241
0.020280,3.0563,1.1216
0.020531,3.2563,1.1052
0.020719,3.2563,1.0929
0.020897,3.0563,1.0904
0.021069,3.0563,1.0879
0.021241,3.0563,1.0854
0.021502,2.8563,1.0950
0.021705,2.8563,1.1025
0.021884,3.0563,1.0999
0.022056,2.4563,1.1237
0.022228,3.0563,1.1213
0.022479,3.0563,1.1177
0.022667,2.8563,1.1246
0.022845,3.0563,1.1220
0.023017,3.0563,1.1195
0.023202,3.0563,1.1169
0.023478,3.0563,1.1129
0.023681,2.8563,1.1204
0.023859,3.0563,1.1178
0.024031,3.0563,1.1153
0.024203,2.6563,1.1304
0.024455,3.0563,1.1268
0.024642,2.8563,1.1337
0.024820,3.0563,1.1311
0.024992,2.8563,1.1374
0.025201,3.0563,1.1344
0.025478,3.0563,1.1304
0.025688,2.8563,1.1381
0.025868,3.2563,1.1264
0.026040,3.0563,1.1239
0.026212,3.0563,1.1214
0.026466,3.0563,1.1178
0.026654,3.0563,1.1151
0.026835,3.0563,1.1125
0.027007,3.0563,1.1100
0.027199,3.4563,1.0877
0.027458,3.0563,1.0839
0.027662,3.0563,1.0810
0.027842,3.0563,1.0784
0.028014,3.0563,1.0760
0.028200,3.0563,1.0733
0.028448,3.0563,1.0697
0.028636,3.0563,1.0670
0.028810,2.8563,1.0734
0.029002,2.6563,1.0902
0.029200,2.8563,1.0975
0.029459,2.8563,1.1070
0.029662,3.0563,1.1041
0.029842,2.8563,1.1107
0.030014,3.0563,1.1082
0.030200,2.8563,1.1150
0.030448,3.0563,1.1115
0.030636,2.8563,1.1184
0.030810,3.0563,1.1159
0.031002,3.0563,1.1131
0.031200,3.4563,1.0901
0.031458,3.0563,1.0864
0.031662,3.0563,1.0834
0.031842,3.0563,1.0809
0.032014,2.8563,1.0872
0.032202,3.0563,1.0845
0.032467,2.8563,1.0942
0.032655,2.8563,1.1011
0.032835,3.0563,1.0985
0.033007,3.0563,1.0960
0.033254,3.0563,1.0925
0.033559,3.0563,1.0881
0.033747,3.0563,1.0854
0.033926,3.0563,1.0828
0.034097,3.0563,1.0804
0.034270,3.0563,1.0779
0.034540,2.8563,1.0878
0.034745,2.8563,1.0953
0.034923,2.8563,1.1018
0.035095,3.0563,1.0994
0.035267,3.0563,1.0969
0.035528,2.8563,1.1065
0.035716,3.0563,1.1038
0.035894,2.8563,1.1103
0.036066,3.0563,1.1078
0.036238,2.8563,1.1141
0.036499,2.8563,1.1237
0.036703,2.8563,1.1312
0.036882,2.8563,1.1377
0.037053,2.8563,1.1440
0.037226,3.0563,1.1415
0.037477,3.0563,1.1379
0.037665,3.2563,1.1256
0.037843,3.0563,1.1231
0.038015,3.0563,1.1206
0.038202,2.8563,1.1274
0.038478,3.2563,1.1094
0.038682,3.0563,1.1065
0.038860,3.0563,1.1039
0.039032,3.0563,1.1015
0.039204,4.6563,1.0288
0.039455,3.0563,1.0252
0.039643,3.0563,1.0225
0.039821,3.0563,1.0199
0.039993,2.8563,1.0262
0.040201,3.0563,1.0232
0.040481,3.0563,1.0192
0.040669,2.8563,1.0261
0.040847,2.8563,1.0326
0.041019,2.8563,1.0390
0.041199,3.2563,1.0272
0.041464,2.8563,1.0369
0.041668,2.6563,1.0548
0.041846,2.6563,1.0704
0.042018,2.8563,1.0767
0.042198,2.8563,1.0833
0.042449,2.8563,1.0925
0.042637,2.8563,1.0994
0.042809,2.8563,1.1057
0.043002,2.6563,1.1226
0.043200,3.4563,1.0996
0.043463,2.8563,1.1092
0.043667,2.8563,1.1167
0.043845,3.0563,1.1141
0.044017,3.0563,1.1117
0.044202,3.0563,1.1090
0.044453,2.8563,1.1182
0.044642,3.0563,1.1155
0.044814,3.0563,1.1130
0.045000,3.8563,1.0724
0.045200,3.4563,1.0491
0.045461,3.0563,1.0454
0.045665,3.0563,1.0425
0.045843,2.8563,1.0490
0.046015,3.0563,1.0465
0.046200,2.6563,1.0627
0.046451,2.8563,1.0719
0.046639,3.0563,1.0692
0.046811,2.8563,1.0755
0.046998,2.8563,1.0824
0.047200,3.0563,1.0795
0.047461,3.0563,1.0757
0.047665,3.0563,1.0728
0.047843,3.0563,1.0703
0.048015,3.0563,1.0678
0.048201,2.2563,1.1031
0.048452,3.0563,1.0995
0.048640,2.8563,1.1064
0.048812,3.0563,1.1039
0.048998,2.8563,1.1107
0.049200,3.2563,1.0975
0.049461,3.0563,1.0938
0.049665,3.0563,1.0908
0.049843,3.0563,1.0883
0.050015,3.0563,1.0858
0.050201,2.8563,1.0926
0.050452,3.0563,1.0890
0.050640,3.0563,1.0863
0.050812,3.0563,1.0839
0.050999,3.4563,1.0621
0.051200,3.0563,1.0592
0.051471,2.8563,1.0691
0.051675,2.8563,1.0766
0.051853,2.8563,1.0832
0.052025,2.8563,1.0895
0.052197,2.8563,1.0958
0.052448,2.8563,1.1050
0.052636,2.8563,1.1119
0.052808,3.0563,1.1094
0.053001,2.4563,1.1362
0.053201,2.8563,1.1435
0.053461,3.0563,1.1398
0.053665,3.0563,1.1368
0.053845,3.0563,1.1342
0.054017,3.2563,1.1230
0.054199,3.0563,1.1204
0.054464,3.0563,1.1166
0.054652,3.6563,1.0851
0.054832,3.0563,1.0825
0.055004,3.6563,1.0537
0.055201,3.2563,1.0409
0.055471,3.0563,1.0370
0.055675,3.0563,1.0341
0.055855,2.8563,1.0407
0.056027,3.0563,1.0382
0.056199,3.6563,1.0094
0.056447,2.8563,1.0185
0.056636,2.8563,1.0254
0.056810,2.8563,1.0318
0.057002,2.8563,1.0388
0.057200,3.0563,1.0360
0.057459,2.8563,1.0455
0.057663,2.8563,1.0530
0.057843,2.8563,1.0596
0.058015,2.8563,1.0659
0.058201,2.2563,1.1011
0.058448,2.8563,1.1102
0.058637,2.8563,1.1171
0.058811,2.8563,1.1235
0.059002,3.0563,1.1208
0.059200,3.0563,1.1179
0.059459,3.0563,1.1142
0.059663,2.8563,1.1217
0.059843,3.0563,1.1191
0.060015,3.0563,1.1166
0.060200,2.4563,1.1423
0.060448,3.0563,1.1387
0.060636,3.0563,1.1360
0.060811,3.0563,1.1335
0.061002,3.0563,1.1308
0.061200,3.2563,1.1178
0.061459,3.0563,1.1141
0.061663,3.0563,1.1112
0.061843,3.0563,1.1086
0.062015,3.0563,1.1061
0.062201,2.4563,1.1319
0.062448,3.0563,1.1284
0.062636,3.0563,1.1257
0.062811,3.0563,1.1232
0.063002,3.0563,1.1204
0.063246,3.0563,1.1169
0.063573,3.6563,1.0622
0.063777,3.0563,1.0593
0.063955,3.4563,1.0385
0.064127,3.0563,1.0361
0.064299,3.6563,1.0073
0.064557,3.0563,1.0036
0.064745,2.8563,1.0105
0.064923,2.8563,1.0170
0.065095,2.8563,1.0233
0.065267,2.8563,1.0296
0.065530,2.8563,1.0392
0.065734,2.8563,1.0467
0.065912,2.8563,1.0533
0.066084,2.8563,1.0596
0.066256,2.8563,1.0659
0.066507,2.8563,1.0751
0.066695,2.8563,1.0820
0.066873,2.8563,1.0885
0.067045,2.8563,1.0948
0.067217,3.0563,1.0923
0.067478,3.0563,1.0886
0.067682,3.0563,1.0856
0.067860,2.8563,1.0922
0.068032,2.8563,1.0985
0.068204,3.2563,1.0872
0.068455,3.0563,1.0836
0.068643,3.0563,1.0809
0.068821,3.0563,1.0784
0.068992,2.8563,1.0846
0.069200,3.2563,1.0710
0.069478,3.0563,1.0671
0.069689,3.0563,1.0640
0.069867,2.8563,1.0706
0.070039,2.8563,1.0769
0.070211,2.8563,1.0832
0.070470,3.0563,1.0794
0.070657,3.0563,1.0768
0.070836,2.8563,1.0833
0.071008,2.8563,1.0896
0.071199,2.8563,1.0966
0.071471,2.8563,1.1066
0.071675,2.8563,1.1141
0.071853,3.0563,1.1115
0.072025,3.0563,1.1091
0.072197,2.8563,1.1154
0.072448,3.0563,1.1118
0.072636,3.0563,1.1091
0.072808,2.8563,1.1154
0.072999,3.8563,1.0736
0.073201,3.0563,1.0707
0.073461,2.8563,1.0803
0.073665,3.0563,1.0774
0.073845,3.0563,1.0748
0.074017,3.0563,1.0723
0.074199,3.0563,1.0697
0.074464,2.8563,1.0794
0.074651,2.4563,1.1053
0.074831,3.0563,1.1028
0.075003,2.4563,1.1266
0.075201,2.8563,1.1339
0.075463,3.0563,1.1301
0.075650,2.8563,1.1370
0.075830,3.0563,1.1344
0.076002,3.0563,1.1319
0.076200,3.0563,1.1291
0.076468,3.2563,1.1115
0.076671,3.0563,1.1086
0.076851,2.8563,1.1152
0.077023,3.0563,1.1128
0.077195,3.0563,1.1103
0.077443,3.0563,1.1067
0.077631,3.0563,1.1040
0.077805,3.0563,1.1015
0.078002,3.0563,1.0987
0.078200,3.2563,1.0858
0.078460,3.0563,1.0820
0.078664,3.0563,1.0791
0.078844,3.0563,1.0765
0.079016,3.0563,1.0740
0.079202,3.0563,1.0714
0.079450,1.6563,1.1564
0.079638,3.0563,1.1537
0.079812,3.0563,1.1512
0.079998,2.2563,1.1865
0.080200,3.4563,1.1630
0.080459,3.2563,1.1460
0.080662,3.0563,1.1431
0.080842,3.0563,1.1405
0.081014,3.2563,1.1293
0.081200,3.0563,1.1266
0.081448,3.2563,1.1104
0.081636,3.0563,1.1077
0.081810,3.2563,1.0963
0.082002,3.4563,1.0740
0.082200,3.2563,1.0610
0.082458,3.0563,1.0573
0.082662,3.0563,1.0544
0.082842,3.0563,1.0518
0.083014,3.0563,1.0494
0.083200,3.0563,1.0467
0.083448,3.0563,1.0431
0.083636,3.0563,1.0404
0.083810,3.0563,1.0379
0.084002,3.0563,1.0352
0.084200,3.0563,1.0323
0.084459,2.8563,1.0418
0.084662,3.0563,1.0389
0.084842,2.8563,1.0455
0.085014,2.8563,1.0518
0.085200,2.4563,1.0776
0.085448,3.0563,1.0741
0.085636,2.8563,1.0809
0.085810,2.8563,1.0873
0.085997,3.0563,1.0846
0.086199,3.2563,1.0714
0.086462,2.8563,1.0811
0.086673,2.8563,1.0888
0.086853,2.8563,1.0954
0.087025,2.8563,1.1017
0.087197,2.8563,1.1080
0.087449,3.0563,1.1044
0.087637,2.8563,1.1113
0.087811,3.0563,1.1088
0.087998,3.0563,1.1061
0.088203,2.8563,1.1136
0.088463,2.8563,1.1232
0.088667,2.8563,1.1306
0.088847,2.8563,1.1372
0.089019,3.0563,1.1348
0.089199,3.6563,1.1046
0.089448,3.0563,1.1011
0.089635,2.8563,1.1079
0.089809,3.0563,1.1054
0.090002,3.0563,1.1027
0.090200,3.2563,1.0897
0.090459,3.0563,1.0860
0.090662,3.0563,1.0831
0.090842,3.0563,1.0805
0.091014,2.8563,1.0868
0.091200,2.8563,1.0936
0.091448,3.0563,1.0901
0.091636,3.0563,1.0874
0.091810,3.0563,1.0849
0.092002,3.0563,1.0821
0.092200,3.4563,1.0591
0.092458,2.8563,1.0685
0.092662,2.8563,1.0760
0.092842,2.8563,1.0826
0.093014,3.0563,1.0801
0.093256,3.0563,1.0767
0.093557,2.8563,1.0877
0.093751,3.0563,1.0849
0.093929,2.8563,1.0914
0.094101,2.8563,1.0977
0.094273,2.8563,1.1040
0.094546,2.8563,1.1140
0.094749,3.0563,1.1111
0.094927,3.0563,1.1086
0.095099,3.0563,1.1061
0.095271,3.0563,1.1036
0.095536,2.8563,1.1134
0.095731,2.8563,1.1205
0.095909,3.0563,1.1179
0.096081,3.0563,1.1155
0.096253,3.0563,1.1130
0.096511,3.0563,1.1093
0.096707,3.0563,1.1065
0.096885,3.0563,1.1039
0.097057,3.2563,1.0927
0.097229,3.0563,1.0902
0.097483,3.2563,1.0736
0.097678,3.0563,1.0708
0.097856,3.0563,1.0683
0.098028,3.0563,1.0658
0.098200,2.2563,1.0984
0.098458,3.0563,1.0947
0.098654,3.8563,1.0519
0.098832,2.8563,1.0584
0.099004,3.8563,1.0209
0.099199,3.0563,1.0181
0.099469,2.8563,1.0280
0.099664,2.8563,1.0351
0.099842,2.8563,1.0416
