t_s,i_a,u_v
0.000000,0.2563,0.0341
0.000657,0.2563,0.0737
0.000842,0.2563,0.0848
0.001014,0.2563,0.0952
0.001187,0.2563,0.1056
0.001359,0.2563,0.1160
0.001651,0.2563,0.1335
0.001845,0.2563,0.1452
0.002017,0.2563,0.1556
0.002189,0.2563,0.1660
0.002361,0.2563,0.1763
0.002608,0.2563,0.1912
0.002799,0.2563,0.2027
0.002971,0.4563,0.2112
0.003143,0.2563,0.2230
0.003315,0.2563,0.2334
0.003573,0.2563,0.2489
0.003777,0.4563,0.2592
0.003949,-0.1437,0.2748
0.004121,0.4563,0.2804
0.004294,0.4563,0.2904
0.004540,0.4563,0.3046
0.004732,0.4563,0.3157
0.004904,0.4563,0.3256
0.005076,0.4563,0.3355
0.005251,0.4563,0.3456
0.005509,0.4563,0.3605
0.005713,0.4563,0.3723
0.005885,0.4563,0.3822
0.006057,0.4563,0.3921
0.006229,0.4563,0.4020
0.006475,0.6563,0.4142
0.006667,0.6563,0.4248
0.006839,0.4563,0.4361
0.007011,0.6563,0.4442
0.007186,0.6563,0.4538
0.007444,0.6563,0.4681
0.007648,0.6563,0.4793
0.007820,0.6563,0.4888
0.007992,0.6563,0.4983
0.008164,0.8563,0.5059
0.008410,0.6563,0.5209
0.008596,0.6563,0.5312
0.008774,0.6563,0.5410
0.008946,0.8563,0.5486
0.009118,0.8563,0.5577
0.009380,1.6563,0.5630
0.009577,0.8563,0.5792
0.009756,0.8563,0.5886
0.009928,0.8563,0.5976
0.010100,1.8563,0.5973
0.010346,0.6563,0.6195
0.010532,0.8563,0.6278
0.010710,0.8563,0.6372
0.010882,0.8563,0.6463
0.011054,1.4563,0.6497
0.011312,0.8563,0.6676
0.011510,1.0563,0.6761
0.011688,0.8563,0.6869
0.011860,1.0563,0.6940
0.012032,1.0563,0.7027
0.012278,1.0563,0.7150
0.012464,1.0563,0.7243
0.012642,1.0563,0.7332
0.012814,1.0563,0.7418
0.012998,1.0563,0.7510
0.013260,1.0563,0.7642
0.013458,1.6563,0.7683
0.013636,1.6563,0.7758
0.013808,1.0563,0.7887
0.013999,2.2563,0.7868
0.014246,1.6563,0.8016
0.014432,1.6563,0.8095
0.014604,1.6563,0.8168
0.014801,1.6563,0.8251
0.015000,2.2563,0.8278
0.015258,1.8563,0.8409
0.015455,1.6563,0.8507
0.015633,1.8563,0.8564
0.015805,1.8563,0.8633
0.015999,2.2563,0.8672
0.016246,2.0563,0.8778
0.016432,2.0563,0.8848
0.016604,2.0563,0.8912
0.016801,1.6563,0.9025
0.017000,2.0563,0.9070
0.017275,2.0563,0.9173
0.017471,2.2563,0.9227
0.017649,2.2563,0.9289
0.017821,2.0563,0.9368
0.017993,2.0563,0.9432
0.018241,3.0563,0.9421
0.018425,2.2563,0.9543
0.018597,2.2563,0.9603
0.018800,2.2563,0.9674
0.018999,3.0563,0.9665
0.019253,2.2563,0.9811
0.019435,2.2563,0.9875
0.019607,2.2563,0.9935
0.019801,2.0563,1.0022
0.020002,2.2563,1.0077
0.020270,2.2563,1.0171
0.020469,2.2563,1.0240
0.020647,2.2563,1.0302
0.020819,2.4563,1.0343
0.020999,3.0563,1.0344
0.021253,2.2563,1.0490
0.021435,2.4563,1.0535
0.021607,2.4563,1.0590
0.021804,2.4563,1.0654
0.022132,2.6563,1.0737
0.022482,2.6563,1.0842
0.022675,2.6563,1.0899
0.022847,2.6563,1.0950
0.023019,2.8563,1.0983
0.023192,2.6563,1.1048
0.023459,2.8563,1.1107
0.023658,2.8563,1.1161
0.023830,2.8563,1.1208
0.024002,2.8563,1.1255
0.024174,2.8563,1.1301
0.024423,2.8563,1.1369
0.024611,3.0563,1.1401
0.024789,3.0563,1.1445
0.024961,3.0563,1.1488
0.025133,3.0563,1.1530
0.025394,3.0563,1.1595
0.025596,3.2563,1.1625
0.025774,3.0563,1.1683
0.025946,3.0563,1.1726
0.026118,3.0563,1.1768
0.026375,3.0563,1.1832
0.026563,3.2563,1.1859
0.026741,3.0563,1.1917
0.026913,3.2563,1.1941
0.027085,3.2563,1.1979
0.027346,3.2563,1.2037
0.027548,3.4563,1.2062
0.027726,3.2563,1.2116
0.027898,3.2563,1.2154
0.028070,3.2563,1.2192
0.028324,3.2563,1.2248
0.028511,3.4563,1.2271
0.028690,3.2563,1.2325
0.028862,3.4563,1.2344
0.029034,3.4563,1.2378
0.029295,3.4563,1.2429
0.029497,3.4563,1.2468
0.029676,3.4563,1.2503
0.029848,3.4563,1.2537
0.030020,3.4563,1.2571
0.030273,3.4563,1.2620
0.030461,3.6563,1.2638
0.030639,3.4563,1.2687
0.030811,3.4563,1.2721
0.030999,5.2563,1.2586
0.031260,3.4563,1.2766
0.031462,3.6563,1.2786
0.031640,3.6563,1.2817
0.031812,3.6563,1.2846
0.032003,3.4563,1.2898
0.032257,3.6563,1.2927
0.032444,3.6563,1.2959
0.032622,3.8563,1.2970
0.032794,3.6563,1.3014
0.033000,3.6563,1.3049
0.033271,3.6563,1.3095
0.033480,3.6563,1.3131
0.033658,3.6563,1.3161
0.033830,3.6563,1.3191
0.034002,3.6563,1.3220
0.034259,3.6563,1.3264
0.034447,3.6563,1.3296
0.034625,3.6563,1.3326
0.034797,3.6563,1.3356
0.035001,3.6563,1.3391
0.035278,3.6563,1.3438
0.035480,3.8563,1.3453
0.035660,3.6563,1.3498
0.035832,3.8563,1.3509
0.036004,5.4563,1.3384
0.036254,3.8563,1.3535
0.036442,4.0563,1.3543
0.036622,3.8563,1.3584
0.036794,4.0563,1.3590
0.037002,3.8563,1.3634
0.037271,3.8563,1.3673
0.037473,3.8563,1.3703
0.037654,3.8563,1.3729
0.037826,3.8563,1.3754
0.037998,3.8563,1.3779
0.038248,4.6563,1.3732
0.038436,4.2563,1.3779
0.038610,4.2563,1.3795
0.038802,4.0563,1.3833
0.039000,4.8563,1.3779
0.039261,4.0563,1.3868
0.039463,4.6563,1.3833
0.039643,4.0563,1.3898
0.039815,4.6563,1.3862
0.040001,3.4563,1.3985
0.040251,4.6563,1.3910
0.040438,4.6563,1.3918
0.040612,4.6563,1.3926
0.040799,6.2563,1.3781
0.041000,4.8563,1.3885
0.041259,4.6563,1.3911
0.041461,4.6563,1.3920
0.041641,4.6563,1.3927
0.041813,4.6563,1.3935
0.041999,6.2563,1.3790
0.042249,4.6563,1.3916
0.042437,4.6563,1.3924
0.042611,4.6563,1.3932
0.042797,4.6563,1.3940
0.043000,4.6563,1.3949
0.043259,4.6563,1.3960
0.043461,4.0563,1.4028
0.043641,4.6563,1.3992
0.043813,4.6563,1.4000
0.043999,6.4563,1.3836
0.044249,4.6563,1.3976
0.044437,4.6563,1.3985
0.044611,4.6563,1.3992
0.044797,4.2563,1.4038
0.045000,4.8563,1.3999
0.045259,4.6563,1.4025
0.045461,4.6563,1.4034
0.045641,4.6563,1.4041
0.045813,4.2563,1.4086
0.045999,6.6563,1.3875
0.046249,4.6563,1.4029
0.046437,4.6563,1.4038
0.046611,4.6563,1.4045
0.046798,4.2563,1.4092
0.047000,4.6563,1.4072
0.047276,4.6563,1.4084
0.047485,4.6563,1.4093
0.047666,4.6563,1.4101
0.047838,4.6563,1.4108
0.048010,4.8563,1.4097
0.048266,4.6563,1.4123
0.048454,3.4563,1.4246
0.048634,4.6563,1.4167
0.048806,3.4563,1.4287
0.049000,4.6563,1.4210
0.049272,4.8563,1.4200
0.049475,4.6563,1.4223
0.049655,4.8563,1.4212
0.049827,4.6563,1.4234
0.049999,6.0563,1.4110
0.050249,4.8563,1.4201
0.050437,4.8563,1.4205
