t_s,i_a,u_v
0.000000,0.2563,0.0144
0.000648,0.4563,0.0295
0.000831,0.2563,0.0348
0.001003,0.2563,0.0392
0.001175,0.2563,0.0435
0.001347,0.2563,0.0479
0.001637,0.2563,0.0553
0.001835,0.2563,0.0603
0.002007,0.4563,0.0639
0.002181,0.2563,0.0689
0.002353,0.0563,0.0741
0.002606,0.2563,0.0799
0.002794,0.2563,0.0847
0.002966,0.2563,0.0891
0.003141,0.4563,0.0927
0.003313,0.2563,0.0977
0.003570,0.2563,0.1042
0.003774,0.2563,0.1094
0.003946,0.0563,0.1146
0.004119,0.2563,0.1184
0.004294,0.2563,0.1228
0.004553,0.2563,0.1294
0.004743,0.4563,0.1334
0.004915,0.2563,0.1384
0.005087,0.2563,0.1428
0.005259,0.2563,0.1471
0.005513,0.2563,0.1536
0.005717,0.4563,0.1580
0.005889,0.4563,0.1621
0.006061,0.4563,0.1663
0.006236,0.4563,0.1706
0.006489,0.4563,0.1767
0.006678,0.4563,0.1813
0.006850,0.2563,0.1863
0.007022,0.4563,0.1899
0.007196,0.4563,0.1941
0.007450,0.2563,0.2012
0.007654,0.2563,0.2064
0.007826,0.4563,0.2100
0.007998,0.4563,0.2142
0.008171,0.4563,0.2184
0.008424,0.4563,0.2245
0.008607,0.4563,0.2290
0.008785,0.4563,0.2333
0.008957,0.4563,0.2375
0.009131,0.4563,0.2417
0.009385,0.4563,0.2479
0.009584,0.4563,0.2528
0.009762,0.4563,0.2571
0.009934,0.4563,0.2613
0.010106,0.0563,0.2671
0.010360,0.4563,0.2720
0.010543,0.4563,0.2765
0.010721,0.4563,0.2808
0.010893,0.4563,0.2850
0.011065,0.4563,0.2892
0.011321,0.6563,0.2945
0.011520,0.4563,0.3000
0.011698,0.4563,0.3043
0.011870,0.4563,0.3085
0.012042,0.4563,0.3127
0.012295,0.4563,0.3189
0.012478,0.4563,0.3233
0.012656,0.4563,0.3276
0.012829,0.4563,0.3319
0.013001,0.4563,0.3360
0.013254,0.4563,0.3422
0.013453,0.6563,0.3462
0.013631,0.4563,0.3512
0.013803,0.4563,0.3554
0.014003,0.6563,0.3594
0.014256,0.4563,0.3662
0.014439,0.4563,0.3706
0.014611,0.4563,0.3748
0.014798,0.6563,0.3786
0.015001,0.4563,0.3841
0.015255,0.6563,0.3894
0.015453,0.6563,0.3940
0.015632,0.6563,0.3982
0.015804,0.4563,0.4030
0.016119,0.4563,0.4106
0.016446,0.6563,0.4176
0.016644,0.6563,0.4223
0.016816,0.6563,0.4263
0.016988,0.6563,0.4303
0.017160,0.6563,0.4343
0.017431,0.6563,0.4406
0.017635,0.6563,0.4453
0.017807,0.4563,0.4501
0.017979,0.6563,0.4535
0.018151,0.4563,0.4583
0.018415,0.6563,0.4638
0.018607,0.6563,0.4683
0.018785,0.6563,0.4725
0.018957,0.4563,0.4772
0.019132,0.4563,0.4815
0.019397,0.6563,0.4871
0.019588,0.6563,0.4915
0.019766,0.6563,0.4957
0.019938,0.6563,0.4997
0.020110,0.8563,0.5029
0.020377,0.6563,0.5097
0.020568,0.6563,0.5141
0.020746,0.4563,0.5191
0.020919,0.6563,0.5225
0.021091,0.6563,0.5265
0.021352,0.6563,0.5326
0.021543,0.6563,0.5370
0.021721,0.6563,0.5412
0.021893,0.6563,0.5452
0.022065,0.6563,0.5492
0.022327,0.8563,0.5544
0.022519,0.8563,0.5586
0.022697,0.8563,0.5626
0.022869,0.8563,0.5664
0.023041,0.8563,0.5702
0.023303,1.0563,0.5752
0.023493,0.8563,0.5800
0.023671,0.6563,0.5847
0.023843,0.8563,0.5879
0.024015,0.8563,0.5918
0.024276,0.8563,0.5976
0.024468,0.8563,0.6018
0.024646,0.8563,0.6058
0.024818,0.8563,0.6096
0.025000,1.8563,0.6096
0.025261,0.8563,0.6184
0.025452,0.8563,0.6227
0.025630,1.0563,0.6258
0.025802,1.0563,0.6295
0.026001,0.8563,0.6345
0.026260,1.0563,0.6394
0.026452,0.8563,0.6442
0.026632,1.0563,0.6474
0.026804,1.4563,0.6495
0.026999,0.8563,0.6556
0.027275,1.0563,0.6609
0.027466,1.0563,0.6649
0.027646,1.0563,0.6687
0.027818,1.6563,0.6700
0.028000,1.8563,0.6724
0.028258,1.0563,0.6803
0.028450,1.0563,0.6844
0.028630,0.8563,0.6890
0.028802,1.0563,0.6920
0.029000,1.6563,0.6937
0.029267,1.0563,0.7012
0.029451,0.8563,0.7059
0.029632,1.0563,0.7091
0.029804,1.6563,0.7103
0.030004,1.0563,0.7164
0.030262,1.4563,0.7201
0.030447,1.0563,0.7252
0.030627,1.6563,0.7266
0.030799,1.8563,0.7289
0.030999,1.4563,0.7339
0.031284,1.6563,0.7384
0.031474,1.6563,0.7418
0.031655,2.2563,0.7426
0.031827,1.6563,0.7475
0.031999,1.8563,0.7498
0.032257,1.6563,0.7551
0.032449,1.6563,0.7585
0.032629,1.8563,0.7609
0.032801,1.0563,0.7670
0.033000,2.2563,0.7663
0.033263,1.8563,0.7719
0.033454,1.6563,0.7759
0.033634,1.8563,0.7784
0.033806,1.0563,0.7844
0.034000,2.2563,0.7836
0.034258,1.8563,0.7892
0.034449,1.6563,0.7932
0.034630,1.8563,0.7957
0.034802,1.8563,0.7986
0.035000,2.2563,0.8003
0.035259,1.8563,0.8058
0.035450,1.8563,0.8091
0.035630,1.8563,0.8121
0.035802,1.8563,0.8150
0.036000,2.2563,0.8167
0.036258,1.8563,0.8222
0.036450,1.8563,0.8255
0.036630,1.8563,0.8285
0.036802,1.8563,0.8314
0.037000,2.2563,0.8331
0.037259,1.8563,0.8387
0.037450,2.0563,0.8411
0.037630,2.0563,0.8439
0.037802,2.0563,0.8466
0.038000,2.4563,0.8481
0.038258,2.0563,0.8534
0.038449,1.8563,0.8572
0.038630,2.0563,0.8595
0.038802,2.0563,0.8622
0.039000,2.4563,0.8637
0.039259,2.0563,0.8690
0.039450,2.0563,0.8720
0.039630,2.2563,0.8740
0.039802,2.0563,0.8773
0.040000,2.4563,0.8788
0.040258,2.0563,0.8841
0.040450,2.2563,0.8863
0.040631,2.0563,0.8898
0.040803,2.2563,0.8917
0.040999,2.8563,0.8921
0.041259,2.2563,0.8978
0.041450,2.2563,0.9006
0.041630,2.2563,0.9032
0.041802,2.2563,0.9058
0.042000,2.2563,0.9087
0.042274,2.2563,0.9127
0.042466,2.2563,0.9155
0.042646,2.2563,0.9182
0.042818,2.2563,0.9207
0.043000,2.2563,0.9234
0.043260,2.2563,0.9272
0.043450,2.2563,0.9300
0.043630,2.2563,0.9326
0.043802,2.2563,0.9352
0.044000,2.2563,0.9381
0.044272,2.2563,0.9421
0.044464,2.2563,0.9449
0.044644,2.2563,0.9475
0.044816,2.2563,0.9501
0.045002,2.2563,0.9528
0.045261,2.2563,0.9566
0.045452,3.0563,0.9562
0.045632,2.2563,0.9613
0.045804,3.2563,0.9598
0.046053,2.2563,0.9665
0.046382,2.2563,0.9714
0.046573,2.2563,0.9742
0.046751,2.2563,0.9768
0.046923,2.4563,0.9785
0.047096,2.2563,0.9817
0.047364,2.2563,0.9856
0.047554,2.4563,0.9876
0.047733,2.4563,0.9900
0.047905,2.4563,0.9924
0.048077,2.4563,0.9947
0.048340,2.2563,0.9992
0.048532,2.6563,1.0004
0.048710,2.4563,1.0034
0.048882,2.4563,1.0058
0.049054,3.4563,1.0042
0.049318,2.4563,1.0108
0.049509,2.4563,1.0134
0.049687,2.4563,1.0158
0.049859,2.6563,1.0174
0.050031,2.6563,1.0195
0.050298,2.8563,1.0220
0.050489,2.8563,1.0242
0.050667,2.8563,1.0262
0.050839,2.8563,1.0282
0.051011,2.8563,1.0302
0.051275,2.8563,1.0332
0.051466,2.8563,1.0354
0.051644,2.8563,1.0374
0.051816,2.8563,1.0394
0.051998,2.8563,1.0415
0.052259,2.8563,1.0445
0.052451,2.2563,1.0492
0.052629,3.0563,1.0486
0.052801,2.4563,1.0527
0.053000,3.2563,1.0522
0.053261,2.8563,1.0564
0.053452,2.8563,1.0586
0.053631,2.8563,1.0606
0.053803,2.8563,1.0626
0.054000,2.4563,1.0665
0.054262,2.8563,1.0683
0.054453,2.8563,1.0705
0.054631,3.0563,1.0717
0.054803,2.4563,1.0759
0.055000,3.2563,1.0753
0.055263,3.0563,1.0787
0.055461,3.0563,1.0807
0.055639,3.0563,1.0826
0.055811,3.0563,1.0844
0.056002,2.8563,1.0872
0.056267,3.0563,1.0893
0.056459,3.0563,1.0913
0.056637,3.0563,1.0932
0.056809,3.0563,1.0950
0.057000,3.2563,1.0962
0.057261,3.0563,1.0995
0.057452,3.0563,1.1015
0.057630,3.0563,1.1033
0.057802,3.0563,1.1051
0.058001,3.0563,1.1072
0.058262,3.0563,1.1099
0.058453,2.6563,1.1135
0.058634,3.2563,1.1134
0.058806,2.4563,1.1182
0.058999,3.0563,1.1183
0.059273,3.0563,1.1212
0.059464,3.2563,1.1224
0.059644,3.2563,1.1241
0.059816,3.2563,1.1257
0.059998,3.0563,1.1282
0.060257,3.2563,1.1300
0.060449,2.8563,1.1334
0.060629,3.2563,1.1339
0.060801,2.8563,1.1371
0.061003,3.2563,1.1377
0.061271,3.2563,1.1402
0.061456,3.2563,1.1420
0.061636,3.2563,1.1436
0.061808,3.0563,1.1460
0.062001,3.0563,1.1481
0.062261,3.2563,1.1499
0.062454,3.2563,1.1517
0.062635,3.2563,1.1534
0.062807,3.4563,1.1542
0.063000,3.4563,1.1558
0.063273,3.4563,1.1580
0.063465,3.4563,1.1596
