t_s,i_a,u_v
0.000000,0.1125,0.0000
0.000638,0.1125,0.3984
0.000830,0.5125,0.5016
0.001008,0.7125,0.5897
0.001180,0.1125,0.6971
0.001352,0.1125,0.8045
0.001640,0.1125,0.9843
0.001873,0.1125,1.1298
0.002052,0.7125,1.2183
0.002224,0.1125,1.3257
0.002396,0.5125,1.4183
0.002658,0.1125,1.5818
0.002845,0.5125,1.6824
0.003023,0.5125,1.7782
0.003195,0.1125,1.8856
0.003368,0.1125,1.9936
0.003623,0.5125,2.1308
0.003856,0.1125,2.2762
0.004034,0.1125,2.3874
0.004206,0.5125,2.4799
0.004378,0.1125,2.5873
0.004640,0.1125,2.7509
0.004828,0.1125,2.8683
0.005006,0.5125,2.9640
0.005178,0.1125,3.0714
0.005350,0.5125,3.1639
0.005606,0.1125,3.3238
0.005838,0.1125,3.4687
0.006017,0.1125,3.5804
0.006189,0.1125,3.6878
0.006361,0.1125,3.7952
0.006771,0.5125,4.0158
0.007024,-0.0875,4.1847
0.007207,0.5125,4.2831
0.007379,0.1125,4.3905
0.007561,0.1125,4.5041
0.007818,0.1125,4.6646
0.008014,0.1125,4.7870
0.008186,0.1125,4.8944
0.008358,0.1125,5.0018
0.008531,0.5125,5.0948
0.008791,0.1125,5.2572
0.009037,0.1125,5.4108
0.009211,0.1125,5.5194
0.009383,0.5125,5.6120
0.009565,0.5125,5.7099
0.009833,0.1125,5.8772
0.010030,0.5125,5.9832
0.010202,0.1125,6.0906
0.010374,0.1125,6.1980
0.010547,0.5125,6.2910
0.010803,0.5125,6.4287
0.011032,0.1125,6.5717
0.011204,0.5125,6.6642
0.011376,0.5125,6.7567
0.011554,0.5125,6.8525
0.011816,0.5125,6.9934
0.012012,0.1125,7.1158
0.012184,0.5125,7.2083
0.012356,0.5125,7.3008
0.012529,0.1125,7.4089
0.012785,0.5125,7.5466
0.013014,0.1125,7.6895
0.013186,0.1125,7.7969
0.013358,0.1125,7.9043
0.013536,0.5125,8.0000
0.013798,0.5125,8.0000
0.013995,0.1125,8.0000
0.014167,0.5125,8.0000
0.014339,0.5125,8.0000
0.014511,0.5125,8.0000
0.014767,0.5125,8.0000
0.014996,0.5125,8.0000
0.015168,0.5125,8.0000
0.015340,0.5125,8.0000
0.015522,0.1125,8.0000
0.015784,0.1125,8.0000
0.015981,0.5125,8.0000
0.016153,0.5125,8.0000
0.016325,0.5125,8.0000
0.016501,0.1125,8.0000
0.016757,0.5125,8.0000
0.016986,0.1125,8.0000
0.017158,0.5125,8.0000
0.017330,0.5125,8.0000
0.017510,0.1125,8.0000
0.017772,0.5125,8.0000
0.017969,0.5125,8.0000
0.018141,0.5125,8.0000
0.018313,0.5125,8.0000
0.018485,0.5125,8.0000
0.018742,0.5125,8.0000
0.018969,0.5125,8.0000
0.019141,0.5125,8.0000
0.019313,0.1125,8.0000
0.019491,0.1125,8.0000
0.019753,0.5125,8.0000
0.019950,0.5125,8.0000
0.020122,0.1125,8.0000
0.020294,0.1125,8.0000
0.020466,0.5125,8.0000
0.020723,0.5125,8.0000
0.020952,0.5125,8.0000
0.021124,0.5125,8.0000
0.021296,0.5125,8.0000
0.021474,0.5125,8.0000
0.021736,0.5125,8.0000
0.021932,0.5125,8.0000
0.022104,0.5125,8.0000
0.022276,0.5125,8.0000
0.022451,0.1125,8.0000
0.022708,0.5125,8.0000
0.022936,0.5125,8.0000
0.023109,0.1125,8.0000
0.023281,0.5125,8.0000
0.023459,0.5125,8.0000
0.023721,0.5125,8.0000
0.023917,0.5125,8.0000
0.024090,0.5125,8.0000
0.024262,0.5125,8.0000
0.024434,0.5125,8.0000
0.024691,0.1125,8.0000
0.024919,0.5125,8.0000
0.025091,0.5125,8.0000
0.025264,0.5125,8.0000
0.025436,0.5125,8.0000
0.025704,0.5125,8.0000
0.025901,0.5125,8.0000
0.026073,0.5125,8.0000
0.026245,0.5125,8.0000
0.026417,0.1125,8.0000
0.026674,0.5125,8.0000
0.026902,0.1125,8.0000
0.027075,0.1125,8.0000
0.027247,0.5125,8.0000
0.027419,0.1125,8.0000
0.027687,0.1125,8.0000
0.027877,0.5125,8.0000
0.028056,0.1125,8.0000
0.028228,0.5125,8.0000
0.028400,0.1125,8.0000
0.028656,0.5125,8.0000
0.028885,0.1125,8.0000
0.029057,0.5125,8.0000
0.029229,0.1125,8.0000
0.029402,0.5125,8.0000
0.029670,0.5125,8.0000
0.029860,0.5125,8.0000
0.030038,0.5125,8.0000
0.030210,0.1125,8.0000
0.030382,0.5125,8.0000
0.030640,0.5125,8.0000
0.030863,0.1125,8.0000
0.031041,0.5125,8.0000
0.031213,0.5125,8.0000
0.031385,0.1125,8.0000
0.031655,0.5125,8.0000
0.031845,0.5125,8.0000
0.032023,0.1125,8.0000
0.032195,0.5125,8.0000
0.032368,0.1125,8.0000
0.032624,0.1125,8.0000
0.032847,0.1125,8.0000
0.033025,0.5125,8.0000
0.033197,0.5125,8.0000
0.033369,0.1125,8.0000
0.033638,0.1125,8.0000
0.033828,0.1125,8.0000
0.034006,0.5125,8.0000
0.034178,0.5125,8.0000
0.034350,0.5125,8.0000
0.034607,0.5125,8.0000
0.034830,0.5125,8.0000
0.035008,0.1125,8.0000
0.035180,0.5125,8.0000
0.035352,0.1125,8.0000
0.035620,0.5125,8.0000
0.035810,0.1125,8.0000
0.035989,0.5125,8.0000
0.036161,0.1125,8.0000
0.036333,0.1125,8.0000
0.036658,0.1125,8.0000
0.036913,0.1125,8.0000
0.037099,0.5125,8.0000
0.037271,0.1125,8.0000
0.037446,0.1125,8.0000
0.037698,0.1125,8.0000
0.037892,0.1125,8.0000
0.038065,0.5125,8.0000
0.038237,0.5125,8.0000
0.038409,0.1125,8.0000
0.038668,0.5125,8.0000
0.038920,0.5125,8.0000
0.039098,0.5125,8.0000
0.039270,0.5125,8.0000
0.039446,0.1125,8.0000
0.039713,0.1125,8.0000
0.039907,0.5125,8.0000
0.040080,0.1125,8.0000
0.040252,0.5125,8.0000
0.040424,0.1125,8.0000
0.040679,0.1125,8.0000
0.040916,0.1125,8.0000
0.041091,0.5125,8.0000
0.041264,0.1125,8.0000
0.041436,0.1125,8.0000
0.041697,0.1125,8.0000
0.041891,0.5125,8.0000
0.042064,0.1125,8.0000
0.042236,0.1125,8.0000
0.042408,0.5125,8.0000
0.042663,0.1125,8.0000
0.042899,0.1125,8.0000
0.043075,0.1125,8.0000
0.043247,0.5125,8.0000
0.043419,0.1125,8.0000
0.043680,0.5125,8.0000
0.043868,0.5125,8.0000
0.044046,0.5125,8.0000
0.044219,0.5125,8.0000
0.044391,0.1125,8.0000
0.044646,0.5125,8.0000
0.044877,0.5125,8.0000
0.045058,0.1125,8.0000
0.045230,0.1125,8.0000
0.045406,0.1125,8.0000
0.045667,0.5125,8.0000
0.045855,0.1125,8.0000
0.046034,0.5125,8.0000
0.046206,0.1125,8.0000
0.046378,0.5125,8.0000
0.046633,0.1125,8.0000
0.046864,0.5125,8.0000
0.047045,0.1125,8.0000
0.047217,0.5125,8.0000
0.047389,0.1125,8.0000
0.047650,0.5125,8.0000
0.047838,0.5125,8.0000
0.048017,0.1125,8.0000
0.048189,0.5125,8.0000
0.048361,0.1125,8.0000
0.048617,0.5125,8.0000
0.048847,0.5125,8.0000
0.049029,0.1125,8.0000
0.049201,0.1125,8.0000
0.049373,0.5125,8.0000
0.049634,0.1125,8.0000
0.049822,0.5125,8.0000
0.050001,0.5125,8.0000
0.050173,0.5125,8.0000
0.050345,0.1125,8.0000
0.050600,0.5125,8.0000
0.050831,0.1125,8.0000
0.051013,0.1125,8.0000
0.051185,0.1125,8.0000
0.051357,0.1125,8.0000
0.051617,0.1125,8.0000
0.051806,0.5125,8.0000
0.051984,0.1125,8.0000
0.052156,0.1125,8.0000
0.052328,0.1125,8.0000
0.052587,0.5125,8.0000
0.052818,0.1125,8.0000
0.053000,0.5125,8.0000
0.053172,0.5125,8.0000
0.053344,0.1125,8.0000
0.053605,0.1125,8.0000
0.053793,0.1125,8.0000
0.053972,0.1125,8.0000
0.054144,0.5125,8.0000
0.054316,0.1125,8.0000
0.054571,0.1125,8.0000
0.054802,0.5125,8.0000
0.054983,0.5125,8.0000
0.055155,0.1125,8.0000
0.055328,0.1125,8.0000
0.055593,0.5125,8.0000
0.055781,0.1125,8.0000
0.055959,0.1125,8.0000
0.056132,0.1125,8.0000
0.056304,0.5125,8.0000
0.056559,0.1125,8.0000
0.056790,0.5125,8.0000
0.056971,0.1125,8.0000
0.057143,0.1125,8.0000
0.057315,0.5125,8.0000
0.057576,0.1125,8.0000
0.057764,0.5125,8.0000
0.057943,0.1125,8.0000
0.058115,0.5125,8.0000
0.058287,0.1125,8.0000
0.058544,0.1125,8.0000
0.058775,0.5125,8.0000
0.058956,0.1125,8.0000
0.059128,0.5125,8.0000
0.059300,0.1125,8.0000
0.059561,0.1125,8.0000
0.059749,0.1125,8.0000
0.059928,0.5125,8.0000
0.060100,0.1125,8.0000
0.060272,0.1125,8.0000
0.060532,0.1125,8.0000
0.060763,0.1125,8.0000
0.060944,0.1125,8.0000
0.061116,0.5125,8.0000
0.061288,0.1125,8.0000
0.061549,0.1125,8.0000
0.061737,0.5125,8.0000
0.061916,0.5125,8.0000
0.062088,-0.0875,8.0000
0.062260,0.1125,8.0000
0.062516,0.5125,8.0000
0.062746,0.1125,8.0000
0.062928,0.1125,8.0000
0.063100,0.5125,8.0000
0.063272,0.1125,8.0000
0.063534,0.1125,8.0000
0.063723,0.1125,8.0000
0.063901,0.1125,8.0000
0.064073,-0.0875,8.0000
0.064245,0.1125,8.0000
0.064501,0.5125,8.0000
0.064731,0.1125,8.0000
0.064913,0.1125,8.0000
0.065085,0.1125,8.0000
0.065257,0.1125,8.0000
0.065518,0.1125,8.0000
0.065706,0.1125,8.0000
0.065879,0.1125,8.0000
0.066057,0.1125,8.0000
0.066229,0.5125,8.0000
0.066551,0.1125,8.0000
0.066802,0.1125,8.0000
0.066992,0.5125,8.0000
0.067164,0.1125,8.0000
0.067336,0.1125,8.0000
0.067589,0.5125,8.0000
0.067778,0.1125,8.0000
0.067956,0.1125,8.0000
0.068128,0.5125,8.0000
0.068300,0.1125,8.0000
0.068559,0.5125,8.0000
0.068808,0.1125,8.0000
0.068990,0.1125,8.0000
0.069162,0.1125,8.0000
0.069334,0.1125,8.0000
0.069601,-0.0875,8.0000
0.069790,0.5125,8.0000
0.069968,0.5125,8.0000
0.070140,0.1125,8.0000
0.070312,0.5125,8.0000
0.070567,0.5125,8.0000
0.070799,0.1125,8.0000
0.070979,0.5125,8.0000
0.071151,0.1125,8.0000
0.071323,0.5125,8.0000
0.071583,0.1125,8.0000
0.071772,0.1125,8.0000
0.071950,0.5125,8.0000
0.072122,0.5125,8.0000
0.072294,0.1125,8.0000
0.072550,0.1125,8.0000
0.072781,0.1125,8.0000
0.072961,0.5125,8.0000
0.073133,0.5125,8.0000
0.073305,0.1125,8.0000
0.073565,0.5125,8.0000
0.073754,0.1125,8.0000
0.073932,0.1125,8.0000
0.074104,0.5125,8.0000
0.074276,0.5125,8.0000
0.074534,0.5125,8.0000
0.074766,0.1125,8.0000
0.074946,0.5125,8.0000
0.075118,0.5125,8.0000
0.075290,0.5125,8.0000
0.075551,0.5125,8.0000
0.075740,0.1125,8.0000
0.075918,0.1125,8.0000
0.076090,0.5125,8.0000
0.076262,0.1125,8.0000
0.076517,0.5125,8.0000
0.076749,0.5125,8.0000
0.076928,0.5125,8.0000
0.077100,0.1125,8.0000
0.077272,0.1125,8.0000
0.077538,0.1125,8.0000
0.077727,0.5125,8.0000
0.077905,0.5125,8.0000
0.078077,0.5125,8.0000
0.078249,0.1125,8.0000
0.078504,0.1125,8.0000
0.078735,0.1125,8.0000
0.078915,0.1125,8.0000
0.079087,0.5125,8.0000
0.079259,0.1125,8.0000
0.079520,0.5125,8.0000
0.079709,0.5125,8.0000
0.079887,0.1125,8.0000
0.080059,0.1125,8.0000
0.080231,0.1125,8.0000
0.080489,0.1125,8.0000
0.080720,0.1125,8.0000
0.080901,0.1125,8.0000
0.081073,0.1125,8.0000
0.081245,0.1125,8.0000
0.081505,0.1125,8.0000
0.081694,0.5125,8.0000
0.081866,0.1125,8.0000
0.082044,0.1125,8.0000
0.082216,0.1125,8.0000
0.082472,0.1125,8.0000
0.082703,0.1125,8.0000
0.082877,0.1125,8.0000
0.083055,0.5125,8.0000
0.083227,0.5125,8.0000
0.083489,0.5125,8.0000
0.083678,0.1125,8.0000
0.083850,0.5125,8.0000
0.084028,0.5125,8.0000
0.084200,0.1125,8.0000
0.084455,0.1125,8.0000
0.084687,0.1125,8.0000
0.084860,0.5125,8.0000
0.085038,0.1125,8.0000
0.085210,0.1125,8.0000
0.085473,0.1125,8.0000
0.085662,0.1125,8.0000
0.085834,0.1125,8.0000
0.086012,0.1125,8.0000
0.086184,0.1125,8.0000
0.086439,0.5125,8.0000
0.086671,0.1125,8.0000
0.086844,0.1125,8.0000
0.087022,0.1125,8.0000
0.087194,0.1125,8.0000
0.087452,0.5125,8.0000
0.087641,0.1125,8.0000
0.087813,0.1125,8.0000
0.087991,0.1125,8.0000
0.088163,0.5125,8.0000
0.088421,0.1125,8.0000
0.088645,0.5125,8.0000
0.088819,0.5125,8.0000
0.088997,0.5125,8.0000
0.089169,0.1125,8.0000
0.089428,0.5125,8.0000
0.089625,0.5125,8.0000
0.089797,0.5125,8.0000
0.089975,0.5125,8.0000
0.090147,0.5125,8.0000
0.090403,0.1125,8.0000
0.090626,0.1125,8.0000
0.090800,0.5125,8.0000
0.090978,0.1125,8.0000
0.091150,0.5125,8.0000
0.091411,0.5125,8.0000
0.091600,0.5125,8.0000
0.091772,0.5125,8.0000
0.091950,0.5125,8.0000
0.092122,0.1125,8.0000
0.092377,0.5125,8.0000
0.092612,0.1125,8.0000
0.092786,0.5125,8.0000
0.092964,0.5125,8.0000
0.093136,0.5125,8.0000
0.093391,0.5125,8.0000
0.093580,0.5125,8.0000
0.093752,0.5125,8.0000
0.093930,0.5125,8.0000
0.094102,0.5125,8.0000
0.094361,0.5125,8.0000
0.094584,0.1125,8.0000
0.094758,0.5125,8.0000
0.094936,0.1125,8.0000
0.095108,0.5125,8.0000
0.095365,0.1125,8.0000
0.095562,0.5125,8.0000
0.095734,0.5125,8.0000
0.095912,0.5125,8.0000
0.096084,0.1125,8.0000
0.096408,0.1125,8.0000
0.096650,0.1125,8.0000
0.096829,0.1125,8.0000
0.097007,0.5125,8.0000
0.097179,0.1125,8.0000
0.097431,0.1125,8.0000
0.097629,0.1125,8.0000
0.097801,0.1125,8.0000
0.097979,0.1125,8.0000
0.098152,0.1125,8.0000
0.098415,0.1125,8.0000
0.098656,0.1125,8.0000
0.098832,0.1125,8.0000
0.099011,0.5125,8.0000
0.099183,0.1125,8.0000
0.099447,0.1125,8.0000
0.099646,0.5125,8.0000
0.099818,0.5125,8.0000
0.099995,0.1125,8.0000
