t_s,i_a,u_v
0.000000,0.0563,0.4208
0.000455,0.6563,0.4823
0.000814,0.6563,0.6334
0.001007,0.4563,0.7700
0.001179,0.4563,0.8531
0.001351,0.8563,0.8281
0.001523,0.8563,0.8897
0.001835,0.8563,1.0015
0.002028,0.8563,1.0706
0.002200,-0.1437,1.4025
0.002376,1.6563,1.0318
0.002548,1.8563,0.9962
0.002819,1.8563,1.0084
0.003013,1.8563,1.0172
0.003185,2.0563,0.9708
0.003357,2.0563,0.9678
0.003529,2.0563,0.9648
0.003790,2.0563,0.9602
0.003989,2.0563,0.9567
0.004161,2.0563,0.9537
0.004333,2.2563,0.8966
0.004505,2.2563,0.8828
0.004763,2.0563,0.9215
0.004963,2.0563,0.9180
0.005135,2.0563,0.9149
0.005307,2.0563,0.9119
0.005482,2.0563,0.9088
0.005742,2.0563,0.9042
0.005939,2.0563,0.9008
0.006111,2.0563,0.8977
0.006283,2.0563,0.8947
0.006455,2.0563,0.8917
0.006714,2.0563,0.8871
0.006914,2.0563,0.8836
0.007086,2.0563,0.8806
0.007258,2.0563,0.8775
0.007433,2.0563,0.8744
0.007693,1.8563,0.9294
0.007891,2.0563,0.8827
0.008063,2.0563,0.8796
0.008235,2.0563,0.8766
0.008407,2.0563,0.8736
0.008666,2.0563,0.8690
0.008866,2.0563,0.8655
0.009038,1.8563,0.9165
0.009209,2.0563,0.8702
0.009382,2.0563,0.8672
0.009642,2.0563,0.8626
0.009840,2.8563,0.6363
0.010012,2.0563,0.8065
0.010184,1.8563,0.8575
0.010356,1.8563,0.8652
0.010615,1.8563,0.8769
0.010814,2.0563,0.8301
0.010986,2.0563,0.8271
0.011158,2.0563,0.8240
0.011332,1.8563,0.8751
0.011592,1.8563,0.8868
0.011785,2.2563,0.7848
0.011963,2.0563,0.8249
0.012135,2.2563,0.7678
0.012307,1.8563,0.8622
0.012568,2.0563,0.8143
0.012762,1.8563,0.8663
0.012940,2.2563,0.7654
0.013112,1.8563,0.8597
0.013284,2.0563,0.8134
0.013544,1.8563,0.8684
0.013737,1.8563,0.8771
0.013915,1.8563,0.8851
0.014087,1.8563,0.8929
0.014259,1.8563,0.9006
0.014519,2.0563,0.8527
0.014713,2.0563,0.8493
0.014891,2.4563,0.7373
0.015063,1.8563,0.8749
0.015235,2.0563,0.8286
0.015495,1.8563,0.8836
0.015687,1.8563,0.8922
0.015865,1.8563,0.9002
0.016037,1.8563,0.9080
0.016209,1.8563,0.9157
0.016468,1.8563,0.9274
0.016662,2.0563,0.8806
0.016840,2.0563,0.8775
0.017012,2.0563,0.8745
0.017184,2.0563,0.8714
0.017444,2.0563,0.8669
0.017636,1.8563,0.9188
0.017814,2.0563,0.8724
0.017986,1.8563,0.9234
0.018191,2.0563,0.8765
0.018464,1.8563,0.9321
0.018658,2.0563,0.8854
0.018836,2.0563,0.8822
0.019008,2.0563,0.8792
0.019190,2.8563,0.6572
0.019450,1.8563,0.8854
0.019643,1.8563,0.8941
0.019821,1.8563,0.9021
0.019993,1.8563,0.9098
0.020201,2.0563,0.8629
0.020475,2.0563,0.8580
0.020671,1.8563,0.9102
0.020849,1.8563,0.9182
0.021021,2.0563,0.8718
0.021193,2.0563,0.8688
0.021455,2.0563,0.8642
0.021648,1.8563,0.9162
0.021826,1.8563,0.9242
0.021998,2.0563,0.8779
0.022192,1.6563,0.9853
0.022450,2.0563,0.8942
0.022644,2.0563,0.8908
0.022822,2.0563,0.8876
0.022994,2.0563,0.8846
0.023191,2.2563,0.8255
0.023451,2.0563,0.8642
0.023644,2.0563,0.8608
0.023822,2.0563,0.8577
0.023994,2.0563,0.8546
0.024191,2.2563,0.7955
0.024449,2.0563,0.8343
0.024643,2.0563,0.8309
0.024821,1.8563,0.8822
0.024993,2.0563,0.8359
0.025320,2.0563,0.8301
0.025649,2.0563,0.8243
0.025851,1.8563,0.8767
0.026023,1.8563,0.8844
0.026195,2.0563,0.8381
0.026367,1.8563,0.8891
0.026645,2.0563,0.8409
0.026844,2.0563,0.8374
0.027016,1.8563,0.8885
0.027188,1.8563,0.8962
0.027360,2.0563,0.8499
0.027626,2.0563,0.8452
0.027826,2.0563,0.8417
0.027998,2.0563,0.8386
0.028170,2.0563,0.8356
