t_s,i_a,u_v
0.000000,0.1937,0.0000
0.000473,0.1937,0.3195
0.000651,0.1937,0.4397
0.000989,0.3937,0.6560
0.001180,0.3937,0.7783
0.001354,0.5937,0.8834
0.001526,0.5937,0.9874
0.001698,0.5937,1.0914
0.001978,0.9937,1.2408
0.002191,1.1937,1.3468
0.002365,1.9937,1.4088
0.002538,1.9937,1.4704
0.002710,2.1937,1.5255
0.002957,2.3937,1.5959
0.003147,2.7937,1.6366
0.003321,2.9937,1.6677
0.003493,2.9937,1.6984
0.003665,3.3937,1.7169
0.003917,3.5937,1.7350
0.004127,3.7937,1.7427
0.004301,5.3937,1.6997
0.004473,3.9937,1.6999
0.004645,3.9937,1.7001
0.004897,4.7937,1.6646
0.005089,4.7937,1.6375
0.005263,4.9937,1.6069
0.005435,4.9937,1.5765
0.005607,4.9937,1.5462
0.005856,4.9937,1.5023
0.006065,4.9937,1.4654
0.006239,4.9937,1.4347
0.006411,4.9937,1.4044
0.006584,4.9937,1.3739
0.006830,4.7937,1.3392
0.007014,4.7937,1.3133
0.007195,4.7937,1.2878
0.007367,4.7937,1.2636
0.007539,4.7937,1.2394
0.007788,4.1937,1.2308
0.007992,2.9937,1.2672
0.008172,4.1937,1.2611
0.008344,3.9937,1.2612
0.008516,3.9937,1.2614
0.008761,3.9937,1.2617
0.008946,3.9937,1.2619
0.009126,3.9937,1.2621
0.009298,3.3937,1.2806
0.009470,3.9937,1.2808
0.009722,3.1937,1.3169
0.009925,3.9937,1.3171
0.010105,3.7937,1.3237
0.010277,3.7937,1.3300
0.010449,3.9937,1.3302
0.010695,3.9937,1.3304
0.010880,3.9937,1.3306
0.011060,3.9937,1.3308
0.011232,3.9937,1.3310
0.011404,3.7937,1.3373
0.011653,3.9937,1.3376
0.011856,3.7937,1.3450
0.012036,3.9937,1.3452
0.012208,3.9937,1.3454
0.012394,3.7937,1.3522
0.012639,3.7937,1.3612
0.012824,3.9937,1.3614
0.012998,4.1937,1.3554
0.013195,3.5937,1.3696
0.013403,3.3937,1.3920
0.013656,3.9937,1.3923
0.013859,3.9937,1.3925
0.014040,3.9937,1.3927
0.014212,3.9937,1.3929
0.014397,3.3937,1.4128
0.014643,3.1937,1.4480
0.014828,4.1937,1.4416
0.015002,4.3937,1.4295
0.015199,4.1937,1.4227
0.015394,3.9937,1.4229
0.015643,4.1937,1.4144
0.015846,4.7937,1.3858
0.016026,4.3937,1.3732
0.016198,3.9937,1.3734
0.016395,4.1937,1.3666
0.016640,4.3937,1.3495
0.016825,4.7937,1.3234
0.016999,3.9937,1.3236
