t_s,i_a,u_v
0.000000,0.1937,1.4534
0.000639,0.5937,2.1502
0.000821,1.1937,2.2630
0.000993,1.9937,2.3176
0.001165,2.3937,2.4229
0.001337,2.9937,2.4856
0.001633,5.9937,2.1902
0.001825,4.1937,2.5972
0.001997,4.1937,2.7228
0.002170,5.1937,2.6792
0.002342,5.3937,2.7493
0.002596,6.1937,2.7523
0.002792,6.3937,2.8116
0.002963,6.9937,2.7873
0.003138,7.1937,2.8195
0.003457,7.9937,2.7814
0.003780,8.3937,2.7874
0.003983,8.7937,2.7589
0.004155,9.3937,2.6831
0.004333,8.9937,2.7649
0.004505,9.3937,2.7188
0.004766,9.3937,2.7387
0.004953,9.9937,2.6499
0.005126,9.5937,2.7180
0.005300,9.5937,2.7269
0.005472,9.7937,2.7017
0.005743,9.9937,2.6723
0.005945,9.7937,2.7072
0.006117,9.9937,2.6777
0.006289,9.9937,2.6778
0.006461,10.3937,2.6100
0.006720,9.9937,2.6695
0.006908,10.3937,2.6009
0.007080,9.9937,2.6603
0.007252,7.7937,3.0341
0.007424,10.5937,2.6063
0.007671,10.3937,2.6237
0.007858,10.5937,2.5801
0.008030,10.5937,2.5673
0.008202,10.3937,2.5884
0.008374,10.5937,2.5459
0.008641,10.5937,2.5259
0.008843,10.3937,2.5456
0.009015,10.5937,2.5031
0.009191,9.9937,2.5922
0.009363,10.5937,2.4904
0.009615,9.9937,2.5795
0.009810,10.5937,2.4760
0.009982,9.9937,2.5651
0.010154,9.5937,2.6331
0.010326,9.9937,2.5740
0.010587,9.9937,2.5742
0.010795,9.7937,2.6092
0.010967,10.3937,2.5118
0.011139,9.9937,2.5712
0.011311,10.1937,2.5374
0.011563,9.9937,2.5672
0.011758,10.3937,2.4983
0.011930,9.9937,2.5577
0.012102,7.1937,3.0334
0.012274,10.3937,2.5506
0.012534,9.9937,2.6101
0.012743,9.9937,2.6103
0.012915,10.3937,2.5425
0.013087,9.9937,2.6019
0.013259,10.3937,2.5341
0.013511,9.9937,2.5936
0.013705,10.5937,2.4901
0.013877,10.1937,2.5452
0.014049,18.5937,1.1143
0.014221,9.7937,2.4230
0.014482,9.5937,2.4660
0.014690,9.3937,2.5115
0.014862,9.5937,2.4907
0.015034,9.5937,2.4995
0.015206,6.7937,2.9838
0.015459,9.9937,2.5098
0.015652,9.9937,2.5099
0.015824,9.9937,2.5100
0.015996,9.5937,2.5781
0.016168,9.7937,2.5529
0.016429,10.3937,2.4511
0.016638,9.7937,2.5454
0.016810,9.9937,2.5159
0.016982,9.7937,2.5500
0.017154,11.7937,2.2148
0.017406,9.5937,2.5537
0.017593,9.5937,2.5633
0.017771,9.7937,2.5383
0.017943,9.5937,2.5767
0.018115,9.7937,2.5515
0.018377,9.7937,2.5583
0.018579,9.7937,2.5636
0.018757,6.9937,3.0459
0.018929,9.9937,2.6014
0.019101,9.9937,2.6015
0.019353,10.3937,2.5297
0.019540,9.9937,2.5892
0.019719,10.5937,2.4869
0.019890,9.9937,2.5759
0.020063,10.5937,2.4741
0.020323,9.9937,2.5632
0.020526,9.9937,2.5634
0.020704,10.5937,2.4612
0.020875,9.9937,2.5502
0.021048,9.7937,2.5844
0.021300,9.7937,2.5909
0.021487,9.9937,2.5614
0.021665,9.9937,2.5615
0.021837,9.9937,2.5617
0.022009,9.9937,2.5618
0.022270,9.9937,2.5620
0.022472,9.9937,2.5622
0.022650,9.9937,2.5623
0.022822,10.1937,2.5285
0.022994,9.9937,2.5583
0.023246,9.9937,2.5585
0.023434,9.9937,2.5586
0.023606,9.9937,2.5587
0.023799,9.9937,2.5589
0.023997,9.7937,2.5937
0.024266,9.9937,2.5642
