t_s,i_a,u_v
0.000000,0.1937,0.0000
0.000464,0.1937,0.2586
0.000809,0.3937,0.4408
0.000996,0.1937,0.5451
0.001170,0.5937,0.6319
0.001343,0.3937,0.7232
0.001656,0.5937,0.8793
0.002004,0.9937,1.0326
0.002208,0.7937,1.1283
0.002380,1.1937,1.1990
0.002558,0.9937,1.2774
0.002730,1.7937,1.3330
0.002992,1.9937,1.4099
0.003182,2.3937,1.4546
0.003354,2.3937,1.4951
0.003526,2.5937,1.5305
0.003698,2.5937,1.5659
0.003964,3.1937,1.5973
0.004168,3.3937,1.6154
0.004340,3.5937,1.6257
0.004512,3.5937,1.6359
0.004684,3.5937,1.6461
0.004940,3.7937,1.6539
0.005129,3.9937,1.6540
0.005301,6.3937,1.5938
0.005473,4.1937,1.5889
0.005645,4.7937,1.5689
0.005910,4.7937,1.5381
0.006114,4.9937,1.5084
0.006286,4.7937,1.4884
0.006459,4.7937,1.4683
0.006631,4.7937,1.4483
0.006887,4.7937,1.4185
0.007077,4.7937,1.3965
0.007249,4.7937,1.3765
0.007421,4.9937,1.3514
0.007593,4.7937,1.3314
0.007855,4.7937,1.3010
0.008059,4.7937,1.2773
0.008231,4.7937,1.2573
0.008404,4.3937,1.2473
0.008576,4.1937,1.2424
0.008832,4.1937,1.2352
0.009021,4.3937,1.2243
0.009193,3.9937,1.2244
0.009365,3.9937,1.2246
0.009537,3.9937,1.2247
0.009795,3.7937,1.2325
0.010006,5.5937,1.1833
0.010178,3.7937,1.1885
0.010350,3.7937,1.1937
0.010522,3.5937,1.2039
0.010772,3.5937,1.2188
0.010968,3.7937,1.2247
0.011140,3.7937,1.2299
0.011311,3.7937,1.2351
0.011484,3.5937,1.2454
0.011741,3.7937,1.2531
0.011952,3.7937,1.2595
0.012124,3.5937,1.2697
0.012296,3.7937,1.2749
0.012468,3.7937,1.2801
0.012718,3.7937,1.2877
0.012913,3.7937,1.2936
0.013085,3.7937,1.2987
0.013257,3.5937,1.3090
0.013429,3.5937,1.3192
0.013687,3.7937,1.3270
0.013897,3.7937,1.3333
0.014069,3.7937,1.3385
0.014241,3.7937,1.3437
0.014413,3.7937,1.3489
0.014663,3.7937,1.3565
0.014858,3.1937,1.3795
0.015030,3.7937,1.3847
0.015202,4.9937,1.3597
0.015374,3.7937,1.3649
0.015632,3.9937,1.3651
0.015842,3.9937,1.3653
0.016014,4.3937,1.3554
0.016186,3.9937,1.3555
0.016358,3.1937,1.3758
0.016607,3.9937,1.3761
0.016797,3.3937,1.3929
0.016974,3.9937,1.3931
0.017146,3.9937,1.3933
0.017318,4.1937,1.3884
0.017576,5.9937,1.3131
0.017780,4.1937,1.3073
0.017958,3.9937,1.3074
0.018130,3.9937,1.3076
