t_s,i_a,u_v
0.000000,0.4563,0.1186
0.000467,0.2563,0.2279
0.000828,0.2563,0.3052
0.001014,0.2563,0.3451
0.001187,0.4563,0.3701
0.001359,0.4563,0.4043
0.001667,0.4563,0.4654
0.002030,0.4563,0.5375
0.002233,0.6563,0.5653
0.002406,0.6563,0.5969
0.002578,0.6563,0.6284
0.002750,0.8563,0.6479
0.003015,0.8563,0.6922
0.003204,0.8563,0.7238
0.003380,0.8563,0.7533
0.003552,1.0563,0.7701
0.003724,1.0563,0.7962
0.003991,1.6563,0.7962
0.004191,1.0563,0.8545
0.004364,1.6563,0.8447
0.004536,1.6563,0.8627
0.004708,1.6563,0.8808
0.004967,1.8563,0.8946
0.005156,1.8563,0.9114
0.005329,1.8563,0.9269
0.005501,1.8563,0.9422
0.005673,1.8563,0.9576
0.005939,2.0563,0.9679
0.006140,1.8563,0.9951
0.006312,2.0563,0.9985
0.006487,2.0563,1.0114
0.006659,2.2563,1.0120
0.006919,2.2563,1.0271
0.007108,2.2563,1.0381
0.007280,2.2563,1.0481
0.007452,2.2563,1.0581
0.007624,2.2563,1.0680
0.007890,2.2563,1.0835
0.008091,2.2563,1.0951
0.008263,2.4563,1.0931
0.008435,2.2563,1.1124
0.008607,2.8563,1.0864
0.008865,2.6563,1.1026
0.009054,2.2563,1.1323
0.009226,2.4563,1.1302
0.009398,2.8563,1.1135
0.009570,2.8563,1.1154
0.009838,2.8563,1.1185
0.010038,2.6563,1.1331
0.010210,2.8563,1.1257
0.010383,2.8563,1.1277
0.010555,2.8563,1.1296
0.010813,3.0563,1.1192
0.011003,3.0563,1.1183
0.011175,3.0563,1.1176
0.011347,3.2563,1.1048
0.011519,3.2563,1.1014
0.011780,3.0563,1.1095
0.011986,2.8563,1.1212
0.012158,3.0563,1.1111
0.012334,3.0563,1.1103
0.012507,3.0563,1.1096
0.012760,3.0563,1.1085
0.012955,3.0563,1.1076
0.013127,3.0563,1.1068
0.013299,3.0563,1.1061
0.013471,3.0563,1.1053
0.013732,3.0563,1.1042
0.013939,2.8563,1.1158
0.014111,3.0563,1.1058
0.014283,3.0563,1.1050
0.014455,2.8563,1.1162
0.014709,3.0563,1.1058
0.014904,3.0563,1.1050
0.015076,3.0563,1.1042
0.015248,3.2563,1.0914
0.015420,3.0563,1.1000
0.015681,3.2563,1.0855
0.015888,3.0563,1.0939
0.016060,3.2563,1.0811
0.016232,3.0563,1.0897
0.016404,3.0563,1.0889
0.016657,3.0563,1.0878
0.016853,3.2563,1.0746
0.017025,3.0563,1.0831
0.017197,2.8563,1.0944
0.017369,3.0563,1.0843
0.017629,3.0563,1.0832
0.017836,3.0563,1.0823
0.018008,3.0563,1.0815
0.018180,3.0563,1.0807
0.018352,3.0563,1.0800
0.018605,3.0563,1.0789
0.018795,3.0563,1.0780
0.018973,3.0563,1.0773
0.019145,3.0563,1.0765
0.019317,3.0563,1.0757
0.019578,3.0563,1.0746
0.019778,3.0563,1.0737
0.019956,3.0563,1.0729
0.020128,3.0563,1.0722
0.020300,3.0563,1.0714
0.020554,3.0563,1.0703
0.020743,2.8563,1.0818
0.020921,3.0563,1.0717
0.021093,3.0563,1.0709
0.021265,3.0563,1.0701
0.021526,2.8563,1.0824
0.021727,2.8563,1.0846
0.021905,3.0563,1.0745
0.022077,3.0563,1.0738
0.022249,2.4563,1.1091
0.022502,3.0563,1.0800
0.022691,3.0563,1.0791
0.022870,3.0563,1.0784
0.023042,4.0563,1.0176
0.023214,3.0563,1.0634
0.023478,2.8563,1.0757
0.023679,2.8563,1.0780
0.023857,3.0563,1.0679
0.024029,2.8563,1.0791
0.024201,3.0563,1.0690
0.024455,3.0563,1.0679
0.024645,3.0563,1.0671
0.024823,2.8563,1.0784
0.024995,3.0563,1.0683
0.025196,3.0563,1.0674
0.025484,3.0563,1.0662
0.025685,3.0563,1.0653
0.025863,3.0563,1.0645
0.026035,3.0563,1.0638
0.026207,3.0563,1.0630
0.026461,3.0563,1.0619
0.026650,2.8563,1.0733
0.026829,2.8563,1.0753
0.027001,3.0563,1.0653
0.027193,2.2563,1.1137
0.027454,2.8563,1.0887
0.027655,3.0563,1.0784
0.027833,3.0563,1.0777
0.028005,2.8563,1.0889
0.028196,3.0563,1.0788
0.028449,3.0563,1.0776
0.028638,2.8563,1.0891
0.028816,3.0563,1.0790
0.028988,3.0563,1.0782
0.029194,3.2563,1.0648
0.029461,3.0563,1.0729
0.029649,2.6563,1.0966
0.029827,3.0563,1.0772
0.029999,3.0563,1.0764
0.030197,3.0563,1.0756
0.030466,3.0563,1.0744
0.030667,3.0563,1.0735
0.030845,3.0563,1.0727
0.031017,3.0563,1.0720
0.031269,3.0563,1.0709
0.031578,3.0563,1.0695
0.031775,2.8563,1.0810
0.031953,3.2563,1.0588
0.032125,2.8563,1.0794
0.032297,3.4563,1.0453
0.032572,3.0563,1.0627
0.032766,3.0563,1.0619
0.032944,2.8563,1.0732
0.033116,3.0563,1.0631
0.033288,2.8563,1.0744
0.033549,3.0563,1.0639
0.033746,2.8563,1.0755
0.033924,3.0563,1.0653
0.034096,2.8563,1.0766
0.034268,3.0563,1.0665
0.034527,3.0563,1.0654
0.034720,2.8563,1.0769
0.034898,2.2563,1.1152
0.035071,2.8563,1.0891
0.035243,3.2563,1.0671
0.035500,3.0563,1.0753
0.035696,3.0563,1.0744
0.035874,3.0563,1.0736
0.036046,2.8563,1.0849
0.036218,3.0563,1.0748
0.036477,3.0563,1.0736
0.036671,2.8563,1.0851
0.036849,2.4563,1.1113
0.037021,3.0563,1.0826
0.037193,3.0563,1.0819
0.037450,3.2563,1.0674
0.037646,3.0563,1.0759
0.037824,3.0563,1.0751
0.037996,3.0563,1.0743
0.038197,3.0563,1.0734
0.038472,2.8563,1.0859
0.038665,3.0563,1.0757
0.038843,2.4563,1.1112
0.039015,3.0563,1.0825
0.039188,3.0563,1.0817
