t_s,i_a,u_v
0.000000,0.2563,0.0000
0.000463,0.0563,0.0114
0.000641,0.0563,0.0158
0.000977,0.2563,0.0223
0.001165,0.0563,0.0270
0.001339,0.2563,0.0304
0.001511,0.2563,0.0337
0.001683,0.2563,0.0371
0.001967,0.2563,0.0426
0.002172,0.2563,0.0466
0.002346,0.0563,0.0509
0.002521,0.2563,0.0543
0.002693,0.2563,0.0576
0.002943,0.2563,0.0625
0.003131,0.2563,0.0661
0.003306,0.2563,0.0695
0.003477,0.2563,0.0728
0.003650,0.2563,0.0762
0.003903,0.2563,0.0811
0.004108,0.2563,0.0851
0.004283,0.2563,0.0885
0.004454,0.0563,0.0927
0.004627,0.0563,0.0970
0.004883,0.4563,0.1006
0.005071,0.2563,0.1043
0.005245,0.2563,0.1077
0.005417,0.2563,0.1110
0.005589,0.2563,0.1144
0.005840,0.2563,0.1192
0.006045,0.2563,0.1232
0.006219,0.2563,0.1266
0.006391,0.2563,0.1300
0.006566,0.2563,0.1334
0.006816,0.2563,0.1382
0.007003,0.2563,0.1418
0.007177,0.2563,0.1452
0.007349,0.2563,0.1486
0.007521,0.2563,0.1519
0.007772,0.2563,0.1568
0.007971,-0.3437,0.1638
0.008152,0.2563,0.1673
0.008324,0.2563,0.1707
0.008496,0.2563,0.1740
0.008748,0.2563,0.1789
0.008930,0.2563,0.1824
0.009111,0.2563,0.1860
0.009283,0.2563,0.1893
0.009455,0.2563,0.1926
0.009706,0.4563,0.1962
0.009905,0.4563,0.1990
0.010085,0.4563,0.2016
0.010257,0.2563,0.2049
0.010429,0.0563,0.2092
0.010679,0.8563,0.2101
0.010861,0.2563,0.2137
0.011041,0.2563,0.2172
0.011213,0.2563,0.2205
0.011385,0.8563,0.2211
0.011640,0.4563,0.2248
0.011839,0.2563,0.2286
0.012019,0.4563,0.2312
0.012191,0.4563,0.2336
0.012382,0.2563,0.2374
0.012632,0.2563,0.2422
0.012814,0.4563,0.2448
0.012988,0.4563,0.2473
0.013180,0.6563,0.2490
0.013379,0.6563,0.2508
0.013631,0.4563,0.2544
0.013830,0.4563,0.2572
0.014010,0.4563,0.2598
