t_s,i_a,u_v
0.000000,0.5125,0.2701
0.000446,0.5125,0.3435
0.000634,0.5125,0.3744
0.000806,0.5125,0.4027
0.001095,0.5125,0.4502
0.001279,0.5125,0.4804
0.001454,0.5125,0.5092
0.001632,0.5125,0.5385
0.001805,0.1125,0.6149
0.002086,0.5125,0.6177
0.002305,0.5125,0.6537
0.002482,0.5125,0.6828
0.002660,0.7125,0.6880
0.002833,0.1125,0.7862
0.003090,0.5125,0.7850
0.003280,0.5125,0.8163
0.003455,0.1125,0.8931
0.003633,0.1125,0.9271
0.003805,0.7125,0.8879
0.004064,0.5125,0.9522
0.004283,0.5125,0.9883
0.004460,0.5125,1.0174
0.004638,0.1125,1.0948
0.004811,0.7125,1.0558
0.005068,0.5125,1.1198
0.005252,0.5125,1.1500
0.005427,0.1125,1.2268
0.005605,0.5125,1.2127
0.005777,0.1125,1.2889
0.006035,0.1125,1.3382
0.006261,-0.6875,1.4802
0.006439,0.5125,1.3791
0.006617,0.1125,1.4565
0.006789,0.5125,1.4414
0.007050,0.1125,1.5346
0.007234,0.5125,1.5214
0.007409,0.1125,1.5983
0.007587,0.5125,1.5841
0.007760,0.1125,1.6606
0.008017,0.5125,1.6594
0.008243,0.1125,1.7460
0.008421,0.5125,1.7318
0.008599,0.5125,1.7611
0.008771,0.1125,1.8373
0.009035,0.1125,1.8877
0.009219,0.1125,1.9229
0.009395,0.5125,1.9084
0.009574,0.5125,1.9378
0.009746,0.1125,2.0141
0.010001,0.1125,2.0627
0.010228,0.1125,2.1061
0.010405,0.5125,2.0917
0.010583,0.1125,2.1691
0.010755,0.5125,2.1540
0.011016,0.1125,2.2472
0.011200,0.5125,2.2341
0.011376,0.5125,2.2630
0.011554,0.1125,2.3404
0.011726,0.5125,2.3252
0.011981,0.5125,2.3672
0.012209,0.5125,2.4047
0.012386,0.5125,2.4338
0.012564,0.1125,2.5112
0.012736,0.1125,2.5440
0.012999,0.1125,2.5942
0.013184,0.5125,2.5812
0.013359,0.1125,2.6580
0.013537,0.1125,2.6920
0.013709,0.5125,2.6769
0.013964,0.5125,2.7188
0.014191,0.1125,2.8056
0.014368,0.1125,2.8393
0.014547,0.5125,2.8253
0.014719,0.5125,2.8536
0.014979,0.1125,2.9467
0.015164,0.5125,2.9337
0.015339,0.1125,3.0105
0.015517,0.5125,2.9963
0.015689,0.5125,3.0246
0.015944,0.5125,3.0665
0.016171,0.5125,3.1039
0.016348,0.5125,3.1330
0.016526,0.5125,3.1622
0.016699,0.5125,3.1907
0.016959,0.5125,3.2334
0.017143,0.1125,3.3120
0.017319,0.5125,3.2975
0.017497,0.1125,3.3749
0.017669,0.1125,3.4078
0.018076,0.1125,3.4854
0.018341,0.5125,3.4856
0.018524,0.1125,3.5639
0.018696,0.1125,3.5968
0.018868,0.1125,3.6296
0.019126,0.5125,3.6286
0.019312,0.1125,3.7075
0.019494,0.1125,3.7423
0.019666,0.1125,3.7751
0.019838,0.1125,3.8079
0.020097,0.1125,3.8574
0.020325,0.5125,3.8514
0.020508,0.5125,3.8815
0.020680,0.5125,3.9098
0.020852,0.5125,3.9381
0.021112,0.5125,3.9808
0.021304,0.5125,4.0124
0.021480,0.5125,4.0413
0.021658,0.5125,4.0706
0.021830,0.5125,4.0989
0.022090,0.5125,4.1416
0.022307,0.1125,4.2265
0.022490,0.5125,4.2131
0.022662,0.5125,4.2414
0.022835,0.5125,4.2699
0.023095,1.1125,4.2372
0.023281,0.7125,4.3087
0.023457,0.5125,4.3594
0.023635,0.5125,4.3887
0.023807,0.5125,4.4169
0.024063,0.1125,4.5092
0.024288,0.5125,4.5028
0.024466,0.5125,4.5321
0.024644,0.1125,4.6095
0.024816,0.1125,4.6423
0.025077,0.5125,4.6418
0.025264,0.1125,4.7209
0.025439,0.5125,4.7063
0.025617,0.5125,4.7355
0.025789,0.5125,4.7638
0.026044,0.5125,4.8057
0.026261,0.5125,4.8414
0.026439,0.5125,4.8707
0.026617,0.5125,4.9000
0.026789,0.1125,4.9762
0.027044,0.5125,4.9747
0.027237,0.1125,5.0550
0.027412,0.5125,5.0403
0.027590,0.5125,5.0696
0.027762,0.1125,5.1459
0.028022,0.5125,5.1452
0.028239,0.5125,5.1809
0.028416,0.1125,5.2581
0.028595,0.5125,5.2441
0.028767,0.5125,5.2724
0.029025,0.5125,5.3148
0.029218,0.5125,5.3465
0.029393,0.5125,5.3753
0.029571,0.1125,5.4527
0.029743,0.5125,5.4376
0.030002,0.5125,5.4801
0.030219,0.1125,5.5650
0.030397,0.5125,5.5508
0.030575,0.1125,5.6282
0.030747,0.5125,5.6131
0.031004,0.5125,5.6553
0.031197,0.5125,5.6871
0.031372,0.5125,5.7159
0.031551,0.5125,5.7453
0.031723,0.1125,5.8216
0.031981,0.1125,5.8708
0.032201,0.1125,5.9128
0.032378,0.5125,5.8985
0.032557,0.5125,5.9279
0.032729,0.5125,5.9562
0.032985,0.5125,5.9983
0.033180,-0.0875,6.1032
0.033356,0.5125,6.0670
0.033534,0.1125,6.1444
0.033706,0.1125,6.1773
0.033965,0.5125,6.1764
0.034182,0.5125,6.2121
0.034360,0.5125,6.2414
0.034538,0.5125,6.2706
0.034710,0.5125,6.2989
0.034966,0.5125,6.3410
0.035161,0.5125,6.3731
0.035337,0.5125,6.4020
0.035515,0.5125,6.4313
0.035687,0.5125,6.4596
0.035946,0.5125,6.5021
0.036163,0.5125,6.5378
0.036340,0.1125,6.6151
0.036518,0.5125,6.6009
0.036690,0.5125,6.6292
0.036947,0.1125,6.7217
0.037142,0.5125,6.7103
0.037317,0.5125,6.7391
0.037495,0.5125,6.7683
0.037668,0.1125,6.8448
0.037926,0.1125,6.8940
0.038143,0.1125,6.9355
0.038321,0.5125,6.9213
0.038499,0.5125,6.9505
0.038671,0.1125,7.0268
0.038928,0.5125,7.0256
0.039128,0.1125,7.1073
0.039303,0.5125,7.0926
0.039475,0.1125,7.1689
0.039653,0.5125,7.1547
0.039912,0.1125,7.2476
0.040133,0.1125,7.2897
0.040311,0.1125,7.3237
0.040483,0.5125,7.3086
0.040661,0.1125,7.3860
0.040918,0.5125,7.3848
0.041110,0.1125,7.4649
0.041286,0.5125,7.4504
0.041458,0.1125,7.5267
0.041636,0.5125,7.5125
0.041895,0.5125,7.5551
0.042112,0.5125,7.5908
0.042290,0.1125,7.6682
0.042462,0.5125,7.6530
0.042640,0.5125,7.6823
0.042896,0.5125,7.7244
0.043089,0.5125,7.7561
0.043264,0.5125,7.7849
0.043436,0.5125,7.8132
0.043615,0.5125,7.8426
0.043874,0.5125,7.8852
0.044091,0.5125,7.9209
0.044268,0.5125,7.9500
0.044440,0.5125,7.9783
0.044618,0.5125,8.0000
0.044875,0.5125,8.0000
0.045068,0.5125,8.0000
0.045244,0.1125,8.0000
0.045416,0.5125,8.0000
0.045594,0.1125,8.0000
0.045852,0.1125,8.0000
0.046073,0.5125,8.0000
0.046250,0.5125,8.0000
0.046422,0.5125,8.0000
0.046601,0.5125,8.0000
0.046857,0.5125,8.0000
0.047045,0.5125,8.0000
0.047226,0.5125,8.0000
0.047398,0.5125,8.0000
0.047601,0.1125,8.0000
0.047951,0.5125,8.0000
0.048213,0.1125,8.0000
0.048396,0.5125,8.0000
0.048574,0.5125,8.0000
0.048746,0.5125,8.0000
0.049006,0.5125,8.0000
0.049196,0.5125,8.0000
0.049368,0.5125,8.0000
0.049547,0.5125,8.0000
0.049719,0.5125,8.0000
0.049979,0.5125,8.0000
0.050223,0.5125,8.0000
0.050397,0.5125,8.0000
0.050575,0.5125,8.0000
0.050747,0.5125,8.0000
0.051015,0.5125,8.0000
0.051205,0.5125,8.0000
0.051377,0.5125,8.0000
0.051555,0.5125,8.0000
0.051728,0.5125,8.0000
0.051985,0.1125,8.0000
0.052214,0.1125,8.0000
0.052388,0.5125,8.0000
0.052566,0.5125,8.0000
0.052738,0.5125,8.0000
0.053001,0.5125,8.0000
0.053192,0.5125,8.0000
0.053364,0.5125,8.0000
0.053542,0.5125,8.0000
0.053714,0.5125,8.0000
0.053971,0.5125,8.0000
0.054200,0.5125,8.0000
0.054374,0.5125,8.0000
0.054552,0.5125,8.0000
0.054724,0.5125,8.0000
0.054987,0.5125,8.0000
0.055178,0.1125,8.0000
0.055350,0.5125,8.0000
0.055528,0.5125,8.0000
0.055700,0.5125,8.0000
0.055957,0.5125,8.0000
0.056186,0.5125,8.0000
0.056360,0.1125,8.0000
0.056538,0.5125,8.0000
0.056710,0.5125,8.0000
0.056972,0.5125,8.0000
0.057163,0.5125,8.0000
0.057335,0.5125,8.0000
0.057513,0.5125,8.0000
0.057685,0.5125,8.0000
0.057942,0.5125,8.0000
0.058171,0.5125,8.0000
0.058345,0.1125,8.0000
0.058523,0.1125,8.0000
0.058695,0.5125,8.0000
0.058958,0.1125,8.0000
0.059148,0.5125,8.0000
0.059321,0.5125,8.0000
0.059499,0.5125,8.0000
0.059671,0.5125,8.0000
0.059928,0.5125,8.0000
0.060160,0.5125,8.0000
0.060334,0.5125,8.0000
0.060512,0.5125,8.0000
0.060684,0.5125,8.0000
0.060946,0.5125,8.0000
0.061137,0.5125,8.0000
0.061309,0.5125,8.0000
0.061481,0.5125,8.0000
0.061660,0.5125,8.0000
0.061917,0.5125,8.0000
0.062146,0.5125,8.0000
0.062320,0.5125,8.0000
0.062498,0.1125,8.0000
0.062670,0.5125,8.0000
0.062933,0.5125,8.0000
0.063123,0.5125,8.0000
0.063295,0.5125,8.0000
0.063467,0.5125,8.0000
0.063645,0.5125,8.0000
0.063903,0.5125,8.0000
0.064133,0.5125,8.0000
0.064307,0.5125,8.0000
0.064479,0.5125,8.0000
0.064657,0.5125,8.0000
0.064920,0.7125,8.0000
0.065113,0.5125,8.0000
0.065285,0.5125,8.0000
0.065457,0.5125,8.0000
0.065635,0.5125,8.0000
0.065892,0.5125,8.0000
0.066119,0.5125,8.0000
0.066293,0.5125,8.0000
0.066465,0.5125,8.0000
0.066643,0.5125,8.0000
0.066906,0.5125,8.0000
0.067097,0.1125,8.0000
0.067269,0.5125,8.0000
0.067441,0.5125,8.0000
0.067619,0.5125,8.0000
0.067876,0.5125,8.0000
0.068103,0.5125,8.0000
0.068277,0.5125,8.0000
0.068449,0.5125,8.0000
0.068627,0.1125,8.0000
0.068890,0.5125,8.0000
0.069080,0.5125,8.0000
0.069252,0.5125,8.0000
0.069424,0.5125,8.0000
0.069602,0.5125,8.0000
0.069859,0.5125,8.0000
0.070086,0.5125,8.0000
0.070260,0.5125,8.0000
0.070432,0.5125,8.0000
0.070610,0.1125,8.0000
0.070873,0.1125,8.0000
0.071064,0.5125,8.0000
0.071236,0.5125,8.0000
0.071408,0.5125,8.0000
0.071600,0.1125,8.0000
0.071868,0.1125,8.0000
0.072096,0.5125,8.0000
0.072270,0.5125,8.0000
0.072442,0.5125,8.0000
0.072620,0.5125,8.0000
0.072883,0.1125,8.0000
0.073074,0.5125,8.0000
0.073246,0.5125,8.0000
0.073418,0.5125,8.0000
0.073596,0.5125,8.0000
0.073853,0.5125,8.0000
0.074085,0.5125,8.0000
0.074259,0.1125,8.0000
0.074431,0.5125,8.0000
0.074609,0.5125,8.0000
0.074872,0.5125,8.0000
0.075063,0.5125,8.0000
0.075235,0.1125,8.0000
0.075407,0.5125,8.0000
0.075598,0.1125,8.0000
0.075855,0.5125,8.0000
0.076085,0.5125,8.0000
0.076259,0.5125,8.0000
0.076431,0.5125,8.0000
0.076609,0.5125,8.0000
0.076872,0.5125,8.0000
0.077063,0.5125,8.0000
0.077235,0.5125,8.0000
0.077407,0.5125,8.0000
0.077599,0.5125,8.0000
0.077923,0.5125,8.0000
0.078187,0.5125,8.0000
0.078371,0.5125,8.0000
0.078550,0.5125,8.0000
0.078722,0.5125,8.0000
0.078978,0.1125,8.0000
0.079166,0.5125,8.0000
0.079338,0.5125,8.0000
0.079516,0.5125,8.0000
0.079689,0.1125,8.0000
0.079949,0.5125,8.0000
0.080185,0.5125,8.0000
0.080361,0.5125,8.0000
0.080539,0.5125,8.0000
0.080711,0.5125,8.0000
0.080972,0.5125,8.0000
0.081164,0.5125,8.0000
0.081336,0.1125,8.0000
0.081514,0.5125,8.0000
0.081686,0.1125,8.0000
0.081947,0.1125,8.0000
0.082168,0.1125,8.0000
0.082344,0.1125,8.0000
0.082522,0.5125,8.0000
0.082694,0.5125,8.0000
0.082953,0.5125,8.0000
0.083143,0.1125,8.0000
0.083315,0.1125,8.0000
0.083493,0.5125,8.0000
0.083665,0.5125,8.0000
0.083920,0.5125,8.0000
0.084145,0.1125,8.0000
0.084321,0.5125,8.0000
0.084499,0.5125,8.0000
0.084671,0.5125,8.0000
0.084934,0.5125,8.0000
0.085122,0.5125,8.0000
0.085294,0.1125,8.0000
0.085466,0.5125,8.0000
0.085644,0.5125,8.0000
0.085901,0.5125,8.0000
0.086132,0.1125,8.0000
0.086308,0.5125,8.0000
0.086480,0.5125,8.0000
0.086659,0.5125,8.0000
0.086921,0.5125,8.0000
0.087113,0.5125,8.0000
0.087285,0.5125,8.0000
0.087457,0.5125,8.0000
0.087635,0.1125,8.0000
0.087892,0.5125,8.0000
0.088121,0.1125,8.0000
0.088297,0.1125,8.0000
0.088469,0.5125,8.0000
0.088647,0.5125,8.0000
0.088909,0.5125,8.0000
