t_s,i_a,u_v
0.000000,0.1125,0.3785
0.000434,0.1125,0.6649
0.000634,0.5125,0.7262
0.000806,0.5125,0.8239
0.001110,0.5125,0.9968
0.001296,0.1125,1.1719
0.001469,0.1125,1.2861
0.001647,0.1125,1.4035
0.001819,0.1125,1.5170
0.002104,0.1125,1.7051
0.002324,0.5125,1.7777
0.002505,0.1125,1.9496
0.002677,0.1125,2.0631
0.002849,0.5125,2.1084
0.003106,0.5125,2.2545
0.003296,0.1125,2.4323
0.003469,0.1125,2.5465
0.003647,0.5125,2.5952
0.003819,0.1125,2.7612
0.004082,0.1125,2.9347
0.004302,0.5125,3.0073
0.004484,0.1125,3.1798
0.004656,0.5125,3.2252
0.004828,0.5125,3.3230
0.005092,0.1125,3.5496
0.005278,0.1125,3.6723
0.005451,0.5125,3.7182
0.005629,0.1125,3.8881
0.005801,0.5125,3.9335
0.006057,0.1125,4.1548
0.006283,0.5125,4.2308
0.006458,0.5125,4.3303
0.006636,0.5125,4.4315
0.006808,0.5125,4.5293
0.007072,0.5125,4.6794
0.007258,0.5125,4.7851
0.007431,0.1125,4.9517
0.007609,0.5125,5.0004
0.007781,0.5125,5.0982
0.008040,0.5125,5.2454
0.008261,0.5125,5.3711
0.008436,0.1125,5.5390
0.008614,0.5125,5.5877
0.008786,0.5125,5.6855
0.009043,0.5125,5.8316
0.009233,0.5125,5.9396
0.009406,0.5125,6.0379
0.009585,0.5125,6.1397
0.009757,0.5125,6.2374
0.010019,0.5125,6.3864
0.010240,0.5125,6.5120
0.010415,0.1125,6.6799
0.010593,0.5125,6.7287
0.010765,0.5125,6.8264
0.011030,0.1125,7.0537
0.011216,0.5125,7.1070
0.011389,0.5125,7.2054
0.011567,0.5125,7.3066
0.011739,0.5125,7.4043
0.011995,0.5125,7.5499
0.012221,0.5125,7.6783
0.012396,0.1125,7.8462
0.012574,0.5125,7.8950
0.012747,0.5125,7.9933
0.013009,0.1125,8.0000
0.013195,0.5125,8.0000
0.013369,0.1125,8.0000
0.013547,0.5125,8.0000
0.013719,0.1125,8.0000
0.013979,0.5125,8.0000
0.014205,0.1125,8.0000
0.014380,0.5125,8.0000
0.014558,0.1125,8.0000
0.014730,0.5125,8.0000
0.014993,0.1125,8.0000
0.015179,0.5125,8.0000
0.015352,0.1125,8.0000
0.015531,0.5125,8.0000
0.015703,0.5125,8.0000
0.015962,0.1125,8.0000
0.016187,0.1125,8.0000
0.016362,0.1125,8.0000
0.016540,0.5125,8.0000
0.016712,0.1125,8.0000
0.016975,0.5125,8.0000
0.017161,0.5125,8.0000
0.017334,0.5125,8.0000
0.017512,0.1125,8.0000
0.017684,0.5125,8.0000
0.017944,0.1125,8.0000
0.018168,0.5125,8.0000
0.018343,0.1125,8.0000
0.018521,0.5125,8.0000
0.018693,0.5125,8.0000
0.018956,0.5125,8.0000
0.019142,0.5125,8.0000
0.019315,0.5125,8.0000
0.019493,0.5125,8.0000
0.019666,0.5125,8.0000
0.019925,0.5125,8.0000
0.020150,0.1125,8.0000
0.020325,0.5125,8.0000
0.020503,0.5125,8.0000
0.020676,0.5125,8.0000
0.020938,0.5125,8.0000
0.021124,0.5125,8.0000
0.021297,0.1125,8.0000
0.021469,0.1125,8.0000
0.021648,0.5125,8.0000
0.021907,0.5125,8.0000
0.022133,0.5125,8.0000
0.022308,0.5125,8.0000
0.022486,0.5125,8.0000
0.022658,0.1125,8.0000
0.022921,0.5125,8.0000
0.023109,0.5125,8.0000
0.023282,0.5125,8.0000
0.023454,0.1125,8.0000
0.023632,0.5125,8.0000
0.023892,0.5125,8.0000
0.024116,0.5125,8.0000
0.024291,0.5125,8.0000
0.024463,0.5125,8.0000
0.024641,0.5125,8.0000
0.024904,0.5125,8.0000
0.025090,0.5125,8.0000
0.025263,0.5125,8.0000
0.025435,0.5125,8.0000
0.025614,0.5125,8.0000
