t_s,i_a,u_v
0.000000,0.1437,0.2625
0.000634,0.1437,0.6697
0.000823,0.3437,0.7753
0.000995,0.3437,0.8812
0.001167,0.5437,0.9718
0.001342,0.7437,1.0595
0.001629,0.9437,1.2026
0.001832,1.5437,1.2630
0.002004,1.7437,1.3263
0.002176,1.7437,1.4003
0.002349,1.9437,1.4595
0.002608,2.1437,1.5465
0.002804,2.3437,1.6045
0.002976,2.9437,1.6189
0.003148,2.9437,1.6657
0.003320,4.5437,1.5896
0.003573,3.3437,1.7098
0.003772,2.9437,1.7856
0.003944,3.5437,1.7863
0.004116,3.7437,1.8040
0.004288,4.5437,1.7712
0.004541,4.7437,1.7689
0.004737,4.5437,1.7916
0.004909,4.7437,1.7866
0.005081,4.9437,1.7771
0.005254,4.9437,1.7784
0.005506,5.1437,1.7628
0.005705,5.1437,1.7590
0.005877,5.3437,1.7404
0.006049,5.1437,1.7479
0.006222,3.5437,1.8677
0.006475,5.5437,1.7414
0.006665,5.5437,1.7277
0.006843,5.5437,1.7149
0.007015,8.5437,1.4722
0.007187,5.5437,1.6220
0.007439,5.5437,1.6038
0.007632,5.5437,1.5900
0.007810,5.3437,1.5927
0.007982,5.3437,1.5849
0.008154,5.3437,1.5770
0.008407,5.3437,1.5655
0.008597,5.3437,1.5569
0.008776,5.5437,1.5332
0.008948,5.3437,1.5362
0.009120,8.1437,1.3134
0.009372,5.1437,1.4707
0.009564,5.1437,1.4671
0.009743,5.1437,1.4637
0.009915,6.7437,1.3375
0.010087,5.1437,1.4207
0.010341,4.9437,1.4334
0.010531,4.9437,1.4349
0.010710,4.9437,1.4362
0.010882,4.9437,1.4375
0.011054,4.7437,1.4541
0.011306,4.7437,1.4626
0.011499,4.7437,1.4692
0.011671,4.7437,1.4750
0.011849,4.7437,1.4811
0.012021,4.9437,1.4715
0.012275,4.9437,1.4734
0.012465,5.9437,1.3957
0.012637,4.9437,1.4510
0.012815,5.7437,1.3902
0.013002,4.7437,1.4506
0.013255,4.7437,1.4592
0.013447,4.7437,1.4657
0.013619,4.7437,1.4715
0.013797,4.7437,1.4776
0.013997,4.7437,1.4844
0.014251,4.7437,1.4930
0.014441,4.9437,1.4836
0.014613,4.7437,1.5002
0.014791,4.7437,1.5062
0.015148,4.7437,1.5183
0.015489,4.7437,1.5299
0.015681,4.7437,1.5364
0.015859,4.7437,1.5424
0.016031,4.9437,1.5329
0.016205,4.9437,1.5342
0.016483,4.7437,1.5544
0.016676,4.9437,1.5451
0.016854,4.9437,1.5464
0.017026,4.9437,1.5477
0.017199,4.9437,1.5490
0.017462,4.9437,1.5509
0.017654,4.9437,1.5524
0.017832,4.9437,1.5537
0.018004,4.9437,1.5550
0.018176,4.9437,1.5562
0.018441,4.9437,1.5582
0.018635,5.1437,1.5437
0.018813,4.9437,1.5558
0.018985,5.1437,1.5418
