t_s,i_a,u_v
0.000000,-0.0563,0.7306
0.000645,0.1437,1.1933
0.000843,0.3437,1.2912
0.001015,0.3437,1.4179
0.001187,0.5437,1.4871
0.001362,0.3437,1.6638
0.001662,0.7437,1.7557
0.001869,1.5437,1.6480
0.002041,1.7437,1.6601
0.002214,2.1437,1.6055
0.002386,1.7437,1.7610
0.002647,1.7437,1.8519
0.002844,1.7437,1.9205
0.003016,1.9437,1.9230
0.003189,2.1437,1.9162
0.003362,1.7437,2.0721
0.003621,2.1437,2.0379
0.003828,2.1437,2.0871
0.004000,2.1437,2.1279
0.004172,2.3437,2.1113
0.004345,2.3437,2.1428
0.004598,2.5437,2.1270
0.004796,2.7437,2.0932
0.004968,2.7437,2.1055
0.005140,2.7437,2.1177
0.005313,3.3437,1.9578
0.005572,2.7437,2.1196
0.005779,2.7437,2.1343
0.005951,2.7437,2.1465
0.006123,2.9437,2.1014
0.006295,2.5437,2.2187
0.006548,2.5437,2.2507
0.006746,2.5437,2.2758
0.006918,3.5437,2.0108
0.007090,2.7437,2.2143
0.007262,2.3437,2.3412
0.007521,2.5437,2.3261
0.007729,2.5437,2.3524
0.007901,2.3437,2.4315
0.008073,2.5437,2.4054
0.008245,2.5437,2.4272
0.008498,2.7437,2.3974
0.008695,2.5437,2.4701
0.008867,2.3437,2.5492
0.009039,2.3437,2.5804
0.009212,2.1437,2.6693
0.009471,2.3437,2.6686
0.009673,2.3437,2.7053
0.009851,2.1437,2.7954
0.010023,2.3437,2.7789
0.010195,2.5437,2.7528
0.010448,2.3437,2.8466
0.010640,2.3437,2.8815
0.010818,3.5437,2.5679
0.010990,2.3437,2.8860
0.011162,2.1437,2.9746
0.011421,2.3437,2.9739
0.011623,2.3437,3.0107
0.011801,2.3437,3.0430
0.011973,2.3437,3.0743
0.012145,2.3437,3.1056
0.012398,2.7437,3.0279
0.012590,2.7437,3.0416
0.012768,2.5437,3.1119
0.012940,2.5437,3.1336
0.013112,2.5437,3.1554
0.013371,2.3437,3.2503
0.013572,2.3437,3.2869
0.013750,2.1437,3.3769
0.013922,2.1437,3.4177
0.014094,2.3437,3.4012
0.014349,1.9437,3.5715
0.014541,2.3437,3.5108
0.014719,2.5437,3.4855
0.014891,2.3437,3.5645
0.015063,2.7437,3.4811
0.015322,2.3437,3.6239
0.015523,2.5437,3.6015
0.015702,2.1437,3.7396
0.015874,2.3437,3.7230
0.016046,2.1437,3.8117
0.016299,2.1437,3.8717
0.016490,2.1437,3.9170
0.016662,2.3437,3.9005
0.016840,2.3437,3.9329
0.017012,2.3437,3.9642
0.017272,2.3437,4.0114
0.017473,2.3437,4.0480
0.017645,2.3437,4.0793
