t_s,i_a,u_v
0.000000,0.1937,2.5838
0.000633,1.1937,3.5670
0.000815,2.3937,3.5604
0.000987,3.1937,3.6115
0.001159,4.1937,3.5714
0.001331,4.9937,3.5531
0.001628,6.3937,3.4238
0.001832,6.7937,3.4647
0.002004,7.7937,3.2861
0.002176,8.1937,3.2502
0.002348,8.1937,3.3197
0.002597,9.1937,3.1011
0.002783,9.3937,3.0736
0.002955,8.1937,3.4593
0.003127,9.7937,3.0456
0.003299,8.9937,3.2951
0.003559,10.5937,2.8390
0.003769,10.9937,2.6870
0.003941,10.7937,2.7091
0.004113,11.1937,2.5578
0.004285,10.7937,2.6327
0.004541,10.7937,2.5872
0.004727,10.5937,2.6152
0.004899,10.3937,2.6528
0.005071,10.5937,2.5772
0.005246,10.5937,2.5540
0.005500,10.5937,2.5203
0.005710,10.5937,2.4924
0.005882,10.5937,2.4695
0.006054,8.3937,3.1110
0.006226,10.5937,2.5085
0.006475,10.5937,2.4754
0.006661,10.5937,2.4507
0.006833,9.9937,2.6091
0.007005,7.7937,3.2736
0.007177,10.5937,2.5130
0.007432,10.3937,2.5432
0.007641,9.9937,2.6489
0.007813,10.5937,2.4680
0.007985,10.3937,2.5055
0.008157,10.5937,2.4300
0.008406,10.1937,2.5246
0.008586,9.9937,2.5776
0.008764,9.9937,2.5778
0.008936,9.9937,2.5780
0.009108,10.3937,2.4575
0.009363,9.9937,2.5633
0.009566,9.9937,2.5635
0.009745,9.7937,2.6245
0.009917,9.9937,2.5720
0.010089,9.9937,2.5723
0.010338,9.7937,2.6365
0.010518,9.9937,2.5840
0.010696,9.9937,2.5843
0.010868,10.3937,2.4637
0.011040,9.9937,2.5694
0.011295,9.7937,2.6338
0.011499,9.9937,2.5814
0.011677,9.9937,2.5817
0.011849,9.7937,2.6423
0.012021,9.9937,2.5898
0.012270,9.9937,2.5902
0.012450,7.1937,3.4409
0.012627,10.3937,2.5822
0.012799,8.1937,3.2313
0.012999,8.3937,3.2505
0.013254,10.9937,2.5087
0.013458,11.3937,2.3398
0.013636,10.7937,2.4663
0.013808,11.1937,2.3149
0.013999,8.3937,3.1213
0.014248,10.5937,2.5086
0.014428,10.7937,2.4239
0.014600,10.7937,2.3934
0.014797,19.3937,-0.2865
0.014996,9.5937,2.3138
0.015251,8.9937,2.5293
0.015455,7.7937,2.9461
0.015634,9.1937,2.6095
0.015805,9.3937,2.5800
0.015996,9.3937,2.6059
0.016245,6.9937,3.4057
0.016425,9.5937,2.7370
0.016597,10.5937,2.4506
0.016795,9.7937,2.6706
0.016996,10.5937,2.4331
0.017263,9.9937,2.5915
0.017468,9.9937,2.5918
0.017647,9.7937,2.6528
0.017819,9.9937,2.6003
0.018136,9.9937,2.6008
0.018447,10.1937,2.5346
0.018648,9.7937,2.6493
0.018819,10.1937,2.5365
0.018991,9.9937,2.5894
0.019164,10.1937,2.5292
0.019432,10.3937,2.4529
0.019640,9.7937,2.6206
0.019812,10.3937,2.4474
0.019984,9.9937,2.5530
0.020156,9.9937,2.5532
0.020415,9.9937,2.5536
0.020610,9.7937,2.6153
0.020788,9.9937,2.5628
0.020960,9.9937,2.5631
0.021132,9.7937,2.6237
0.021394,9.7937,2.6358
0.021589,9.7937,2.6448
0.021767,10.3937,2.4710
0.021939,9.9937,2.5767
0.022111,10.3937,2.4561
0.022372,9.9937,2.5619
0.022566,9.9937,2.5621
0.022744,9.7937,2.6231
0.022916,9.9937,2.5706
0.023088,9.7937,2.6312
0.023347,9.9937,2.5789
0.023542,9.9937,2.5792
0.023720,9.9937,2.5794
0.023892,9.7937,2.6400
0.024064,9.9937,2.5876
0.024323,10.5937,2.3951
0.024518,9.9937,2.5535
0.024696,9.9937,2.5537
0.024867,9.9937,2.5540
0.025040,9.9937,2.5542
0.025299,9.9937,2.5546
0.025494,9.7937,2.6163
0.025672,9.9937,2.5638
0.025844,9.7937,2.6244
0.026016,10.3937,2.4512
0.026274,9.7937,2.6212
0.026468,9.9937,2.5688
0.026646,9.9937,2.5690
0.026818,9.9937,2.5693
0.026990,9.7937,2.6299
0.027250,9.9937,2.5776
0.027445,9.9937,2.5778
0.027617,9.9937,2.5781
0.027795,9.7937,2.6390
0.027997,10.5937,2.4014
0.028275,7.1937,3.4717
0.028475,9.9937,2.7342
0.028653,10.9937,2.4312
0.028825,10.5937,2.5137
0.028997,10.3937,2.5513
0.029244,10.7937,2.4020
0.029432,10.5937,2.4298
0.029604,10.3937,2.4673
0.029795,9.9937,2.5730
0.030000,9.7937,2.6351
0.030262,9.9937,2.5828
0.030457,10.3937,2.4602
0.030635,9.9937,2.5659
0.030807,9.9937,2.5661
0.030998,9.9937,2.5664
0.031253,9.9937,2.5667
