t_s,i_a,u_v
0.000000,0.0563,0.0698
0.000574,0.0563,0.1402
0.000950,0.2563,0.1784
0.001159,0.2563,0.2023
0.001332,0.4563,0.2159
0.001504,0.2563,0.2402
0.001676,0.2563,0.2599
0.001987,0.4563,0.2881
0.002180,0.2563,0.3149
0.002353,0.4563,0.3285
0.002525,0.4563,0.3467
0.002697,0.4563,0.3649
0.002965,0.4563,0.3933
0.003159,0.4563,0.4139
0.003331,0.4563,0.4321
0.003503,0.4563,0.4503
0.003675,0.4563,0.4685
0.003945,0.4563,0.4971
0.004138,1.4563,0.4858
0.004310,0.4563,0.5278
0.004483,0.6563,0.5399
0.004655,0.6563,0.5567
0.004919,0.6563,0.5825
0.005112,0.6563,0.6013
0.005284,0.6563,0.6181
0.005456,0.8563,0.6287
0.005628,0.8563,0.6440
0.005898,0.8563,0.6682
0.006091,0.8563,0.6854
0.006263,0.8563,0.7007
0.006440,0.6563,0.7228
0.006612,0.8563,0.7334
0.006876,1.0563,0.7500
0.007070,1.0563,0.7657
0.007242,0.8563,0.7858
0.007414,1.0563,0.7950
0.007586,1.0563,0.8089
0.007854,1.6563,0.8097
0.008048,1.6563,0.8205
0.008220,1.6563,0.8302
0.008392,1.8563,0.8336
0.008564,1.8563,0.8418
0.008828,1.8563,0.8544
0.009021,1.8563,0.8636
0.009193,1.8563,0.8718
0.009369,1.8563,0.8801
0.009541,1.8563,0.8883
0.009808,1.8563,0.9010
0.010002,1.8563,0.9103
0.010174,2.0563,0.9123
0.010346,1.8563,0.9252
0.010518,2.0563,0.9273
0.010776,2.0563,0.9374
0.010976,2.0563,0.9453
0.011148,2.0563,0.9520
0.011320,2.0563,0.9588
0.011492,2.2563,0.9594
0.011755,2.2563,0.9675
0.011955,2.2563,0.9737
0.012127,2.0563,0.9852
0.012299,2.2563,0.9858
0.012471,2.2563,0.9911
0.012729,2.2563,0.9991
0.012928,2.2563,1.0053
0.013100,2.2563,1.0106
0.013272,2.2563,1.0159
0.013444,2.0563,1.0274
0.013707,2.2563,1.0308
0.013907,2.4563,1.0306
0.014079,2.2563,1.0407
0.014251,2.6563,1.0337
0.014424,2.4563,1.0423
0.014682,2.4563,1.0482
0.014882,2.4563,1.0527
0.015054,2.4563,1.0566
0.015226,2.4563,1.0605
0.015398,2.8563,1.0520
0.015661,2.6563,1.0605
0.015861,2.4563,1.0698
0.016033,2.8563,1.0614
0.016205,2.6563,1.0686
0.016377,2.6563,1.0710
0.016635,2.6563,1.0747
0.016835,2.4563,1.0840
0.017007,2.8563,1.0755
0.017179,2.8563,1.0766
0.017351,2.8563,1.0776
0.017614,2.8563,1.0792
0.017814,2.8563,1.0804
0.017986,2.8563,1.0814
0.018158,2.8563,1.0824
0.018330,2.8563,1.0834
0.018588,2.8563,1.0850
0.018782,3.6563,1.0607
0.018960,2.8563,1.0808
0.019132,2.8563,1.0818
0.019304,2.8563,1.0828
0.019570,2.2563,1.1053
0.019764,2.8563,1.0922
0.019942,3.2563,1.0808
0.020114,2.8563,1.0913
0.020286,2.8563,1.0924
0.020544,2.8563,1.0939
0.020738,3.0563,1.0887
0.020916,3.0563,1.0883
0.021088,3.6563,1.0694
0.021260,2.8563,1.0894
0.021523,3.0563,1.0840
0.021717,3.0563,1.0836
0.021895,2.8563,1.0894
0.022067,2.8563,1.0904
0.022239,2.8563,1.0914
0.022497,3.0563,1.0861
0.022691,3.0563,1.0856
0.022869,3.0563,1.0852
0.023041,2.8563,1.0910
0.023213,3.0563,1.0858
0.023477,3.0563,1.0852
0.023670,3.0563,1.0848
0.023848,3.0563,1.0843
0.024020,2.8563,1.0901
0.024192,4.0563,1.0541
0.024450,2.8563,1.0841
0.024644,2.4563,1.0980
0.024822,2.8563,1.0896
0.024994,2.4563,1.1029
0.025189,2.8563,1.0946
0.025464,3.0563,1.0892
0.025657,3.0563,1.0888
0.025835,3.0563,1.0884
0.026007,3.0563,1.0880
0.026187,3.2563,1.0813
0.026446,3.0563,1.0854
0.026639,2.8563,1.0913
0.026817,3.0563,1.0862
0.026989,3.0563,1.0858
0.027188,3.0563,1.0853
0.027462,3.0563,1.0847
0.027656,3.0563,1.0842
0.027834,3.0563,1.0838
0.028006,3.0563,1.0834
0.028191,3.0563,1.0829
