t_s,i_a,u_v
0.000000,0.1125,2.1269
0.000434,0.1125,3.7360
0.000628,0.1125,4.4552
0.000800,0.5125,4.7099
0.001115,0.1125,6.1724
0.001292,0.1125,6.8287
0.001464,0.5125,7.0834
0.001642,0.1125,8.0000
0.001814,0.5125,8.0000
0.002091,0.5125,8.0000
0.002309,0.5125,8.0000
0.002489,0.5125,8.0000
0.002661,0.5125,8.0000
0.002833,0.1125,8.0000
0.003097,0.1125,8.0000
0.003274,0.1125,8.0000
0.003446,0.5125,8.0000
0.003624,0.1125,8.0000
0.003796,0.5125,8.0000
0.004048,0.1125,8.0000
0.004273,0.1125,8.0000
0.004447,0.1125,8.0000
0.004625,0.5125,8.0000
0.004797,0.1125,8.0000
0.005056,0.5125,8.0000
0.005234,0.5125,8.0000
0.005406,0.5125,8.0000
0.005584,0.5125,8.0000
0.005756,0.1125,8.0000
0.006014,0.5125,8.0000
0.006233,0.1125,8.0000
0.006407,0.1125,8.0000
0.006585,0.1125,8.0000
0.006757,0.1125,8.0000
0.007019,0.1125,8.0000
0.007196,0.1125,8.0000
0.007368,0.1125,8.0000
0.007547,0.5125,8.0000
0.007719,0.5125,8.0000
0.007970,0.5125,8.0000
0.008195,0.5125,8.0000
0.008369,0.1125,8.0000
0.008548,0.1125,8.0000
0.008720,0.1125,8.0000
0.008978,0.1125,8.0000
0.009159,0.1125,8.0000
0.009331,0.1125,8.0000
0.009510,0.5125,8.0000
0.009682,-0.0875,8.0000
0.009937,0.1125,8.0000
0.010156,0.1125,8.0000
0.010330,0.1125,8.0000
0.010508,0.1125,8.0000
0.010680,-0.0875,8.0000
0.010943,0.1125,8.0000
0.011125,0.5125,8.0000
0.011297,0.1125,8.0000
0.011469,0.1125,8.0000
0.011647,0.5125,8.0000
0.011900,0.5125,8.0000
0.012121,0.5125,8.0000
0.012295,0.1125,8.0000
0.012467,0.5125,8.0000
0.012645,0.5125,8.0000
0.012906,0.1125,8.0000
0.013084,0.1125,8.0000
0.013256,0.1125,8.0000
0.013428,0.1125,8.0000
0.013606,0.5125,8.0000
0.013863,0.1125,8.0000
0.014087,0.5125,8.0000
0.014261,0.5125,8.0000
0.014434,0.5125,8.0000
0.014612,0.5125,8.0000
0.014870,0.1125,8.0000
0.015050,0.5125,8.0000
0.015222,0.5125,8.0000
0.015394,0.5125,8.0000
0.015596,0.5125,8.0000
0.015867,0.5125,8.0000
0.016086,0.5125,8.0000
0.016258,0.1125,8.0000
0.016430,0.5125,8.0000
0.016608,0.1125,8.0000
0.017013,0.5125,8.0000
0.017272,0.1125,8.0000
0.017447,0.1125,8.0000
0.017625,0.5125,8.0000
0.017798,0.5125,8.0000
0.018049,0.5125,8.0000
0.018240,0.1125,8.0000
0.018412,0.1125,8.0000
0.018590,0.5125,8.0000
0.018762,0.5125,8.0000
0.019032,0.1125,8.0000
0.019266,0.1125,8.0000
0.019442,0.1125,8.0000
0.019620,0.5125,8.0000
0.019792,0.1125,8.0000
0.020055,0.1125,8.0000
0.020250,0.1125,8.0000
0.020422,0.1125,8.0000
0.020600,0.5125,8.0000
0.020772,0.5125,8.0000
0.021032,0.5125,8.0000
0.021252,0.5125,8.0000
0.021426,0.5125,8.0000
0.021605,0.5125,8.0000
0.021777,0.5125,8.0000
0.022042,0.1125,8.0000
0.022232,0.5125,8.0000
0.022404,0.5125,8.0000
0.022582,0.1125,8.0000
0.022754,0.5125,8.0000
0.023009,0.1125,8.0000
0.023236,0.1125,8.0000
0.023410,0.1125,8.0000
0.023588,0.1125,8.0000
0.023760,0.1125,8.0000
0.024020,0.1125,8.0000
0.024210,0.5125,8.0000
0.024382,0.1125,8.0000
0.024560,0.1125,8.0000
0.024732,0.5125,8.0000
0.024995,0.1125,8.0000
0.025222,0.5125,8.0000
0.025396,0.5125,8.0000
0.025574,0.5125,8.0000
0.025746,0.1125,8.0000
0.026004,0.5125,8.0000
0.026194,0.5125,8.0000
0.026366,0.1125,8.0000
0.026545,0.5125,8.0000
0.026717,0.5125,8.0000
0.026979,0.5125,8.0000
0.027208,0.1125,8.0000
0.027382,0.5125,8.0000
0.027560,0.5125,8.0000
0.027732,0.5125,8.0000
0.027994,0.5125,8.0000
0.028185,0.5125,8.0000
0.028357,0.5125,8.0000
0.028535,0.1125,8.0000
0.028707,0.5125,8.0000
0.028969,0.5125,8.0000
0.029196,0.1125,8.0000
0.029370,0.5125,8.0000
0.029548,0.1125,8.0000
0.029721,0.5125,8.0000
0.029978,0.5125,8.0000
0.030170,0.5125,8.0000
0.030342,0.5125,8.0000
0.030520,0.5125,8.0000
0.030692,0.1125,8.0000
0.030955,0.1125,8.0000
0.031181,0.1125,8.0000
0.031355,0.5125,8.0000
0.031533,0.5125,8.0000
0.031706,0.5125,8.0000
0.031963,0.5125,8.0000
0.032154,0.5125,8.0000
0.032326,0.1125,8.0000
0.032504,0.5125,8.0000
0.032676,0.5125,8.0000
0.032938,0.5125,8.0000
0.033165,0.5125,8.0000
0.033339,0.5125,8.0000
0.033517,0.5125,8.0000
0.033690,0.5125,8.0000
0.033947,0.5125,8.0000
0.034138,0.5125,8.0000
0.034310,0.5125,8.0000
0.034488,0.5125,8.0000
0.034660,0.5125,8.0000
0.034922,0.1125,8.0000
0.035151,0.1125,8.0000
0.035325,0.5125,8.0000
0.035503,0.5125,8.0000
0.035675,0.5125,8.0000
0.035933,0.1125,8.0000
0.036127,0.1125,8.0000
0.036299,0.1125,8.0000
0.036471,0.5125,8.0000
0.036649,0.5125,8.0000
0.036911,0.5125,8.0000
0.037142,0.5125,8.0000
0.037316,0.5125,8.0000
0.037494,0.5125,8.0000
0.037666,0.5125,8.0000
0.037924,0.5125,8.0000
0.038114,0.5125,8.0000
0.038286,0.1125,8.0000
0.038458,0.1125,8.0000
0.038636,0.5125,8.0000
0.038899,0.5125,8.0000
0.039123,0.1125,8.0000
0.039297,0.5125,8.0000
0.039469,0.1125,8.0000
0.039647,0.1125,8.0000
0.039905,0.1125,8.0000
0.040096,0.1125,8.0000
0.040268,0.1125,8.0000
0.040440,0.1125,8.0000
0.040618,0.1125,8.0000
0.040880,0.5125,8.0000
0.041105,0.1125,8.0000
0.041279,0.5125,8.0000
0.041451,0.1125,8.0000
0.041629,0.1125,8.0000
0.041887,0.5125,8.0000
0.042077,0.1125,8.0000
0.042249,0.5125,8.0000
0.042421,0.5125,8.0000
0.042600,0.5125,8.0000
0.042862,0.1125,8.0000
0.043088,0.5125,8.0000
0.043263,0.1125,8.0000
0.043435,0.5125,8.0000
0.043613,0.5125,8.0000
0.043870,0.1125,8.0000
0.044065,0.5125,8.0000
