t_s,i_a,u_v
0.000000,0.1437,0.4666
0.000642,0.3437,1.1503
0.000825,0.5437,1.3228
0.001003,0.7437,1.4817
0.001175,1.5437,1.5446
0.001348,1.7437,1.6579
0.001632,2.1437,1.8102
0.001832,2.3437,1.9159
0.002010,2.7437,1.9719
0.002182,3.1437,2.0085
0.002355,3.3437,2.0567
0.002611,3.9437,2.0626
0.002795,4.5437,2.0247
0.002973,4.7437,2.0162
0.003145,4.7437,2.0265
0.003318,4.7437,2.0370
0.003573,5.3437,1.9587
0.003773,5.5437,1.9139
0.003951,5.5437,1.8912
0.004123,5.5437,1.8692
0.004295,5.5437,1.8472
0.004544,5.7437,1.7844
0.004727,5.7437,1.7524
0.004906,5.7437,1.7211
0.005078,5.9437,1.6637
0.005250,5.7437,1.6529
0.005505,5.9437,1.5771
0.005705,5.7437,1.5613
0.005884,5.7437,1.5300
0.006056,5.5437,1.5273
0.006228,5.7437,1.4780
0.006477,5.5437,1.4654
0.006654,7.7437,1.1398
0.006838,5.3437,1.3555
0.007010,5.1437,1.3689
0.007183,5.1437,1.3631
0.007438,5.1437,1.3545
0.007632,4.9437,1.3763
0.007816,3.9437,1.5180
0.007988,4.9437,1.4242
0.008160,4.9437,1.4265
0.008409,4.9437,1.4298
0.008586,4.9437,1.4321
0.008770,6.1437,1.2674
0.008942,4.7437,1.4122
0.009114,5.7437,1.2861
0.009369,4.7437,1.3975
0.009563,4.7437,1.4092
0.009748,4.7437,1.4204
0.009920,5.9437,1.2669
0.010092,4.7437,1.3926
0.010341,4.7437,1.4076
0.010519,4.7437,1.4183
0.010703,4.7437,1.4294
0.010875,4.7437,1.4398
0.011048,4.7437,1.4502
0.011303,4.7437,1.4656
0.011496,4.7437,1.4772
0.011675,4.9437,1.4603
0.011853,4.7437,1.4903
0.012025,4.7437,1.5006
0.012276,4.7437,1.5158
0.012453,4.7437,1.5264
0.012631,4.7437,1.5372
0.012810,4.7437,1.5480
0.012995,4.7437,1.5591
0.013250,4.9437,1.5433
0.013444,4.9437,1.5458
0.013622,4.9437,1.5482
0.013800,4.9437,1.5505
0.013997,4.9437,1.5531
0.014246,4.9437,1.5564
0.014423,4.9437,1.5588
0.014602,4.9437,1.5612
0.014799,4.9437,1.5638
0.014997,5.1437,1.5379
0.015261,4.9437,1.5606
0.015459,5.1437,1.5347
0.015632,5.1437,1.5288
0.015810,5.1437,1.5228
0.016001,5.1437,1.5163
0.016251,4.9437,1.5389
0.016433,5.1437,1.5135
0.016606,4.9437,1.5350
0.016798,4.9437,1.5376
0.017007,4.5437,1.5984
0.017261,4.9437,1.5633
0.017445,5.1437,1.5379
0.017618,5.1437,1.5321
0.017796,5.1437,1.5260
0.017998,4.9437,1.5479
0.018271,5.1437,1.5195
0.018467,4.9437,1.5413
0.018640,5.1437,1.5162
0.018818,5.1437,1.5102
0.018990,4.9437,1.5317
0.019237,5.1437,1.5042
0.019421,4.9437,1.5258
0.019594,5.1437,1.5008
0.019798,4.9437,1.5227
0.019998,4.9437,1.5253
0.020258,5.1437,1.4973
0.020454,4.9437,1.5191
0.020627,5.1437,1.4941
0.020805,5.1437,1.4880
0.020998,5.1437,1.4815
0.021245,5.1437,1.4732
0.021429,4.9437,1.4948
0.021602,4.9437,1.4971
0.021799,4.9437,1.4997
0.021998,4.9437,1.5024
0.022258,4.9437,1.5058
0.022454,4.9437,1.5084
0.022627,5.1437,1.4833
0.022805,4.9437,1.5049
0.022998,4.9437,1.5075
0.023245,4.9437,1.5107
0.023429,5.1437,1.4853
0.023602,4.9437,1.5068
0.023799,4.9437,1.5094
0.023998,4.9437,1.5121
0.024258,4.9437,1.5155
0.024453,4.9437,1.5181
0.024627,4.9437,1.5204
0.024805,4.9437,1.5227
0.024999,4.9437,1.5253
0.025245,4.9437,1.5286
0.025429,5.1437,1.5031
0.025602,4.9437,1.5246
0.025799,4.9437,1.5272
0.025998,5.1437,1.5013
0.026258,5.1437,1.4925
0.026454,4.9437,1.5143
0.026627,4.9437,1.5166
0.026805,4.9437,1.5190
0.027151,4.9437,1.5236
0.027496,5.1437,1.4927
0.027698,4.9437,1.5146
0.027870,7.3437,1.1892
0.028042,4.9437,1.4221
0.028217,3.5437,1.6165
0.028487,4.9437,1.4856
0.028682,4.9437,1.4881
0.028861,4.9437,1.4905
0.029033,4.9437,1.4928
0.029205,4.9437,1.4951
0.029467,4.9437,1.4985
0.029662,4.9437,1.5011
0.029840,4.9437,1.5035
0.030012,4.9437,1.5057
0.030184,4.9437,1.5080
0.030445,6.9437,1.1966
0.030640,4.9437,1.3913
0.030819,4.7437,1.4213
0.030991,4.7437,1.4317
0.031163,4.7437,1.4421
0.031417,4.9437,1.4262
0.031612,4.7437,1.4572
0.031790,4.7437,1.4679
0.031962,4.7437,1.4783
0.032134,4.7437,1.4886
0.032398,4.7437,1.5045
0.032593,4.7437,1.5163
0.032771,3.7437,1.6650
0.032943,4.7437,1.5792
0.033116,5.3437,1.5076
0.033369,4.9437,1.5494
0.033565,7.5437,1.1823
0.033743,4.9437,1.4345
0.033915,7.3437,1.1091
0.034087,4.7437,1.3693
0.034348,4.7437,1.3850
0.034544,4.7437,1.3969
0.034722,4.7437,1.4076
0.034894,4.7437,1.4179
0.035066,3.3437,1.6195
0.035320,4.7437,1.5002
0.035515,4.7437,1.5120
0.035688,4.7437,1.5224
0.035866,4.7437,1.5331
0.036038,4.7437,1.5435
0.036298,4.7437,1.5592
0.036494,4.7437,1.5710
0.036666,4.7437,1.5813
0.036844,4.9437,1.5645
0.037016,3.9437,1.7033
0.037270,4.9437,1.6106
0.037466,4.9437,1.6132
0.037638,5.1437,1.5881
0.037816,5.1437,1.5821
0.037998,5.1437,1.5760
0.038258,5.1437,1.5672
0.038454,5.1437,1.5606
0.038626,5.3437,1.5274
0.038804,5.1437,1.5406
0.038997,5.1437,1.5341
0.039252,5.1437,1.5255
0.039448,5.1437,1.5189
0.039620,7.9437,1.1308
0.039798,4.9437,1.4214
0.039997,4.9437,1.4240
0.040261,4.9437,1.4275
0.040463,4.9437,1.4302
0.040635,4.9437,1.4325
0.040814,4.7437,1.4625
0.040999,4.7437,1.4736
0.041257,4.9437,1.4578
0.041453,4.9437,1.4604
0.041625,4.9437,1.4627
0.041803,4.9437,1.4651
0.041998,4.9437,1.4677
0.042258,4.9437,1.4711
0.042453,4.9437,1.4737
0.042626,4.9437,1.4760
0.042804,4.7437,1.5059
0.043000,4.7437,1.5177
0.043265,4.9437,1.5020
0.043461,4.7437,1.5330
0.043633,4.9437,1.5161
0.043811,4.9437,1.5185
0.043999,4.9437,1.5209
0.044259,4.9437,1.5244
0.044454,4.9437,1.5270
0.044627,4.9437,1.5293
0.044805,4.9437,1.5316
0.045000,4.9437,1.5342
0.045265,4.9437,1.5377
0.045461,4.9437,1.5403
0.045633,4.9437,1.5426
0.045811,4.9437,1.5449
0.045999,4.9437,1.5474
0.046259,5.1437,1.5194
0.046455,4.9437,1.5412
0.046627,4.9437,1.5435
0.046805,4.9437,1.5459
0.047000,5.1437,1.5201
0.047265,4.9437,1.5428
0.047461,4.9437,1.5454
0.047633,5.1437,1.5203
0.047811,4.9437,1.5419
0.047999,5.1437,1.5163
0.048259,5.1437,1.5076
0.048455,5.1437,1.5009
0.048627,4.9437,1.5224
0.048805,4.9437,1.5248
0.049000,5.1437,1.4990
0.049265,5.1437,1.4900
0.049461,4.9437,1.5118
0.049633,4.9437,1.5141
0.049811,4.9437,1.5165
0.049999,4.9437,1.5190
0.050259,5.1437,1.4910
0.050455,4.9437,1.5128
0.050627,4.9437,1.5151
0.050805,4.9437,1.5174
0.051000,5.1437,1.4916
0.051265,5.1437,1.4826
0.051461,4.9437,1.5045
0.051633,5.1437,1.4794
0.051811,4.9437,1.5010
0.051999,4.9437,1.5035
0.052259,5.1437,1.4755
0.052455,4.9437,1.4973
0.052627,4.7437,1.5269
0.052805,4.9437,1.5100
0.053000,4.9437,1.5126
0.053265,5.1437,1.4844
0.053461,4.9437,1.5062
0.053633,4.9437,1.5085
0.053811,4.9437,1.5109
0.053999,4.9437,1.5134
0.054260,5.1437,1.4853
0.054455,4.9437,1.5071
0.054627,4.9437,1.5094
0.054806,4.9437,1.5118
0.055001,4.9437,1.5144
0.055266,5.1437,1.4862
0.055461,4.9437,1.5080
0.055633,4.9437,1.5103
0.055812,4.9437,1.5126
0.056000,5.1437,1.4871
0.056260,4.9437,1.5097
0.056456,4.9437,1.5123
0.056628,5.1437,1.4873
0.056806,4.9437,1.5089
0.057070,4.9437,1.5124
0.057389,4.9437,1.5166
0.057585,4.9437,1.5192
0.057763,4.9437,1.5215
0.057935,5.1437,1.4965
0.058107,4.9437,1.5180
0.058375,4.9437,1.5215
0.058571,5.1437,1.4957
0.058749,4.9437,1.5173
0.058921,4.7437,1.5469
0.059093,4.9437,1.5299
0.059355,5.1437,1.5018
0.059550,4.9437,1.5236
0.059729,5.1437,1.4984
0.059901,4.9437,1.5199
0.060073,5.1437,1.4948
0.060334,4.9437,1.5175
0.060529,5.1437,1.4917
0.060707,4.9437,1.5133
0.060880,4.9437,1.5156
0.061052,4.9437,1.5179
0.061305,4.9437,1.5212
0.061501,4.9437,1.5238
0.061673,5.1437,1.4988
0.061851,4.9437,1.5203
0.062023,5.1437,1.4953
0.062284,4.9437,1.5180
0.062479,5.1437,1.4922
0.062651,4.9437,1.5137
0.062829,4.9437,1.5160
0.063001,4.9437,1.5183
0.063255,4.9437,1.5217
0.063451,4.9437,1.5243
0.063623,5.1437,1.4992
0.063801,4.9437,1.5208
0.064000,4.9437,1.5234
0.064270,5.1437,1.4951
0.064473,5.1437,1.4882
0.064645,4.9437,1.5097
0.064823,5.1437,1.4845
0.064995,5.1437,1.4787
0.065253,4.9437,1.5013
0.065448,4.9437,1.5039
0.065620,6.1437,1.3423
0.065799,4.9437,1.4600
0.066000,4.9437,1.4627
0.066270,5.1437,1.4343
0.066465,6.3437,1.2574
0.066637,4.9437,1.3942
0.066815,5.5437,1.3138
0.066996,4.7437,1.4016
0.067250,4.7437,1.4169
0.067445,4.7437,1.4287
0.067617,4.7437,1.4390
0.067795,4.7437,1.4497
0.067998,4.7437,1.4620
0.068265,4.7437,1.4781
0.068461,4.9437,1.4614
0.068633,4.7437,1.4910
0.068811,3.5437,1.6673
0.069002,4.7437,1.5635
0.069256,4.9437,1.5476
0.069451,4.9437,1.5502
0.069623,4.9437,1.5525
0.069801,4.9437,1.5548
0.069998,4.9437,1.5575
0.070263,4.9437,1.5610
0.070458,4.9437,1.5635
0.070630,5.1437,1.5385
0.070809,4.9437,1.5601
0.071000,5.1437,1.5344
0.071254,5.1437,1.5259
0.071449,4.9437,1.5477
0.071621,4.1437,1.6592
0.071799,5.1437,1.5570
0.071998,5.1437,1.5503
0.072258,5.1437,1.5415
0.072453,5.1437,1.5350
0.072625,5.1437,1.5291
0.072804,5.1437,1.5231
0.072998,5.1437,1.5165
0.073251,5.1437,1.5080
0.073447,5.1437,1.5014
0.073619,5.1437,1.4956
0.073797,5.1437,1.4895
0.073998,5.1437,1.4827
0.074258,5.1437,1.4740
0.074453,4.9437,1.4958
0.074625,5.1437,1.4707
0.074804,4.9437,1.4923
0.074998,4.9437,1.4949
0.075251,4.9437,1.4982
0.075447,4.9437,1.5008
0.075619,4.9437,1.5031
0.075797,4.9437,1.5055
0.075998,4.9437,1.5081
0.076258,4.9437,1.5116
0.076454,4.9437,1.5142
0.076626,5.1437,1.4891
0.076804,4.9437,1.5107
0.076998,5.1437,1.4849
0.077251,4.9437,1.5075
0.077447,4.9437,1.5101
0.077619,4.9437,1.5124
0.077798,4.9437,1.5147
0.077997,4.9437,1.5174
0.078263,5.1437,1.4892
0.078465,6.9437,1.2239
0.078637,4.9437,1.4183
0.078815,6.1437,1.2552
0.078995,4.9437,1.3729
0.079253,4.9437,1.3763
0.079449,4.7437,1.4073
0.079621,4.7437,1.4177
0.079799,4.7437,1.4284
0.080000,4.7437,1.4405
0.080268,4.7437,1.4567
0.080464,4.7437,1.4685
0.080636,4.7437,1.4788
0.080814,4.7437,1.4896
0.080997,4.7437,1.5006
0.081251,4.7437,1.5159
0.081446,4.7437,1.5277
0.081618,4.7437,1.5380
0.081796,4.7437,1.5487
0.081998,4.9437,1.5322
0.082258,4.9437,1.5356
0.082454,4.9437,1.5382
0.082626,5.1437,1.5132
0.082804,4.9437,1.5348
0.082998,4.9437,1.5373
0.083251,5.1437,1.5096
0.083447,5.1437,1.5030
0.083619,4.9437,1.5245
0.083797,4.9437,1.5268
0.083998,4.9437,1.5295
0.084258,5.1437,1.5015
0.084453,4.9437,1.5233
0.084625,5.1437,1.4982
0.084804,4.9437,1.5198
0.084998,4.9437,1.5224
0.085251,4.9437,1.5257
0.085447,4.9437,1.5283
0.085619,4.9437,1.5306
0.085797,4.9437,1.5330
0.085998,4.9437,1.5356
0.086258,5.1437,1.5076
0.086453,4.9437,1.5294
0.086625,5.3437,1.4771
0.086804,5.1437,1.4903
0.087072,4.9437,1.5130
0.087406,5.1437,1.4825
0.087601,4.9437,1.5043
0.087779,5.1437,1.4791
0.087951,4.9437,1.5006
0.088123,4.9437,1.5029
0.088393,4.9437,1.5064
0.088596,4.9437,1.5091
0.088774,4.9437,1.5115
0.088946,4.9437,1.5138
0.089118,4.9437,1.5160
0.089385,4.9437,1.5196
0.089580,5.1437,1.4938
0.089759,4.9437,1.5153
0.089931,5.1437,1.4903
