t_s,i_a,u_v
0.000000,0.5125,0.1140
0.000444,0.7125,0.1331
0.000627,0.1125,0.1753
0.000799,0.5125,0.1690
0.001102,0.1125,0.2117
0.001285,0.1125,0.2264
0.001462,0.5125,0.2204
0.001640,0.5125,0.2327
0.001812,0.5125,0.2446
0.002093,0.5125,0.2641
0.002310,0.1125,0.2999
0.002495,0.5125,0.2944
0.002667,0.1125,0.3266
0.002839,0.1125,0.3405
0.003095,0.5125,0.3399
0.003286,0.5125,0.3532
0.003462,0.1125,0.3857
0.003640,0.1125,0.4000
0.003812,0.1125,0.4138
0.004073,0.7125,0.4030
0.004290,0.5125,0.4272
0.004469,0.5125,0.4396
0.004647,0.5125,0.4520
0.004819,0.5125,0.4639
0.005080,0.5125,0.4820
0.005263,0.5125,0.4947
0.005440,0.1125,0.5273
0.005618,0.5125,0.5213
0.005790,0.5125,0.5332
0.006044,0.5125,0.5509
0.006270,0.5125,0.5665
0.006449,0.1125,0.5993
0.006627,0.5125,0.5933
0.006799,0.5125,0.6052
0.007064,0.5125,0.6236
0.007247,0.5125,0.6363
0.007423,0.5125,0.6485
0.007602,0.7125,0.6508
0.007774,0.5125,0.6719
0.008178,0.5125,0.6999
0.008444,0.5125,0.7183
0.008625,0.5125,0.7309
0.008797,0.5125,0.7428
0.008969,0.5125,0.7548
0.009234,0.5125,0.7732
0.009421,0.5125,0.7861
0.009600,0.5125,0.7985
0.009772,0.5125,0.8105
0.009944,0.5125,0.8224
0.010210,0.5125,0.8409
0.010453,0.5125,0.8577
0.010633,0.5125,0.8702
0.010805,0.5125,0.8821
0.010977,0.5125,0.8941
0.011249,0.1125,0.9343
0.011436,0.5125,0.9289
0.011614,0.5125,0.9413
0.011786,0.1125,0.9735
0.011958,0.5125,0.9671
0.012218,0.5125,0.9851
0.012444,0.5125,1.0008
0.012624,0.1125,1.0336
0.012796,0.5125,1.0272
0.012968,0.1125,1.0594
0.013234,0.5125,1.0595
0.013420,0.5125,1.0724
0.013599,0.5125,1.0848
0.013771,0.5125,1.0968
0.013943,0.1125,1.1289
0.014204,0.1125,1.1500
0.014429,0.1125,1.1681
0.014610,0.5125,1.1623
0.014782,0.5125,1.1742
0.014954,-0.0875,1.2165
0.015219,0.5125,1.2074
0.015406,0.5125,1.2204
0.015584,0.5125,1.2327
0.015756,0.1125,1.2649
